id	code	name	verb_en	verb_vi	knowledge_dimension_code	bloom_level_code	question_type_code	example_en	example_vi	organization_code
0652490a-c361-4a5d-8067-f466615ff585	REM-FAC-REC-SA	Nhớ lại / Nêu (Factual)	Recall / State	Nhớ lại / Nêu		REMEMBER	SHORT_ANSWER	Enter the exact value/name/keyword of the [data/formula].	Nhập giá trị/tên gọi/từ khóa chính xác của [dữ kiện/công thức].	DEFAULT_ORG
7056471f-0bef-4fe7-8c38-6ad68e3576f3	REM-FAC-REC-TF	Nhớ lại / Nêu (Factual)	Recall / State	Nhớ lại / Nêu		REMEMBER	TRUE_FALSE	True or False: The [fact/data/formula] is correctly stated as [value/statement].	Đúng hay Sai: [Sự kiện/dữ liệu/công thức] được nêu là [giá trị/phát biểu] là chính xác.	DEFAULT_ORG
f6e135d9-bc4d-4707-a214-107356b4e9c6	UND-FAC-DES-MCQ	Mô tả (Factual)	Describe	Mô tả		UNDERSTAND	MULTIPLE_CHOICE	Select the best description of the observed characteristics of the [object/phenomenon].	Chọn mô tả đúng nhất về các đặc điểm quan sát được của [đối tượng/hiện tượng].	DEFAULT_ORG
91e1d4cf-6d2e-4c18-bc66-8ba43ef521e8	UND-FAC-INT-MCQ	Diễn giải (Factual)	Interpret	Diễn giải		UNDERSTAND	MULTIPLE_CHOICE	What does the data/figure on the [chart/table] show? (Select the correct descriptive statement).	Dữ liệu/Số liệu trên [biểu đồ/bảng] cho thấy điều gì? (Chọn phát biểu mô tả đúng).	DEFAULT_ORG
029ee339-b632-4f6b-9fd5-16b4537d5b21	ANA-CON-ORG-MAT	Tổ chức/Cấu trúc (Conceptual)	Organize/Structure	Tổ chức/Cấu trúc		ANALYZE	MATCHING	Match the [sub-ideas/concepts] to their appropriate main sections (A, B, C) in the [structure/mind map].	Nối mỗi [ý phụ/khái niệm] với các mục chính phù hợp (A, B, C) trong [cấu trúc/sơ đồ tư duy].	DEFAULT_ORG
1f28dead-9eba-478e-8e70-9e84324840a1	ANA-CON-ANA-MCQ	Phân tích (Conceptual)	Analyze	Phân tích		ANALYZE	MULTIPLE_CHOICE	Analyzing the [situation/model], what is the main relationship between [A] and [B]?	Phân tích [tình huống/mô hình], mối quan hệ chính giữa [A] và [B] là gì?	DEFAULT_ORG
b83c61b0-468c-48c4-8260-9585240e94e4	ANA-CON-CMP-MCQ	So sánh/Đối chiếu (Conceptual)	Compare/Contrast	So sánh/Đối chiếu		ANALYZE	MULTIPLE_CHOICE	Comparing [A] and [B] regarding [criterion X], which conclusion is most accurate?	So sánh [A] và [B] về mặt [tiêu chí X], kết luận nào là đúng nhất?	DEFAULT_ORG
084205fd-bbc5-4960-ad5d-4b3982ccda5f	ANA-CON-DEC-MCQ	Tháo dỡ cấu trúc (Conceptual)	Deconstruct	Tháo dỡ cấu trúc		ANALYZE	MULTIPLE_CHOICE	Analyzing the [mechanism/system], what role/function does component [X] play?	Phân tích [cơ chế/hệ thống], thành phần [X] có vai trò/chức năng gì?	DEFAULT_ORG
46961c6a-3fff-4ce0-92a7-b9160a4124a3	ANA-CON-DIF-MCQ	Phân biệt (Conceptual)	Differentiate	Phân biệt		ANALYZE	MULTIPLE_CHOICE	What factor is the CORE/DECISIVE difference between [A] and [B]?	Yếu tố nào là điểm khác biệt CỐT LÕI/QUYẾT ĐỊNH giữa [A] và [B]?	DEFAULT_ORG
63d40ddd-b9f4-4a48-a1ca-561ea8068e70	ANA-CON-DIF-MRQ	Phân biệt (Conceptual)	Differentiate	Phân biệt		ANALYZE	MULTIPLE_RESPONSE	Select all characteristics that clearly differentiate [A] from [B].	Chọn tất cả các đặc điểm giúp phân biệt rõ ràng [A] khỏi [B].	DEFAULT_ORG
af0961ad-d94c-48ba-9f77-cc5848746974	ANA-CON-DIF-TF	Phân biệt (Conceptual)	Differentiate	Phân biệt		ANALYZE	TRUE_FALSE	True or False: [Characteristic Z] is a key differentiator between [A] and [B].	Đúng hay Sai: [Đặc điểm Z] là yếu tố phân biệt chính giữa [A] và [B].	DEFAULT_ORG
d345ee6b-27b3-43df-8097-3496558e67f7	ANA-CON-ORG-MCQ	Tổ chức/Cấu trúc (Conceptual)	Organize/Structure	Tổ chức/Cấu trúc		ANALYZE	MULTIPLE_CHOICE	Which structure/organization is most logical for the [argument/report]?	Cấu trúc/Cách tổ chức nào là logic nhất cho [luận điểm/báo cáo]?	DEFAULT_ORG
7414f916-afc5-4272-ad52-79cc73b88cdc	UND-CON-CLS-MAT	Phân loại (Conceptual)	Classify	Phân loại		UNDERSTAND	MATCHING	Match each [example] to its correct [group/category].	Nối mỗi [ví dụ] với [nhóm/loại] đúng của nó.	DEFAULT_ORG
2c363669-adc3-4aac-aa13-783f5189dda4	ANA-CON-ORG-SEQ	Tổ chức/Cấu trúc (Conceptual)	Organize/Structure	Tổ chức/Cấu trúc		ANALYZE	SEQUENCE	Arrange the [ideas/concepts] into the most logical sequence for the [structure/argument].	Sắp xếp các [ý/khái niệm] theo trình tự logic nhất cho [cấu trúc/luận điểm].	DEFAULT_ORG
ffde5bcc-3d50-4878-9a9e-401de9e86994	ANA-CON-REL-MAT	Liên hệ (Conceptual)	Relate	Liên hệ		ANALYZE	MATCHING	Match each [cause/assumption] with its corresponding [effect/conclusion].	Nối mỗi [nguyên nhân/giả định] với [hệ quả/kết luận] tương ứng của nó.	DEFAULT_ORG
c6fa9364-44c5-44e8-a4d2-979e818ea365	ANA-CON-REL-MCQ	Liên hệ (Conceptual)	Relate	Liên hệ		ANALYZE	MULTIPLE_CHOICE	What is the causal / logical relationship between [phenomenon A] and [phenomenon B]?	Mối liên hệ nhân quả / logic giữa [hiện tượng A] và [hiện tượng B] là gì?	DEFAULT_ORG
20b6cad2-52ef-486b-99b9-6b654cc2c5b5	APP-CON-APY-MCQ	Áp dụng (Conceptual)	Apply	Áp dụng		APPLY	MULTIPLE_CHOICE	Applying [principle/theory A] to situation [B], what is the result/consequence?	Áp dụng [nguyên tắc/lý thuyết A] vào tình huống [B], kết quả/hệ quả là gì?	DEFAULT_ORG
dec5056e-1597-4839-84f0-7966c751e45c	APP-CON-DEM-MCQ	Minh họa/Thể hiện (Conceptual)	Demonstrate	Minh họa/Thể hiện		APPLY	MULTIPLE_CHOICE	Which example best demonstrates the application of [principle X]?	Ví dụ nào sau đây minh họa rõ nhất cho việc áp dụng [nguyên tắc X]?	DEFAULT_ORG
b89a4fbf-a89b-477e-bce4-ed03942863e8	APP-CON-MOD-MCQ	Điều chỉnh/Sửa đổi (Conceptual)	Modify	Điều chỉnh/Sửa đổi		APPLY	MULTIPLE_CHOICE	How should [principle A] be modified to fit scenario [B]?	Cần điều chỉnh/sửa đổi [nguyên tắc A] như thế nào để phù hợp với tình huống [B]?	DEFAULT_ORG
d3120f12-897a-4fb2-981f-a9030908a7e1	CRE-CON-COM-MRQ	Kết hợp (chọn) (Conceptual)	Combine (select)	Kết hợp (chọn)		CREATE	MULTIPLE_RESPONSE	Select all the ideas/elements that, when combined effectively, could create the [desired outcome/novel solution].	Chọn tất cả các ý tưởng/yếu tố mà khi kết hợp hiệu quả có thể tạo ra [kết quả mong muốn/giải pháp mới lạ].	DEFAULT_ORG
d2676426-9fe9-4c55-980f-5e74986dccbf	CRE-CON-DES-MRQ	Thiết kế (chọn) (Conceptual)	Design (select)	Thiết kế (chọn)		CREATE	MULTIPLE_RESPONSE	Select all the necessary elements/considerations to design an [experiment/system] to test/achieve [hypothesis/goal].	Chọn tất cả các yếu tố/cân nhắc cần thiết để thiết kế một [thí nghiệm/hệ thống] nhằm kiểm chứng/đạt được [giả thuyết/mục tiêu].	DEFAULT_ORG
3fe7a34c-4881-47bd-ab63-b4f8a15ba32b	CRE-CON-DEV-MCQ	Phát triển (chọn) (Conceptual)	Develop (select)	Phát triển (chọn)		CREATE	MULTIPLE_CHOICE	Select the most plausible new/alternative hypothesis that could explain the [observed data/phenomenon].	Chọn giả thuyết mới/phù hợp nhất có thể giải thích cho [dữ liệu/hiện tượng quan sát được].	DEFAULT_ORG
5fdc8485-8add-456f-8843-c350bade5093	CRE-CON-FOR-MCQ	Hình thành (chọn) (Conceptual)	Formulate (select)	Hình thành (chọn)		CREATE	MULTIPLE_CHOICE	Select the most appropriate research question to explore the [issue/problem].	Chọn câu hỏi nghiên cứu phù hợp nhất để khám phá [vấn đề].	DEFAULT_ORG
d7d135e0-5197-4f88-8dd1-f1a5bef556eb	CRE-CON-PRO-MCQ	Đề xuất (chọn) (Conceptual)	Propose (select)	Đề xuất (chọn)		CREATE	MULTIPLE_CHOICE	Select the most innovative/creative solution proposal for the [problem].	Chọn đề xuất giải pháp mới/sáng tạo nhất cho [vấn đề].	DEFAULT_ORG
56908708-3352-436b-b1df-34fccea0d0fd	EVA-CON-CRI-MCQ	Phê bình (Conceptual)	Critique	Phê bình		EVALUATE	MULTIPLE_CHOICE	Point out the main weakness/logical fallacy in the [argument/reasoning]. (Select the best critique)	Chỉ ra điểm yếu/lỗ hổng logic chính trong [luận điểm/lập luận]. (Chọn phê bình đúng nhất)	DEFAULT_ORG
5f699552-7d10-42db-9cd5-592c4f9c43a1	EVA-CON-DEF-MCQ	Bảo vệ (Conceptual)	Defend	Bảo vệ		EVALUATE	MULTIPLE_CHOICE	Which argument best defends viewpoint [X] against criticism [Y]?	Luận điểm nào bảo vệ tốt nhất [quan điểm X] trước sự phản bác [Y]?	DEFAULT_ORG
26259ed5-3a6a-4015-aca6-9a47dec19c91	EVA-CON-EVL-MCQ	Đánh giá (Conceptual)	Evaluate	Đánh giá		EVALUATE	MULTIPLE_CHOICE	Which evaluation is most reasonable regarding the [validity/value] of the [theory/viewpoint]?	Đánh giá nào là hợp lý nhất về [tính đúng đắn/giá trị] của [lý thuyết/quan điểm]?	DEFAULT_ORG
f05d2d45-0939-49f4-b04d-831788c2e52d	EVA-CON-JUD-MCQ	Phán xét (Conceptual)	Judge	Phán xét		EVALUATE	MULTIPLE_CHOICE	Based on [ethical/logical criteria], which judgment is most reasonable about the [action/conclusion]?	Dựa trên [tiêu chí đạo đức/logic], phán xét nào là hợp lý nhất về [hành động/kết luận]?	DEFAULT_ORG
3c42707a-a7b0-4ffe-8190-41372b212a25	EVA-CON-JUS-MCQ	Biện minh/Lý giải (Conceptual)	Justify	Biện minh/Lý giải		EVALUATE	MULTIPLE_CHOICE	Which reason best justifies/supports the [viewpoint/decision]?	Lý lẽ nào biện minh/ủng hộ mạnh mẽ nhất cho [quan điểm/quyết định]?	DEFAULT_ORG
f206eec6-cfd7-47ea-96c0-6ebfe0733bc0	EVA-CON-REC-MCQ	Đề xuất/Khuyến nghị (Conceptual)	Recommend	Đề xuất/Khuyến nghị		EVALUATE	MULTIPLE_CHOICE	Based on the situation analysis, which recommendation/choice is best in terms of [strategy]?	Dựa trên phân tích tình huống, đề xuất/lựa chọn nào là tốt nhất về mặt [chiến lược]?	DEFAULT_ORG
3990f394-9a7c-4e95-ae23-c42d0bb15c0c	EVA-CON-RNK-SEQ	Xếp hạng (Conceptual)	Rank	Xếp hạng		EVALUATE	SEQUENCE	Rank the following [theories/arguments] based on their [level of evidence/plausibility].	Xếp hạng các [lý thuyết/luận điểm] sau dựa trên [mức độ bằng chứng/tính hợp lý] của chúng.	DEFAULT_ORG
e5bf2b92-f4f6-4d41-8f73-872c04f256f1	REM-CON-DEF-MCQ	Định nghĩa (Conceptual)	Define	Định nghĩa		REMEMBER	MULTIPLE_CHOICE	Select the statement that best expresses the essence/meaning of [concept Y].	Chọn phát biểu thể hiện đúng nhất bản chất/ý nghĩa của [khái niệm Y].	DEFAULT_ORG
40d0ce6f-101f-4285-ab98-a471c9254ac7	REM-CON-DEF-TF	Định nghĩa (Conceptual)	Define	Định nghĩa		REMEMBER	TRUE_FALSE	True or False: This statement accurately reflects the core meaning of [concept Y].	Đúng hay Sai: Phát biểu này phản ánh chính xác ý nghĩa cốt lõi của [khái niệm Y].	DEFAULT_ORG
5e8ae4f1-d4ae-4615-a750-e442e0d3a504	REM-CON-IDT-MAT	Nhận dạng (Conceptual)	Identify	Nhận dạng		REMEMBER	MATCHING	Match the label (A, B, C) on the diagram with the [concept/stage] it represents.	Nối nhãn (A, B, C) trên sơ đồ với [khái niệm/giai đoạn] mà nó thể hiện.	DEFAULT_ORG
5e11745c-6d3a-4984-992a-c445cb9b0a5a	ANA-CON-ATR-MCQ	Quy thuộc (Conceptual)	Attribute	Quy thuộc		ANALYZE	MULTIPLE_CHOICE	What is the main cause / determining factor leading to [result Y]?	Nguyên nhân chính / Yếu tố quyết định gây ra [kết quả Y] là gì?	DEFAULT_ORG
86c642d9-9d1e-496b-b650-dfaea78e58a3	REM-CON-IDT-MCQ	Nhận dạng (Conceptual)	Identify	Nhận dạng		REMEMBER	MULTIPLE_CHOICE	Select the best definition/description that represents the [concept].	Chọn định nghĩa/mô tả đúng nhất thể hiện [khái niệm].	DEFAULT_ORG
b223d771-ad23-4df8-9824-b173351a9ae9	REM-CON-MAT-MAT	Nối cặp (Conceptual)	Match	Nối cặp		REMEMBER	MATCHING	Match the [concept] with its [illustrative example/brief description of essence].	Nối [khái niệm] với [ví dụ minh họa/mô tả ngắn gọn bản chất] của nó.	DEFAULT_ORG
bd86c739-82be-463d-8705-2476f447bb86	UND-CON-CLS-MCQ	Phân loại (Conceptual)	Classify	Phân loại		UNDERSTAND	MULTIPLE_CHOICE	Which category/group does this [example/object X] belong to?	[Ví dụ/Đối tượng X] thuộc loại/nhóm nào sau đây?	DEFAULT_ORG
e801a3ac-f723-4bc2-8e1d-7add6a3a8b6f	UND-CON-CLS-MRQ	Phân loại (Conceptual)	Classify	Phân loại		UNDERSTAND	MULTIPLE_RESPONSE	Select all [examples] that belong to the [specific category].	Chọn tất cả các [ví dụ] thuộc về [loại cụ thể].	DEFAULT_ORG
be65bbd3-675f-4ea4-bda7-65792aeb62d6	UND-CON-CMP-MCQ	So sánh (Conceptual)	Compare	So sánh		UNDERSTAND	MULTIPLE_CHOICE	Select the statement that correctly states the BASIC similarity/difference between [A] and [B].	Chọn phát biểu nêu đúng điểm giống/khác biệt CƠ BẢN giữa [A] và [B].	DEFAULT_ORG
6712d5c5-e477-493f-9ab3-9841ee2e1d0b	UND-CON-CMP-MRQ	So sánh (Conceptual)	Compare	So sánh		UNDERSTAND	MULTIPLE_RESPONSE	Select all the SIMILAR / DIFFERENT characteristics between [A] and [B].	Chọn tất cả các đặc điểm GIỐNG NHAU / KHÁC BIỆT giữa [A] và [B].	DEFAULT_ORG
26792d83-d8da-4838-90b4-47fed42dd69d	UND-CON-CMP-TF	So sánh (Conceptual)	Compare	So sánh		UNDERSTAND	TRUE_FALSE	True or False: A key difference between [A] and [B] is [specific characteristic].	Đúng hay Sai: Một điểm khác biệt chính giữa [A] và [B] là [đặc điểm cụ thể].	DEFAULT_ORG
11c748c7-985b-4470-ab53-259f02e55b7d	UND-CON-DES-MCQ	Mô tả (Conceptual)	Describe	Mô tả		UNDERSTAND	MULTIPLE_CHOICE	Select the best description of the nature/operating principle of the [concept/mechanism].	Chọn mô tả đúng nhất về bản chất/nguyên lý hoạt động của [khái niệm/cơ chế].	DEFAULT_ORG
e43ac5a9-ea63-4739-ad62-e14e0163201f	UND-CON-EXP-MCQ	Giải thích (Conceptual)	Explain	Giải thích		UNDERSTAND	MULTIPLE_CHOICE	Select the best explanation for [the cause/result/conceptual relationship].	Chọn giải thích đúng nhất về [nguyên nhân/kết quả/mối quan hệ khái niệm].	DEFAULT_ORG
4e9cc6cd-f5b8-497e-9b03-81901e3d05f3	UND-CON-EXP-SA	Giải thích (Conceptual)	Explain	Giải thích		UNDERSTAND	SHORT_ANSWER	Briefly explain the reason for [phenomenon X] based on [key concept/factor].	Giải thích ngắn gọn nguyên nhân của [hiện tượng X] dựa trên [khái niệm/yếu tố then chốt].	DEFAULT_ORG
72f7f8c1-d4a9-4e51-a5a1-e37c06ad5cf6	UND-CON-INF-MCQ	Suy luận (Conceptual)	Infer	Suy luận		UNDERSTAND	MULTIPLE_CHOICE	From the information [X], what can be reasonably inferred about [Y]?	Từ thông tin [X], có thể suy luận hợp lý điều gì về [Y]?	DEFAULT_ORG
484ce0ed-d457-443a-9144-2f9876b512d4	UND-CON-INT-MCQ	Diễn giải (Conceptual)	Interpret	Diễn giải		UNDERSTAND	MULTIPLE_CHOICE	What is the main meaning/message derived from the [graph/text]?	Ý nghĩa/Thông điệp chính rút ra từ [đồ thị/đoạn văn] là gì?	DEFAULT_ORG
5a9ee260-06fa-4cba-aa64-755688810944	UND-CON-PAR-MCQ	Diễn đạt lại (Conceptual)	Paraphrase	Diễn đạt lại		UNDERSTAND	MULTIPLE_CHOICE	Select the most accurate paraphrase of the [original sentence/idea] in different words.	Chọn cách diễn đạt lại [câu/ý gốc] chính xác nhất bằng lời khác.	DEFAULT_ORG
80bfaaf4-64b8-4b40-8e3c-bb07c225a3a0	UND-CON-PRE-MCQ	Dự đoán (Conceptual)	Predict	Dự đoán		UNDERSTAND	MULTIPLE_CHOICE	Based on the [trend/principle], what is the most likely outcome/future state?	Dựa trên [xu hướng/nguyên tắc], kết quả/trạng thái tương lai có khả năng xảy ra nhất là gì?	DEFAULT_ORG
417bba44-446c-43b7-9bd1-4d4309da264c	UND-CON-SUM-MCQ	Tóm tắt (Conceptual)	Summarize	Tóm tắt		UNDERSTAND	MULTIPLE_CHOICE	Select the most accurate and complete summary of the content of the [text/theory].	Chọn tóm tắt chính xác và đầy đủ nhất nội dung của [văn bản/lý thuyết].	DEFAULT_ORG
5c79da21-7b7b-4aa4-8308-57d5308a0180	ANA-PRO-ANA-MCQ	Phân tích (Procedural)	Analyze	Phân tích		ANALYZE	MULTIPLE_CHOICE	Analyzing the [process], which step is most critical / likely to cause errors?	Phân tích [quy trình], bước nào là quan trọng nhất / có thể gây lỗi?	DEFAULT_ORG
3be6d40a-1238-4c00-b030-1e114cd265a7	ANA-PRO-CMP-MCQ	So sánh/Đối chiếu (Procedural)	Compare/Contrast	So sánh/Đối chiếu		ANALYZE	MULTIPLE_CHOICE	Compare the effectiveness/pros-cons of [process A] and [process B] for [purpose Z]. Select the most accurate comparison.	So sánh hiệu quả/ưu nhược điểm của [quy trình A] và [quy trình B] cho [mục đích Z]. Chọn so sánh đúng nhất.	DEFAULT_ORG
cad08ba2-083f-4204-8120-d94a07b51ccc	APP-PRO-APY-MCQ	Áp dụng (Procedural)	Apply	Áp dụng		APPLY	MULTIPLE_CHOICE	Applying [formula/method X] to [data Y], what is the result obtained? (Select the answer)	Áp dụng [công thức/phương pháp X] cho [dữ liệu Y], kết quả thu được là…? (Chọn đáp án)	DEFAULT_ORG
f64fd4c5-3712-4cbe-9817-6de1c27bb674	APP-PRO-APY-NUM	Áp dụng (Procedural)	Apply	Áp dụng		APPLY	NUMERIC	Applying [formula/method X] to [data Y], calculate the result. (Enter the number)	Áp dụng [công thức/phương pháp X] cho [dữ liệu Y], hãy tính toán kết quả. (Nhập số)	DEFAULT_ORG
300e4d58-669c-43d5-9cbe-a445dfae01ea	APP-PRO-CAL-MCQ	Tính toán (Procedural)	Calculate/Compute	Tính toán		APPLY	MULTIPLE_CHOICE	What is the calculated result of the [quantity] using the [formula/method]? (Select the answer)	Kết quả tính toán [đại lượng] sử dụng [công thức/phương pháp] là bao nhiêu? (Chọn đáp số)	DEFAULT_ORG
9294cff3-0dab-413f-9580-46c5c3c6354e	APP-PRO-CAL-NUM	Tính toán (Procedural)	Calculate/Compute	Tính toán		APPLY	NUMERIC	Calculate and enter the numerical result of the [expression/problem].	Tính toán và nhập kết quả dạng số của [biểu thức/bài toán].	DEFAULT_ORG
0c3a623d-6260-4af3-bda8-560af111b255	APP-PRO-DEM-MCQ	Minh họa/Thể hiện (Procedural)	Demonstrate	Minh họa/Thể hiện		APPLY	MULTIPLE_CHOICE	Which result correctly demonstrates the execution of [process Y]?	Kết quả nào thể hiện đúng việc thực hiện [quy trình Y]?	DEFAULT_ORG
63426098-a74c-460a-a4de-01b73bf1cc3d	APP-PRO-DET-MCQ	Xác định (Procedural)	Determine	Xác định		APPLY	MULTIPLE_CHOICE	Using [method X] to determine the value of [Y], the result is…? (Select the answer)	Sử dụng [phương pháp X] để xác định giá trị của [Y], kết quả là…? (Chọn đáp án)	DEFAULT_ORG
98c68e18-329b-4536-897a-c7d7e9e7caae	APP-PRO-DET-NUM	Xác định (Procedural)	Determine	Xác định		APPLY	NUMERIC	Using [method X], determine and enter the numerical value of [Y].	Sử dụng [phương pháp X], xác định và nhập giá trị dạng số của [Y].	DEFAULT_ORG
a580942b-758f-4001-bd4b-a9908d4844da	APP-PRO-EXE-MCQ	Triển khai/Thực thi (Procedural)	Implement/Execute	Triển khai/Thực thi		APPLY	MULTIPLE_CHOICE	What is the result of executing the [algorithm/process] with [input]? (Select the answer)	Kết quả của việc thực thi [thuật toán/quy trình] với [input] là gì? (Chọn đáp án)	DEFAULT_ORG
b980da4a-b94d-427a-a35f-7ea089fc15ac	APP-PRO-EXE-SA	Triển khai/Thực thi (Procedural)	Implement/Execute	Triển khai/Thực thi		APPLY	SHORT_ANSWER	What is the final output/state after executing the [algorithm/process] with [input]? (Enter text/value)	Kết quả/Trạng thái cuối cùng sau khi thực thi [thuật toán/quy trình] với [input] là gì? (Nhập text/giá trị)	DEFAULT_ORG
2c8942a3-cb9e-41da-98c7-48d94c921b51	APP-PRO-EXE-SEQ	Triển khai/Thực thi (Procedural)	Implement/Execute	Triển khai/Thực thi		APPLY	SEQUENCE	Arrange the steps correctly to execute the [process/algorithm].	Sắp xếp đúng các bước để thực thi [quy trình/thuật toán].	DEFAULT_ORG
6c83635b-c3a0-4c2a-9940-d450f0f5dd3c	APP-PRO-MOD-MCQ	Điều chỉnh/Sửa đổi (Procedural)	Modify	Điều chỉnh/Sửa đổi		APPLY	MULTIPLE_CHOICE	Which part/line (A, B, C) of the [diagram/code] needs modification to achieve [goal]?	Phần/Dòng nào (A, B, C) của [sơ đồ/mã lệnh] cần sửa đổi để đạt được [mục tiêu]?	DEFAULT_ORG
851a7e80-6f31-4f04-8a2f-45c8da13954e	APP-PRO-MOD-SA	Điều chỉnh/Sửa đổi (Procedural)	Modify	Điều chỉnh/Sửa đổi		APPLY	SHORT_ANSWER	Identify the specific component/line number in the [diagram/code] that needs modification for [goal].	Xác định thành phần/số dòng cụ thể trong [sơ đồ/mã lệnh] cần sửa đổi cho [mục tiêu].	DEFAULT_ORG
dd1493a7-d1f3-493c-81b5-096102df2279	APP-PRO-SOL-MCQ	Giải quyết (Procedural)	Solve	Giải quyết		APPLY	MULTIPLE_CHOICE	Solve the specific [problem/equation], select the correct answer.	Giải [bài toán/phương trình] cụ thể, chọn đáp án đúng.	DEFAULT_ORG
cec2b718-9db6-4262-b1b6-f7d7c09fcc6e	APP-PRO-SOL-NUM	Giải quyết (Procedural)	Solve	Giải quyết		APPLY	NUMERIC	Solve the [problem/equation], enter the final numerical result.	Giải [bài toán/phương trình], nhập kết quả cuối cùng dạng số.	DEFAULT_ORG
42e69b27-51a5-4651-851d-23daf0e5fa77	APP-PRO-USE-MCQ	Sử dụng (Procedural)	Use	Sử dụng		APPLY	MULTIPLE_CHOICE	Which [method/tool] is most appropriate to use for [task] in this situation?	Chọn [phương pháp/công cụ] phù hợp nhất để thực hiện [nhiệm vụ] trong tình huống này.	DEFAULT_ORG
