Bảng 1: Lĩnh vực (fields)						
Đây là 6 lĩnh vực cấp cao nhất, phân chia toàn bộ không gian tri thức về điện toán.						
						
OPERATING_SYSTEMS	Operating Systems	Khám phá các nguyên tắc cốt lõi của hệ điều hành, bao gồm quản lý tiến trình, bộ nhớ, hệ thống tệp và cách HĐH cung cấp một lớp trừu tượng giữa phần cứng và ứng dụng.	CSN	OS, process management, virtual memory, concurrency	OS	{"icon": "cogs"}
PHYSICAL_COMPUTING	Physical Computing and Robotics	Tập trung vào việc lập trình các hệ thống tương tác với thế giới vật lý thông qua cảm biến, cơ cấu chấp hành và vi điều khiển, làm nền tảng cho Robotics và các thiết bị nhúng.	CSN, MET	robotics, Arduino, sensors, embedded systems	SPD	{"icon": "robot"}
NETWORKING	Networking and Communication	Bao gồm các nguyên tắc về mạng máy tính, mô hình phân lớp, các giao thức truyền thông và kiến trúc của Internet, đảm bảo việc truyền dữ liệu một cách đáng tin cậy.	CSN	protocols, TCP/IP, routing, Internet	NC	{"icon": "network-wired"}
COMP_THINKING	Computational Thinking & Algorithms	Tập trung vào tư duy giải quyết vấn đề có cấu trúc, thiết kế và phân tích hiệu quả của thuật toán. Đây là nền tảng lý thuyết cho mọi lĩnh vực lập trình và khoa học máy tính.	ASE	problem solving, algorithms, Big O, data structures	AL	{"icon": "lightbulb"}
COMP_MATH	Computational Mathematics	Cung cấp các nền tảng toán học thiết yếu cho khoa học máy tính, bao gồm logic, lý thuyết tập hợp, đồ thị, xác suất và thống kê, làm cơ sở cho thuật toán, AI và phân tích dữ liệu.	ASE, DAI	discrete math, logic, probability, statistics	MSF	{"icon": "calculator"}
PROG_FUNDAMENTALS	Programming Fundamentals	Bao gồm các khái niệm và kỹ năng lập trình cốt lõi, từ biến, kiểu dữ liệu, luồng điều khiển, đến hàm và các cấu trúc dữ liệu cơ bản, giúp xây dựng nền tảng vững chắc cho mọi lập trình viên.	ASE	programming, coding, variables, control flow, functions	SDF	{"icon": "file-code"}
SW_PARADIGMS	Software Paradigms and Design	Khám phá các mô hình lập trình khác nhau (Hướng đối tượng, Hàm, Sự kiện) và các nguyên tắc thiết kế phần mềm, giúp lựa chọn phương pháp tiếp cận phù hợp để xây dựng các hệ thống phức tạp.	ASE	OOP, functional programming, design patterns, architecture	FPL	{"icon": "project-diagram"}
SW_LIFECYCLE	Software Development Lifecycle	Bao quát toàn bộ quy trình kỹ thuật phần mềm, từ thu thập yêu cầu, thiết kế, phát triển, đến kiểm thử, triển khai và bảo trì, nhấn mạnh các phương pháp Agile và DevOps.	ASE	software engineering, Agile, Scrum, testing, version control	SE	{"icon": "tasks"}
WEB_DEV	Web Development	Bao gồm các công nghệ, kiến trúc và kỹ thuật để xây dựng các ứng dụng web hiện đại và tương tác, từ giao diện người dùng (frontend) đến logic máy chủ (backend).	ASE, HCC	HTML, CSS, JavaScript, backend, frontend, API	SPD	{"icon": "globe"}
DATA_REP	Data Representation	Nghiên cứu cách thông tin được mã hóa, biểu diễn và lưu trữ ở mức độ bit và byte bên trong máy tính, bao gồm hệ đếm, mã hóa ký tự và các kỹ thuật nén.	DAI	binary, encoding, compression, bits, bytes	AR, AL	{"icon": "ruler-combined"}
DATA_MGMT	Data Management Systems	Tập trung vào việc thiết kế, sử dụng và quản lý các hệ thống cơ sở dữ liệu (SQL và NoSQL) để lưu trữ, truy vấn và duy trì tính toàn vẹn của dữ liệu có cấu trúc và bán cấu trúc.	DAI	database, SQL, NoSQL, data modeling, transactions	DM	{"icon": "server"}
DATA_ANALYSIS	Data Analysis and Visualization	Bao gồm các phương pháp và công cụ để thu thập, làm sạch, phân tích thống kê và trực quan hóa dữ liệu nhằm khám phá các mẫu, xu hướng và rút ra tri thức có giá trị.	DAI	data science, statistics, visualization, data cleaning, EDA	MSF, GIT	{"icon": "chart-bar"}
DISTRIBUTED_SYSTEMS	Distributed Systems and Cloud	Bao gồm các nguyên tắc về thiết kế và triển khai các hệ thống hoạt động trên nhiều máy tính, bao gồm điện toán đám mây, xử lý dữ liệu lớn và các thuật toán đồng thuận.	MET, CSN	cloud computing, distributed, parallel, big data	PDC	{"icon": "cloud"}
AI_ML	Artificial Intelligence & Machine Learning	Bao gồm các khái niệm, thuật toán và ứng dụng của trí tuệ nhân tạo, đặc biệt là học máy, cho phép máy tính học hỏi từ dữ liệu để thực hiện các nhiệm vụ thông minh.	MET	AI, machine learning, neural networks, deep learning	AI	{"icon": "brain-circuit"}
IOT	Internet of Things (IoT)	Tập trung vào hệ sinh thái của các thiết bị vật lý được kết nối mạng, từ cảm biến, vi điều khiển đến các giao thức truyền thông và nền tảng đám mây để thu thập và xử lý dữ liệu.	MET, CSN	IoT, sensors, embedded, MQTT	SPD, NC	{"icon": "wifi"}
GRAPHICS_VISUAL_COMPUTING	Graphics and Visual Computing	Bao gồm các kỹ thuật tạo, thao tác và hiển thị hình ảnh kỹ thuật số, từ đồ họa 2D/3D, hoạt hình, đến mô phỏng và thực tế ảo/tăng cường (VR/AR).	MET	graphics, rendering, animation, simulation, VR, AR	GIT	{"icon": "vr-cardboard"}
HCI	Human-Computer Interaction	Nghiên cứu về sự tương tác giữa con người và hệ thống máy tính. Lĩnh vực này tập trung vào các mô hình nhận thức, thiết bị và các nguyên tắc để tạo ra sự tương tác hiệu quả và tự nhiên.	HCC	HCI, interaction, usability, cognition	HCI	{"icon": "mouse-pointer"}
UI_UX_DESIGN	UI/UX Design and Accessibility	Tập trung vào quy trình thiết kế giao diện (UI) và trải nghiệm người dùng (UX) cho các sản phẩm số, đảm bảo tính thẩm mỹ, khả dụng và khả năng tiếp cận cho mọi người.	HCC, ASE	UI, UX, design, prototyping, accessibility	HCI, SEP	{"icon": "palette"}
DIGITAL_LITERACY	Digital Literacy and Collaboration	Bao gồm các kỹ năng sử dụng thành thạo và hiệu quả các công cụ kỹ thuật số để giao tiếp, cộng tác, quản lý thông tin và giải quyết vấn đề trong môi trường làm việc hiện đại.	IDC	collaboration, productivity tools, communication, netiquette	SEP	{"icon": "tools"}
DIGITAL_CITIZENSHIP	Digital Citizenship and Ethics	Bao gồm các quy tắc ứng xử, đạo đức, an toàn và trách nhiệm của một công dân trong xã hội số, nhấn mạnh đến quyền riêng tư, an ninh thông tin và tác động xã hội của công nghệ.	IDC	ethics, privacy, security, societal impact	SEP	{"icon": "user-shield"}
NATIVE_APP_DEV	Native App Development	Bao gồm các công nghệ, kiến trúc và kỹ thuật để xây dựng các ứng dụng chạy trực tiếp trên hệ điều hành của một nền tảng cụ thể (iOS, Android, macOS), tận dụng tối đa các API và trải nghiệm người dùng gốc.	ASE, HCC	native, mobile development, iOS, Android, SwiftUI, UIKit, Jetpack Compose	SPD, HCI	{"icon": "mobile-alt"}
GAME_DEV	Game Design and Development	Bao gồm quy trình thiết kế và phát triển trò chơi điện tử, từ cơ chế gameplay, thiết kế màn chơi (level design), vật lý trong game, đến lập trình kịch bản game và cân bằng trải nghiệm người chơi.	MET, ASE, HCC	game engine, level design, game physics, gameplay, game mechanics, Roblox, Unity	SPD, GIT	{"icon": "gamepad"}
						
						
						
Bảng 3: Hạng mục (categories)						
Các Subject được chia nhỏ hơn thành các Category cụ thể.						
						
code	name	description	subject_codes	keywords	cs2023_ka_mapping	metadata
HARDWARE_COMPONENTS	Hardware Components & Organization	Khám phá các thành phần vật lý cốt lõi của máy tính như CPU, bộ nhớ, thiết bị lưu trữ, và cách chúng được tổ chức để tạo thành một hệ thống hoạt động.	CS_ARCHITECTURE	CPU, RAM, HDD, SSD, peripherals	AR	{"icon": "memory"}
MEMORY_IO_SYSTEMS	Memory and I/O Systems	Nghiên cứu sâu về hệ thống phân cấp bộ nhớ và các cơ chế máy tính tương tác với thiết bị đầu vào/ra, bao gồm polling, interrupts và DMA.	CS_ARCHITECTURE	I/O, memory hierarchy, interrupts, DMA	AR, OS	{"icon": "exchange-alt"}
OS_CONCEPTS	Operating System Concepts	Giới thiệu các khái niệm nền tảng của hệ điều hành, bao gồm cách nó quản lý tài nguyên hệ thống như tiến trình, bộ nhớ và hệ thống tệp.	OPERATING_SYSTEMS	process, thread, virtual memory, file system	OS	{"icon": "window-restore"}
TROUBLESHOOTING	Hardware & Software Troubleshooting	Phát triển các kỹ năng chẩn đoán và giải quyết một cách có hệ thống các sự cố phổ biến liên quan đến cả phần cứng và phần mềm máy tính.	CS_ARCHITECTURE, SW_LIFECYCLE	debugging, diagnostics, problem solving, error handling	SDF, SE	{"icon": "screwdriver-wrench"}
MICROCONTROLLERS	Microcontrollers & Embedded Systems	Lập trình cho các vi điều khiển và hệ thống nhúng, tập trung vào các nền tảng phổ biến và các ràng buộc về tài nguyên và thời gian thực.	PHYSICAL_COMPUTING	Arduino, Raspberry Pi, embedded, real-time	SPD, AR	{"icon": "microchip"}
SENSORS_ACTUATORS	Sensors and Actuators	Tìm hiểu cách sử dụng cảm biến để thu thập dữ liệu từ môi trường vật lý và dùng cơ cấu chấp hành để tạo ra các tác động vật lý.	PHYSICAL_COMPUTING	sensors, actuators, input, output, motors, servos	GIT, SPD	{"icon": "tachometer-alt"}
ROBOTICS_FUNDAMENTALS	Robotics Fundamentals	Cung cấp các nguyên tắc cơ bản về thiết kế cơ khí, động học, lập trình và hệ thống điều khiển cho robot.	PHYSICAL_COMPUTING, AI_ML	robotics, kinematics, control systems, ROS	AI, SPD	{"icon": "robot"}
MECHANICAL_SYSTEMS	Mechanical Systems	Giới thiệu các nguyên tắc về cơ cấu, truyền động và các thành phần cơ khí đơn giản làm nền tảng cho robotics và các hệ thống cơ điện tử.	PHYSICAL_COMPUTING	mechanics, gears, levers, drivetrain	SPD	{"icon": "cogs"}
ELECTRONIC_CIRCUITS	Electronic Components & Circuits	Cung cấp kiến thức nền tảng về các linh kiện điện tử cơ bản và nguyên tắc thiết kế mạch, cần thiết cho việc xây dựng các hệ thống vật lý.	PHYSICAL_COMPUTING	electronics, circuits, resistors, capacitors, logic gates	AR	{"icon": "bolt"}
NETWORK_PROTOCOLS	Network Protocols and Layers	Nghiên cứu mô hình phân lớp mạng (OSI, TCP/IP) và các giao thức ở mỗi tầng, từ tầng vật lý đến tầng ứng dụng.	NETWORKING, WEB_DEV	TCP/IP, OSI model, HTTP, DNS, protocols	NC	{"icon": "layer-group"}
NETWORK_INFRA	Network Infrastructure	Tìm hiểu về các thành phần phần cứng và topo mạng tạo nên hạ tầng mạng, bao gồm router, switch và các phương tiện truyền dẫn.	NETWORKING	router, switch, topology, cabling, wireless	NC	{"icon": "network-wired"}
NETWORK_SECURITY	Network Security	Tập trung vào các kỹ thuật và công cụ để bảo vệ hạ tầng và dữ liệu trên mạng, bao gồm tường lửa, mã hóa và hệ thống phát hiện xâm nhập.	NETWORKING, WEB_DEV	firewall, encryption, VPN, cybersecurity, threats	NC, SEC	{"icon": "user-shield"}
ABSTRACTION_DECOMP	Abstraction and Decomposition	Rèn luyện các kỹ năng tư duy cốt lõi để đơn giản hóa vấn đề bằng cách tạo ra các lớp trừu tượng và chia nhỏ bài toán phức tạp thành các phần dễ quản lý.	COMP_THINKING	abstraction, decomposition, problem solving, modeling	AL, SDF	{"icon": "sitemap"}
ALGORITHM_DESIGN	Algorithm Design and Analysis	Giới thiệu các chiến lược thiết kế thuật toán kinh điển (tham lam, chia để trị, quy hoạch động) và phương pháp phân tích độ phức tạp (Big O).	COMP_THINKING	Big O, greedy, divide and conquer, dynamic programming	AL	{"icon": "project-diagram"}
LOGIC_BOOLEAN	Logic and Boolean Algebra	Cung cấp nền tảng logic mệnh đề, đại số Boolean và các cổng logic, là cơ sở toán học cho mọi hoạt động của máy tính.	COMP_MATH	logic, boolean, truth tables, logic gates	MSF, AR	{"icon": "gate-open"}
DISCRETE_STRUCTURES	Discrete Structures	Khám phá các cấu trúc toán học rời rạc như tập hợp, quan hệ, đồ thị và cây, là ngôn ngữ nền tảng cho cấu trúc dữ liệu và thuật toán.	COMP_MATH	sets, graphs, trees, relations, combinatorics	MSF	{"icon": "diagram-project"}
VARIABLES_DATA_TYPES	Variables and Data Types	Giới thiệu khái niệm về biến, hằng số, phạm vi và các kiểu dữ liệu cơ bản (nguyên thủy, tham chiếu) trong lập trình.	PROG_FUNDAMENTALS	variables, data types, primitive, reference, scope	SDF, FPL	{"icon": "tags"}
OPERATORS_EXPRESSIONS	Operators and Expressions	Hướng dẫn cách sử dụng các toán tử số học, so sánh, logic để xây dựng các biểu thức tính toán và đưa ra quyết định trong chương trình.	PROG_FUNDAMENTALS	operators, expressions, arithmetic, comparison, logical	SDF	{"icon": "calculator-alt"}
CONTROL_FLOW	Control Flow	Trình bày các cấu trúc điều khiển luồng thực thi của chương trình, bao gồm các câu lệnh rẽ nhánh (điều kiện) và các cấu trúc lặp.	PROG_FUNDAMENTALS	if-else, loops, switch-case, iteration, conditionals	SDF	{"icon": "code-branch"}
FUNCTIONS_PROCEDURES	Functions and Procedures	Hướng dẫn kỹ thuật đóng gói mã vào các hàm/thủ tục có thể tái sử dụng, bao gồm cách truyền tham số và trả về giá trị.	PROG_FUNDAMENTALS	functions, methods, parameters, return values, modularity	SDF	{"icon": "function"}
DATA_STRUCTURES_BASIC	Basic Data Structures	Giới thiệu các cấu trúc dữ liệu cơ bản thường được tích hợp sẵn trong ngôn ngữ như mảng (array) và danh sách (list).	PROG_FUNDAMENTALS	array, list, collections, data structures	SDF	{"icon": "list-ol"}
OOP	Object-Oriented Programming	Khám phá mô hình lập trình hướng đối tượng, tập trung vào 4 trụ cột: đóng gói, kế thừa, đa hình và trừu tượng.	SW_PARADIGMS	OOP, class, object, inheritance, polymorphism	FPL, SDF	{"icon": "object-group"}
FUNCTIONAL_PROG	Functional Programming	Giới thiệu mô hình lập trình hàm, nhấn mạnh vào các khái niệm như hàm thuần túy (pure functions), tính bất biến và hàm bậc cao.	SW_PARADIGMS	functional, immutability, higher-order functions, lambda	FPL	{"icon": "lambda"}
EVENT_DRIVEN_PROG	Event-Driven Programming	Trình bày mô hình lập trình dựa trên sự kiện, trong đó luồng chương trình được điều khiển bởi các sự kiện từ người dùng hoặc hệ thống.	SW_PARADIGMS, HCI	events, event handlers, asynchronous, callbacks	FPL, HCI	{"icon": "hand-point-up"}
DESIGN_PATTERNS	Software Design Patterns	Cung cấp các giải pháp thiết kế đã được kiểm chứng và có thể tái sử dụng cho các vấn đề thường gặp trong kỹ thuật phần mềm.	SW_PARADIGMS	design patterns, singleton, factory, observer, MVC	SE	{"icon": "puzzle-piece"}
DEVELOPMENT_PROCESS	Software Development Process Models	So sánh các mô hình quy trình phát triển phần mềm, từ truyền thống như Thác nước đến các phương pháp linh hoạt như Agile và Scrum.	SW_LIFECYCLE	Agile, Scrum, Waterfall, methodology, process	SE	{"icon": "timeline"}
TESTING_DEBUGGING	Testing and Debugging	Trang bị các kỹ thuật, công cụ và chiến lược để đảm bảo chất lượng phần mềm thông qua kiểm thử và gỡ lỗi hiệu quả.	SW_LIFECYCLE, WEB_DEV	testing, debugging, unit test, integration test, QA	SE	{"icon": "bug"}
VERSION_CONTROL	Version Control Systems	Giới thiệu về tầm quan trọng và cách sử dụng các hệ thống quản lý phiên bản (VCS), đặc biệt là Git, để theo dõi và quản lý thay đổi mã nguồn.	SW_LIFECYCLE	Git, version control, commit, branch, merge	SE	{"icon": "code-commit"}
FRONTEND_DEV	Frontend Development	Tập trung vào việc xây dựng phần giao diện người dùng của ứng dụng web, sử dụng các công nghệ cốt lõi là HTML, CSS và JavaScript.	WEB_DEV	HTML, CSS, JavaScript, client-side, UI	SPD, HCI	{"icon": "browser"}
BACKEND_DEV	Backend Development	Tập trung vào việc xây dựng phần logic phía máy chủ của ứng dụng web, bao gồm xử lý nghiệp vụ, quản lý dữ liệu và tạo ra các API.	WEB_DEV	backend, server-side, API, database	SPD, DM	{"icon": "server"}
WEB_FRAMEWORKS	Web Frameworks	Hướng dẫn cách sử dụng các framework phổ biến (ví dụ: React, Django) để tăng tốc và chuẩn hóa quá trình phát triển ứng dụng web.	WEB_DEV	frameworks, React, Angular, Vue, Django, Express	SPD	{"icon": "cubes"}
BINARY_SYSTEM	Binary Representation & Number Systems	Hiểu và sử dụng hệ đếm nhị phân và các hệ đếm khác (thập lục phân) để biểu diễn số, ký tự và các loại dữ liệu khác trong máy tính.	DATA_REP	binary, hexadecimal, number systems, bits	AR	{"icon": "binary"}
DATA_ENCODING	Data Encoding and Compression	Khám phá các lược đồ mã hóa (ASCII, Unicode) và các thuật toán nén dữ liệu (lossy, lossless) để lưu trữ và truyền tải thông tin hiệu quả.	DATA_REP	encoding, compression, ASCII, Unicode, JPEG, MP3	AL	{"icon": "file-archive"}
DATABASE_FUNDAMENTALS	Database Fundamentals & SQL	Cung cấp các khái niệm nền tảng về cơ sở dữ liệu quan hệ, mô hình hóa dữ liệu, và kỹ năng sử dụng Ngôn ngữ Truy vấn có Cấu trúc (SQL).	DATA_MGMT	database, RDBMS, SQL, normalization, ACID	DM	{"icon": "database"}
DATA_STRUCTURES_ADV	Advanced Data Structures	Nghiên cứu sâu về các cấu trúc dữ liệu trừu tượng và thuật toán liên quan như ngăn xếp, hàng đợi, cây, đồ thị, bảng băm.	COMP_THINKING, DATA_MGMT	stack, queue, tree, graph, hash table	AL, FPL	{"icon": "sitemap"}
DATA_COLLECTION	Data Collection and Cleaning	Bao gồm các phương pháp và công cụ để thu thập dữ liệu từ nhiều nguồn khác nhau và các kỹ thuật tiền xử lý để đảm bảo chất lượng và tính nhất quán của dữ liệu.	DATA_ANALYSIS	data collection, data cleaning, ETL, web scraping, API	DM, AI	{"icon": "filter"}
DATA_VISUALIZATION	Data Visualization	Nghiên cứu các nguyên tắc và công cụ để biểu diễn dữ liệu một cách trực quan, giúp truyền tải thông điệp, khám phá xu hướng và hỗ trợ ra quyết định.	DATA_ANALYSIS, HCI	visualization, charts, graphs, dashboards, D3.js	GIT	{"icon": "chart-pie"}
STATISTICS_PROBABILITY	Statistics and Probability for Computing	Cung cấp các khái niệm thống kê và xác suất ứng dụng, làm nền tảng cho phân tích dữ liệu, học máy và các thuật toán ngẫu nhiên.	DATA_ANALYSIS, COMP_MATH	statistics, probability, distributions, hypothesis testing	MSF	{"icon": "analytics"}
CLOUD_COMPUTING	Cloud Computing Concepts	Giới thiệu các mô hình dịch vụ (IaaS, PaaS, SaaS), mô hình triển khai (Public, Private, Hybrid) và các khái niệm cốt lõi của điện toán đám mây.	DISTRIBUTED_SYSTEMS	cloud, IaaS, PaaS, SaaS, AWS, Azure	PDC, NC	{"icon": "cloud-upload-alt"}
BIG_DATA_TECH	Big Data Technologies	Khám phá các kiến trúc và công cụ (như MapReduce, Spark, Hadoop) được thiết kế để lưu trữ, xử lý và phân tích các tập dữ liệu cực lớn.	DISTRIBUTED_SYSTEMS	big data, Hadoop, Spark, MapReduce, data processing	PDC, DM	{"icon": "stream"}
PARALLEL_DIST_ALGO	Parallel & Distributed Algorithms	Nghiên cứu về thiết kế và phân tích các thuật toán chạy song song trên nhiều bộ xử lý hoặc phân tán trên nhiều máy tính để tăng hiệu năng.	DISTRIBUTED_SYSTEMS, COMP_THINKING	parallelism, concurrency, distributed algorithms	PDC, AL	{"icon": "project-diagram"}
AI_CONCEPTS	AI Concepts and History	Giới thiệu lịch sử, các khái niệm cơ bản, các nhánh chính và các cột mốc quan trọng trong sự phát triển của Trí tuệ Nhân tạo.	AI_ML	AI, history of AI, Turing test, strong AI, narrow AI	AI	{"icon": "brain"}
ML_MODELS	Machine Learning Models	Khám phá các loại mô hình học máy chính: học có giám sát (regression, classification), không giám sát (clustering) và học tăng cường.	AI_ML	machine learning, supervised, unsupervised, reinforcement	AI	{"icon": "cogs"}
AI_APPLICATIONS	AI Applications	(Mới) Khám phá các ứng dụng thực tế của AI trong các lĩnh vực như xử lý ngôn ngữ tự nhiên (NLP), thị giác máy tính, hệ gợi ý và AI tạo sinh.	AI_ML	NLP, computer vision, recommendation systems, generative AI	AI	{"icon": "rocket"}
AI_ETHICS_BIAS	AI Ethics and Bias	Thảo luận về các vấn đề đạo đức, trách nhiệm, sự công bằng và các loại thiên vị (bias) có thể tồn tại trong các hệ thống AI.	AI_ML, DIGITAL_CITIZENSHIP	AI ethics, fairness, bias, accountability, transparency	AI, SEP	{"icon": "balance-scale"}
IOT_ECOSYSTEM	IoT Ecosystem	Tìm hiểu các thành phần của một hệ sinh thái IoT, bao gồm thiết bị (things), xử lý biên (edge), cổng (gateway) và nền tảng đám mây.	IOT	IoT, edge computing, gateway, cloud platform	SPD, NC	{"icon": "sitemap"}
IOT_COMMUNICATION	IoT Communication Protocols	Khám phá các giao thức truyền tin đặc thù cho môi trường IoT, như MQTT, CoAP, LoRaWAN, được thiết kế cho các thiết bị có tài nguyên hạn chế.	IOT, NETWORKING	MQTT, CoAP, LoRaWAN, wireless protocols	NC, SPD	{"icon": "broadcast-tower"}
IOT_SECURITY_SAFETY	IoT Security and Safety	Phân tích các mối đe dọa bảo mật và rủi ro an toàn vật lý đặc thù của các hệ thống IoT và các biện pháp phòng chống.	IOT	IoT security, device safety, firmware, privacy	SEC, SPD	{"icon": "shield-check"}
GRAPHICS_FUNDAMENTALS	Graphics Fundamentals & Rendering	Bao gồm các nguyên tắc cơ bản của đồ họa máy tính, các kỹ thuật và quy trình để tạo ra hình ảnh 2D từ một mô hình 3D (kết xuất).	GRAPHICS_VISUAL_COMPUTING	rendering pipeline, rasterization, ray tracing, shaders	GIT	{"icon": "image"}
GEOMETRIC_MODELING	Geometric Modeling	Nghiên cứu các phương pháp toán học và tính toán để biểu diễn các hình dạng và đối tượng hình học 2D và 3D trong máy tính.	GRAPHICS_VISUAL_COMPUTING	modeling, polygons, curves, surfaces, transformations	GIT	{"icon": "draw-polygon"}
DIGITAL_IMAGE_MANIPULATION	Digital Image Manipulation	Tìm hiểu các kỹ thuật và công cụ để tạo và chỉnh sửa đồ họa raster (dựa trên pixel) và vector (dựa trên đường dẫn).	GRAPHICS_VISUAL_COMPUTING	raster, vector, Photoshop, Illustrator, image editing	GIT	{"icon": "paint-brush"}
3D_MODELING_ANIMATION	3D Modeling and Animation	Bao gồm các kỹ thuật để tạo ra các mô hình ba chiều trên máy tính và các nguyên tắc để tạo chuyển động cho chúng (hoạt hình).	GRAPHICS_VISUAL_COMPUTING	3D modeling, animation, rigging, keyframe, Blender	GIT	{"icon": "cube"}
HCI_PRINCIPLES	HCI Principles and Theories	Cung cấp các nguyên tắc và lý thuyết nền tảng về nhận thức con người và thiết kế tương tác để tạo ra các hệ thống hiệu quả, dễ sử dụng và thú vị.	HCI	usability, cognitive load, mental models, affordances	HCI	{"icon": "user-check"}
INTERACTION_DEVICES	Interaction Devices and Paradigms	Khám phá sự đa dạng của các thiết bị đầu vào/ra (chuột, cảm ứng, giọng nói, VR) và các mô hình tương tác tương ứng (GUI, NUI).	HCI	input devices, output, GUI, NUI, VR/AR	HCI	{"icon": "mouse"}
UI_UX_PROCESS	UI/UX Design Process	Trình bày quy trình thiết kế giao diện và trải nghiệm người dùng một cách có hệ thống, từ nghiên cứu, phác thảo, đến prototyping và kiểm thử.	UI_UX_DESIGN	design process, user research, wireframing, prototyping	HCI, SE	{"icon": "drafting-compass"}
GRAPHIC_DESIGN_CAT	Visual Design Principles for UI	Áp dụng các nguyên tắc cốt lõi về màu sắc, bố cục, khoảng trắng và chữ viết (typography) để tạo ra các giao diện người dùng thẩm mỹ và hiệu quả.	UI_UX_DESIGN, HCI	visual design, color theory, typography, layout, UI	GIT, HCI	{"icon": "ruler-combined"}
ACCESSIBILITY	Accessibility and Inclusive Design	Giới thiệu các nguyên tắc và kỹ thuật để thiết kế sản phẩm công nghệ mà mọi người, kể cả người có khuyết tật, đều có thể sử dụng được (a11y).	UI_UX_DESIGN, DIGITAL_CITIZENSHIP	accessibility, a11y, inclusive design, WCAG	HCI, SEP	{"icon": "universal-access"}
DIGITAL_INTERACTION_CAT	Digital Interaction and Communication	Bao gồm các kỹ năng và quy tắc ứng xử (netiquette) khi giao tiếp, trình bày ý tưởng và tương tác hiệu quả trong môi trường số.	DIGITAL_LITERACY	communication, etiquette, netiquette, presentation	SEP	{"icon": "comments"}
COLLABORATION_TOOLS_CAT	Digital Collaboration Tools	Hướng dẫn sử dụng hiệu quả các công cụ và nền tảng kỹ thuật số để làm việc nhóm, quản lý dự án và hợp tác từ xa.	DIGITAL_LITERACY	collaboration, teamwork, project management, Git, Trello	SEP	{"icon": "users-cog"}
