learning_objective_code	prerequisite_lo_code	rationale	source_layer
ULO-APP_EXTENSION_MODEL-03	ULO-APP_EXTENSION_MODEL-02	Bloom progression within concept APP_EXTENSION_MODEL	L3-LLM
ULO-APP_EXTENSION_MODEL-04	ULO-APP_EXTENSION_MODEL-03	Bloom progression within concept APP_EXTENSION_MODEL	L3-LLM
ULO-ARDUINO_BASICS-02	ULO-ARDUINO_BASICS-01	Bloom progression within concept ARDUINO_BASICS	L3-LLM
ULO-ARDUINO_BASICS-03	ULO-ARDUINO_BASICS-02	Bloom progression within concept ARDUINO_BASICS	L3-LLM
ULO-ARDUINO_BASICS-04	ULO-ARDUINO_BASICS-03	Bloom progression within concept ARDUINO_BASICS	L3-LLM
ULO-ARRAY_OPERATIONS-02	ULO-ARRAY_OPERATIONS-01	Bloom progression within concept ARRAY_OPERATIONS	L3-LLM
ULO-ARRAY_OPERATIONS-03	ULO-ARRAY_OPERATIONS-02	Bloom progression within concept ARRAY_OPERATIONS	L3-LLM
ULO-ARRAY_OPERATIONS-04	ULO-ARRAY_OPERATIONS-03	Bloom progression within concept ARRAY_OPERATIONS	L3-LLM
ULO-ASYNCHRONOUS_PROG_CONCEPT-02	ULO-ASYNCHRONOUS_PROG_CONCEPT-01	Bloom progression within concept ASYNCHRONOUS_PROG_CONCEPT	L3-LLM
ULO-ASYNCHRONOUS_PROG_CONCEPT-03	ULO-ASYNCHRONOUS_PROG_CONCEPT-02	Bloom progression within concept ASYNCHRONOUS_PROG_CONCEPT	L3-LLM
ULO-ASYNCHRONOUS_PROG_CONCEPT-04	ULO-ASYNCHRONOUS_PROG_CONCEPT-03	Bloom progression within concept ASYNCHRONOUS_PROG_CONCEPT	L3-LLM
ULO-AUTONOMOUS_DRONE_NAVIGATION-02	ULO-AUTONOMOUS_DRONE_NAVIGATION-01	Bloom progression within concept AUTONOMOUS_DRONE_NAVIGATION	L3-LLM
ULO-AUTONOMOUS_DRONE_NAVIGATION-03	ULO-AUTONOMOUS_DRONE_NAVIGATION-02	Bloom progression within concept AUTONOMOUS_DRONE_NAVIGATION	L3-LLM
ULO-AUTONOMOUS_DRONE_NAVIGATION-04	ULO-AUTONOMOUS_DRONE_NAVIGATION-03	Bloom progression within concept AUTONOMOUS_DRONE_NAVIGATION	L3-LLM
ULO-BACKEND_FRAMEWORKS-02	ULO-BACKEND_FRAMEWORKS-01	Bloom progression within concept BACKEND_FRAMEWORKS	L3-LLM
ULO-BACKEND_FRAMEWORKS-03	ULO-BACKEND_FRAMEWORKS-02	Bloom progression within concept BACKEND_FRAMEWORKS	L3-LLM
ULO-BACKEND_FRAMEWORKS-04	ULO-BACKEND_FRAMEWORKS-03	Bloom progression within concept BACKEND_FRAMEWORKS	L3-LLM
ULO-BASIC_ELECTRONIC_COMPONENTS_CONCEPT-02	ULO-BASIC_ELECTRONIC_COMPONENTS_CONCEPT-01	Bloom progression within concept BASIC_ELECTRONIC_COMPONENTS_CONCEPT	L3-LLM
ULO-BASIC_ELECTRONIC_COMPONENTS_CONCEPT-03	ULO-BASIC_ELECTRONIC_COMPONENTS_CONCEPT-02	Bloom progression within concept BASIC_ELECTRONIC_COMPONENTS_CONCEPT	L3-LLM
ULO-BASIC_ELECTRONIC_COMPONENTS_CONCEPT-04	ULO-BASIC_ELECTRONIC_COMPONENTS_CONCEPT-03	Bloom progression within concept BASIC_ELECTRONIC_COMPONENTS_CONCEPT	L3-LLM
ULO-BASIC_MECHANISMS_CONCEPT-02	ULO-BASIC_MECHANISMS_CONCEPT-01	Bloom progression within concept BASIC_MECHANISMS_CONCEPT	L3-LLM
ULO-BASIC_MECHANISMS_CONCEPT-03	ULO-BASIC_MECHANISMS_CONCEPT-02	Bloom progression within concept BASIC_MECHANISMS_CONCEPT	L3-LLM
ULO-BASIC_MECHANISMS_CONCEPT-04	ULO-BASIC_MECHANISMS_CONCEPT-03	Bloom progression within concept BASIC_MECHANISMS_CONCEPT	L3-LLM
ULO-BATTERY_MANAGEMENT_ALGORITHMS-02	ULO-BATTERY_MANAGEMENT_ALGORITHMS-01	Bloom progression within concept BATTERY_MANAGEMENT_ALGORITHMS	L3-LLM
ULO-BATTERY_MANAGEMENT_ALGORITHMS-03	ULO-BATTERY_MANAGEMENT_ALGORITHMS-02	Bloom progression within concept BATTERY_MANAGEMENT_ALGORITHMS	L3-LLM
ULO-BATTERY_MANAGEMENT_ALGORITHMS-04	ULO-BATTERY_MANAGEMENT_ALGORITHMS-03	Bloom progression within concept BATTERY_MANAGEMENT_ALGORITHMS	L3-LLM
ULO-BEHAVIORAL_PATTERNS-02	ULO-BEHAVIORAL_PATTERNS-01	Bloom progression within concept BEHAVIORAL_PATTERNS	L3-LLM
ULO-BEHAVIORAL_PATTERNS-03	ULO-BEHAVIORAL_PATTERNS-02	Bloom progression within concept BEHAVIORAL_PATTERNS	L3-LLM
ULO-BEHAVIORAL_PATTERNS-04	ULO-BEHAVIORAL_PATTERNS-03	Bloom progression within concept BEHAVIORAL_PATTERNS	L3-LLM
ULO-BIG_O_NOTATION-02	ULO-BIG_O_NOTATION-01	Bloom progression within concept BIG_O_NOTATION	L3-LLM
ULO-BIG_O_NOTATION-03	ULO-BIG_O_NOTATION-02	Bloom progression within concept BIG_O_NOTATION	L3-LLM
ULO-BIG_O_NOTATION-04	ULO-BIG_O_NOTATION-03	Bloom progression within concept BIG_O_NOTATION	L3-LLM
ULO-BIOINFORMATICS_GENOMIC_ANALYSIS-02	ULO-BIOINFORMATICS_GENOMIC_ANALYSIS-01	Bloom progression within concept BIOINFORMATICS_GENOMIC_ANALYSIS	L3-LLM
ULO-BIOINFORMATICS_GENOMIC_ANALYSIS-03	ULO-BIOINFORMATICS_GENOMIC_ANALYSIS-02	Bloom progression within concept BIOINFORMATICS_GENOMIC_ANALYSIS	L3-LLM
ULO-BIOINFORMATICS_GENOMIC_ANALYSIS-04	ULO-BIOINFORMATICS_GENOMIC_ANALYSIS-03	Bloom progression within concept BIOINFORMATICS_GENOMIC_ANALYSIS	L3-LLM
ULO-BOOLEAN_OPERATIONS_3D-02	ULO-BOOLEAN_OPERATIONS_3D-01	Bloom progression within concept BOOLEAN_OPERATIONS_3D	L3-LLM
ULO-BOOLEAN_OPERATIONS_3D-03	ULO-BOOLEAN_OPERATIONS_3D-02	Bloom progression within concept BOOLEAN_OPERATIONS_3D	L3-LLM
ULO-BOOLEAN_OPERATIONS_3D-04	ULO-BOOLEAN_OPERATIONS_3D-03	Bloom progression within concept BOOLEAN_OPERATIONS_3D	L3-LLM
ULO-BREAKPOINTS-02	ULO-BREAKPOINTS-01	Bloom progression within concept BREAKPOINTS	L3-LLM
ULO-BREAKPOINTS-03	ULO-BREAKPOINTS-02	Bloom progression within concept BREAKPOINTS	L3-LLM
ULO-BREAKPOINTS-04	ULO-BREAKPOINTS-03	Bloom progression within concept BREAKPOINTS	L3-LLM
ULO-BUBBLE_INSERTION_SORT-02	ULO-BUBBLE_INSERTION_SORT-01	Bloom progression within concept BUBBLE_INSERTION_SORT	L3-LLM
ULO-BUBBLE_INSERTION_SORT-03	ULO-BUBBLE_INSERTION_SORT-02	Bloom progression within concept BUBBLE_INSERTION_SORT	L3-LLM
ULO-BUBBLE_INSERTION_SORT-04	ULO-BUBBLE_INSERTION_SORT-03	Bloom progression within concept BUBBLE_INSERTION_SORT	L3-LLM
ULO-CACHE_HIERARCHY-02	ULO-CACHE_HIERARCHY-01	Bloom progression within concept CACHE_HIERARCHY	L3-LLM
ULO-CACHE_HIERARCHY-03	ULO-CACHE_HIERARCHY-02	Bloom progression within concept CACHE_HIERARCHY	L3-LLM
ULO-CACHE_HIERARCHY-04	ULO-CACHE_HIERARCHY-03	Bloom progression within concept CACHE_HIERARCHY	L3-LLM
ULO-CAP_THEOREM-02	ULO-CAP_THEOREM-01	Bloom progression within concept CAP_THEOREM	L3-LLM
ULO-CAP_THEOREM-03	ULO-CAP_THEOREM-02	Bloom progression within concept CAP_THEOREM	L3-LLM
ULO-CAP_THEOREM-04	ULO-CAP_THEOREM-03	Bloom progression within concept CAP_THEOREM	L3-LLM
ULO-CARBON_FOOTPRINT_ACCOUNTING_SOFTWARE-02	ULO-CARBON_FOOTPRINT_ACCOUNTING_SOFTWARE-01	Bloom progression within concept CARBON_FOOTPRINT_ACCOUNTING_SOFTWARE	L3-LLM
ULO-CARBON_FOOTPRINT_ACCOUNTING_SOFTWARE-03	ULO-CARBON_FOOTPRINT_ACCOUNTING_SOFTWARE-02	Bloom progression within concept CARBON_FOOTPRINT_ACCOUNTING_SOFTWARE	L3-LLM
ULO-CARBON_FOOTPRINT_ACCOUNTING_SOFTWARE-04	ULO-CARBON_FOOTPRINT_ACCOUNTING_SOFTWARE-03	Bloom progression within concept CARBON_FOOTPRINT_ACCOUNTING_SOFTWARE	L3-LLM
ULO-CHART_TYPES-02	ULO-CHART_TYPES-01	Bloom progression within concept CHART_TYPES	L3-LLM
ULO-CHART_TYPES-03	ULO-CHART_TYPES-02	Bloom progression within concept CHART_TYPES	L3-LLM
ULO-CHART_TYPES-04	ULO-CHART_TYPES-03	Bloom progression within concept CHART_TYPES	L3-LLM
ULO-CIRCUIT_PRINCIPLES_CONCEPT-02	ULO-CIRCUIT_PRINCIPLES_CONCEPT-01	Bloom progression within concept CIRCUIT_PRINCIPLES_CONCEPT	L3-LLM
ULO-CIRCUIT_PRINCIPLES_CONCEPT-03	ULO-CIRCUIT_PRINCIPLES_CONCEPT-02	Bloom progression within concept CIRCUIT_PRINCIPLES_CONCEPT	L3-LLM
ULO-CIRCUIT_PRINCIPLES_CONCEPT-04	ULO-CIRCUIT_PRINCIPLES_CONCEPT-03	Bloom progression within concept CIRCUIT_PRINCIPLES_CONCEPT	L3-LLM
ULO-CLASS_DEFINITION-02	ULO-CLASS_DEFINITION-01	Bloom progression within concept CLASS_DEFINITION	L3-LLM
ULO-CLASS_DEFINITION-03	ULO-CLASS_DEFINITION-02	Bloom progression within concept CLASS_DEFINITION	L3-LLM
ULO-CLASS_DEFINITION-04	ULO-CLASS_DEFINITION-03	Bloom progression within concept CLASS_DEFINITION	L3-LLM
ULO-CLOSED_LOOP_NEUROSTIMULATION-02	ULO-CLOSED_LOOP_NEUROSTIMULATION-01	Bloom progression within concept CLOSED_LOOP_NEUROSTIMULATION	L3-LLM
ULO-CLOSED_LOOP_NEUROSTIMULATION-03	ULO-CLOSED_LOOP_NEUROSTIMULATION-02	Bloom progression within concept CLOSED_LOOP_NEUROSTIMULATION	L3-LLM
ULO-CLOSED_LOOP_NEUROSTIMULATION-04	ULO-CLOSED_LOOP_NEUROSTIMULATION-03	Bloom progression within concept CLOSED_LOOP_NEUROSTIMULATION	L3-LLM
ULO-CLOUD_DEPLOYMENT_MODELS-02	ULO-CLOUD_DEPLOYMENT_MODELS-01	Bloom progression within concept CLOUD_DEPLOYMENT_MODELS	L3-LLM
ULO-CLOUD_DEPLOYMENT_MODELS-03	ULO-CLOUD_DEPLOYMENT_MODELS-02	Bloom progression within concept CLOUD_DEPLOYMENT_MODELS	L3-LLM
ULO-CLOUD_DEPLOYMENT_MODELS-04	ULO-CLOUD_DEPLOYMENT_MODELS-03	Bloom progression within concept CLOUD_DEPLOYMENT_MODELS	L3-LLM
ULO-CLOUD_MODELS_IAAS_PAAS_SAAS-02	ULO-CLOUD_MODELS_IAAS_PAAS_SAAS-01	Bloom progression within concept CLOUD_MODELS_IAAS_PAAS_SAAS	L3-LLM
ULO-CLOUD_MODELS_IAAS_PAAS_SAAS-03	ULO-CLOUD_MODELS_IAAS_PAAS_SAAS-02	Bloom progression within concept CLOUD_MODELS_IAAS_PAAS_SAAS	L3-LLM
ULO-CLOUD_MODELS_IAAS_PAAS_SAAS-04	ULO-CLOUD_MODELS_IAAS_PAAS_SAAS-03	Bloom progression within concept CLOUD_MODELS_IAAS_PAAS_SAAS	L3-LLM
ULO-CLUSTERING_ALGORITHMS-02	ULO-CLUSTERING_ALGORITHMS-01	Bloom progression within concept CLUSTERING_ALGORITHMS	L3-LLM
ULO-CLUSTERING_ALGORITHMS-03	ULO-CLUSTERING_ALGORITHMS-02	Bloom progression within concept CLUSTERING_ALGORITHMS	L3-LLM
ULO-CLUSTERING_ALGORITHMS-04	ULO-CLUSTERING_ALGORITHMS-03	Bloom progression within concept CLUSTERING_ALGORITHMS	L3-LLM
ULO-COLLABORATIVE_PLATFORMS-02	ULO-COLLABORATIVE_PLATFORMS-01	Bloom progression within concept COLLABORATIVE_PLATFORMS	L3-LLM
ULO-COLLABORATIVE_PLATFORMS-03	ULO-COLLABORATIVE_PLATFORMS-02	Bloom progression within concept COLLABORATIVE_PLATFORMS	L3-LLM
ULO-COLLABORATIVE_PLATFORMS-04	ULO-COLLABORATIVE_PLATFORMS-03	Bloom progression within concept COLLABORATIVE_PLATFORMS	L3-LLM
ULO-COLLISION_DETECTION-02	ULO-COLLISION_DETECTION-01	Bloom progression within concept COLLISION_DETECTION	L3-LLM
ULO-COLLISION_DETECTION-03	ULO-COLLISION_DETECTION-02	Bloom progression within concept COLLISION_DETECTION	L3-LLM
ULO-COLLISION_DETECTION-04	ULO-COLLISION_DETECTION-03	Bloom progression within concept COLLISION_DETECTION	L3-LLM
ULO-COLOR_THEORY-02	ULO-COLOR_THEORY-01	Bloom progression within concept COLOR_THEORY	L3-LLM
ULO-COLOR_THEORY-03	ULO-COLOR_THEORY-02	Bloom progression within concept COLOR_THEORY	L3-LLM
ULO-COLOR_THEORY-04	ULO-COLOR_THEORY-03	Bloom progression within concept COLOR_THEORY	L3-LLM
ULO-COLOR_THEORY_AND_PALETTE_DESIGN-02	ULO-COLOR_THEORY_AND_PALETTE_DESIGN-01	Bloom progression within concept COLOR_THEORY_AND_PALETTE_DESIGN	L3-LLM
ULO-COLOR_THEORY_AND_PALETTE_DESIGN-03	ULO-COLOR_THEORY_AND_PALETTE_DESIGN-02	Bloom progression within concept COLOR_THEORY_AND_PALETTE_DESIGN	L3-LLM
ULO-COLOR_THEORY_AND_PALETTE_DESIGN-04	ULO-COLOR_THEORY_AND_PALETTE_DESIGN-03	Bloom progression within concept COLOR_THEORY_AND_PALETTE_DESIGN	L3-LLM
ULO-COMBINATORICS-02	ULO-COMBINATORICS-01	Bloom progression within concept COMBINATORICS	L3-LLM
ULO-COMBINATORICS-03	ULO-COMBINATORICS-02	Bloom progression within concept COMBINATORICS	L3-LLM
ULO-COMBINATORICS-04	ULO-COMBINATORICS-03	Bloom progression within concept COMBINATORICS	L3-LLM
ULO-COMPOSITION_PRINCIPLES-02	ULO-COMPOSITION_PRINCIPLES-01	Bloom progression within concept COMPOSITION_PRINCIPLES	L3-LLM
ULO-COMPOSITION_PRINCIPLES-03	ULO-COMPOSITION_PRINCIPLES-02	Bloom progression within concept COMPOSITION_PRINCIPLES	L3-LLM
ULO-COMPOSITION_PRINCIPLES-04	ULO-COMPOSITION_PRINCIPLES-03	Bloom progression within concept COMPOSITION_PRINCIPLES	L3-LLM
ULO-COMPUTATIONAL_GENETICS_MODELS-02	ULO-COMPUTATIONAL_GENETICS_MODELS-01	Bloom progression within concept COMPUTATIONAL_GENETICS_MODELS	L3-LLM
ULO-COMPUTATIONAL_GENETICS_MODELS-03	ULO-COMPUTATIONAL_GENETICS_MODELS-02	Bloom progression within concept COMPUTATIONAL_GENETICS_MODELS	L3-LLM
ULO-COMPUTATIONAL_GENETICS_MODELS-04	ULO-COMPUTATIONAL_GENETICS_MODELS-03	Bloom progression within concept COMPUTATIONAL_GENETICS_MODELS	L3-LLM
ULO-COMPUTER_VISION_FEATURE_EXTRACTION-02	ULO-COMPUTER_VISION_FEATURE_EXTRACTION-01	Bloom progression within concept COMPUTER_VISION_FEATURE_EXTRACTION	L3-LLM
ULO-COMPUTER_VISION_FEATURE_EXTRACTION-03	ULO-COMPUTER_VISION_FEATURE_EXTRACTION-02	Bloom progression within concept COMPUTER_VISION_FEATURE_EXTRACTION	L3-LLM
ULO-COMPUTER_VISION_FEATURE_EXTRACTION-04	ULO-COMPUTER_VISION_FEATURE_EXTRACTION-03	Bloom progression within concept COMPUTER_VISION_FEATURE_EXTRACTION	L3-LLM
ULO-COMPUTE_IN_MEMORY_ACCELERATION-02	ULO-COMPUTE_IN_MEMORY_ACCELERATION-01	Bloom progression within concept COMPUTE_IN_MEMORY_ACCELERATION	L3-LLM
ULO-COMPUTE_IN_MEMORY_ACCELERATION-03	ULO-COMPUTE_IN_MEMORY_ACCELERATION-02	Bloom progression within concept COMPUTE_IN_MEMORY_ACCELERATION	L3-LLM
ULO-COMPUTE_IN_MEMORY_ACCELERATION-04	ULO-COMPUTE_IN_MEMORY_ACCELERATION-03	Bloom progression within concept COMPUTE_IN_MEMORY_ACCELERATION	L3-LLM
ULO-COPYRIGHT_CREATIVE_COMMONS-02	ULO-COPYRIGHT_CREATIVE_COMMONS-01	Bloom progression within concept COPYRIGHT_CREATIVE_COMMONS	L3-LLM
ULO-COPYRIGHT_CREATIVE_COMMONS-03	ULO-COPYRIGHT_CREATIVE_COMMONS-02	Bloom progression within concept COPYRIGHT_CREATIVE_COMMONS	L3-LLM
ULO-COPYRIGHT_CREATIVE_COMMONS-04	ULO-COPYRIGHT_CREATIVE_COMMONS-03	Bloom progression within concept COPYRIGHT_CREATIVE_COMMONS	L3-LLM
ULO-CORE_DATA_ORM-02	ULO-CORE_DATA_ORM-01	Bloom progression within concept CORE_DATA_ORM	L3-LLM
ULO-CORE_DATA_ORM-03	ULO-CORE_DATA_ORM-02	Bloom progression within concept CORE_DATA_ORM	L3-LLM
ULO-CORE_DATA_ORM-04	ULO-CORE_DATA_ORM-03	Bloom progression within concept CORE_DATA_ORM	L3-LLM
ULO-CPU_ARCHITECTURE-02	ULO-CPU_ARCHITECTURE-01	Bloom progression within concept CPU_ARCHITECTURE	L3-LLM
ULO-CPU_ARCHITECTURE-03	ULO-CPU_ARCHITECTURE-02	Bloom progression within concept CPU_ARCHITECTURE	L3-LLM
ULO-CPU_ARCHITECTURE-04	ULO-CPU_ARCHITECTURE-03	Bloom progression within concept CPU_ARCHITECTURE	L3-LLM
ULO-CREATIONAL_PATTERNS-02	ULO-CREATIONAL_PATTERNS-01	Bloom progression within concept CREATIONAL_PATTERNS	L3-LLM
ULO-CREATIONAL_PATTERNS-03	ULO-CREATIONAL_PATTERNS-02	Bloom progression within concept CREATIONAL_PATTERNS	L3-LLM
ULO-CREATIONAL_PATTERNS-04	ULO-CREATIONAL_PATTERNS-03	Bloom progression within concept CREATIONAL_PATTERNS	L3-LLM
ULO-CROSSCUTTING_SCIENCE_CONCEPTS-02	ULO-CROSSCUTTING_SCIENCE_CONCEPTS-01	Bloom progression within concept CROSSCUTTING_SCIENCE_CONCEPTS	L3-LLM
ULO-CROSSCUTTING_SCIENCE_CONCEPTS-03	ULO-CROSSCUTTING_SCIENCE_CONCEPTS-02	Bloom progression within concept CROSSCUTTING_SCIENCE_CONCEPTS	L3-LLM
ULO-CROSSCUTTING_SCIENCE_CONCEPTS-04	ULO-CROSSCUTTING_SCIENCE_CONCEPTS-03	Bloom progression within concept CROSSCUTTING_SCIENCE_CONCEPTS	L3-LLM
ULO-CSS_SELECTORS-02	ULO-CSS_SELECTORS-01	Bloom progression within concept CSS_SELECTORS	L3-LLM
ULO-CSS_SELECTORS-03	ULO-CSS_SELECTORS-02	Bloom progression within concept CSS_SELECTORS	L3-LLM
