code	name	description	field_codes	keywords	cs2023_ka_mapping	metadata
DATA_REP	Data Representation	Nghiên cứu cách thông tin được mã hóa, biểu diễn và lưu trữ ở mức độ bit và byte bên trong máy tính, bao gồm hệ đếm, mã hóa ký tự và các kỹ thuật nén.	DAI	binary, encoding, compression, bits, bytes	AR, AL	{"icon": "ruler-combined"}
DATA_MGMT	Data Management Systems	Tập trung vào việc thiết kế, sử dụng và quản lý các hệ thống cơ sở dữ liệu (SQL và NoSQL) để lưu trữ, truy vấn và duy trì tính toàn vẹn của dữ liệu có cấu trúc và bán cấu trúc.	DAI	database, SQL, NoSQL, data modeling, transactions	DM	{"icon": "server"}
DATA_ANALYSIS	Data Analysis and Visualization	Bao gồm các phương pháp và công cụ để thu thập, làm sạch, phân tích thống kê và trực quan hóa dữ liệu nhằm khám phá các mẫu, xu hướng và rút ra tri thức có giá trị.	DAI	data science, statistics, visualization, data cleaning, EDA	MSF, GIT	{"icon": "chart-bar"}
DISTRIBUTED_SYSTEMS	Distributed Systems and Cloud	Bao gồm các nguyên tắc về thiết kế và triển khai các hệ thống hoạt động trên nhiều máy tính, bao gồm điện toán đám mây, xử lý dữ liệu lớn và các thuật toán đồng thuận.	MET, CSN	cloud computing, distributed, parallel, big data	PDC	{"icon": "cloud"}
AI_ML	Artificial Intelligence & Machine Learning	Bao gồm các khái niệm, thuật toán và ứng dụng của trí tuệ nhân tạo, đặc biệt là học máy, cho phép máy tính học hỏi từ dữ liệu để thực hiện các nhiệm vụ thông minh.	MET	AI, machine learning, neural networks, deep learning	AI	{"icon": "brain-circuit"}
IOT	Internet of Things (IoT)	Tập trung vào hệ sinh thái của các thiết bị vật lý được kết nối mạng, từ cảm biến, vi điều khiển đến các giao thức truyền thông và nền tảng đám mây để thu thập và xử lý dữ liệu.	MET, CSN	IoT, sensors, embedded, MQTT	SPD, NC	{"icon": "wifi"}
GRAPHICS_VISUAL_COMPUTING	Graphics and Visual Computing	Bao gồm các kỹ thuật tạo, thao tác và hiển thị hình ảnh kỹ thuật số, từ đồ họa 2D/3D, hoạt hình, đến mô phỏng và thực tế ảo/tăng cường (VR/AR).	MET	graphics, rendering, animation, simulation, VR, AR	GIT	{"icon": "vr-cardboard"}
HCI	Human-Computer Interaction	Nghiên cứu về sự tương tác giữa con người và hệ thống máy tính. Lĩnh vực này tập trung vào các mô hình nhận thức, thiết bị và các nguyên tắc để tạo ra sự tương tác hiệu quả và tự nhiên.	HCC	HCI, interaction, usability, cognition	HCI	{"icon": "mouse-pointer"}
UI_UX_DESIGN	UI/UX Design and Accessibility	Tập trung vào quy trình thiết kế giao diện (UI) và trải nghiệm người dùng (UX) cho các sản phẩm số, đảm bảo tính thẩm mỹ, khả dụng và khả năng tiếp cận cho mọi người.	HCC, ASE	UI, UX, design, prototyping, accessibility	HCI, SEP	{"icon": "palette"}
DIGITAL_LITERACY	Digital Literacy and Collaboration	Bao gồm các kỹ năng sử dụng thành thạo và hiệu quả các công cụ kỹ thuật số để giao tiếp, cộng tác, quản lý thông tin và giải quyết vấn đề trong môi trường làm việc hiện đại.	IDC	collaboration, productivity tools, communication, netiquette	SEP	{"icon": "tools"}
DIGITAL_CITIZENSHIP	Digital Citizenship and Ethics	Bao gồm các quy tắc ứng xử, đạo đức, an toàn và trách nhiệm của một công dân trong xã hội số, nhấn mạnh đến quyền riêng tư, an ninh thông tin và tác động xã hội của công nghệ.	IDC	ethics, privacy, security, societal impact	SEP	{"icon": "user-shield"}
NATIVE_APP_DEV	Native App Development	Bao gồm các công nghệ, kiến trúc và kỹ thuật để xây dựng các ứng dụng chạy trực tiếp trên hệ điều hành của một nền tảng cụ thể (iOS, Android, macOS), tận dụng tối đa các API và trải nghiệm người dùng gốc.	ASE, HCC	native, mobile development, iOS, Android, SwiftUI, UIKit, Jetpack Compose	SPD, HCI	{"icon": "mobile-alt"}
