concept_name	description_vi	supporting_keywords	is_new_concept	matched_master_code	match_score	match_reason	proposed_code	cs2023_ka	suggested_topic_codes
ASYNCHRONOUS_PROGRAMMING	Lập trình bất đồng bộ: async/await, Promise/Future, callback, non-blocking I/O, concurrency.	asynchronous programming, async, await, promises, callbacks, non-blocking, asynchronous, async await	FALSE	ASYNCHRONOUS_PROG_CONCEPT	1.0	Exact code match exists in Master Tree.	ASYNCHRONOUS_PROG_CONCEPT	FPL,SDF	ASYNCHRONOUS_PROG
FIRST_CLASS_FUNCTIONS	Hàm là first-class citizen: gán cho biến, truyền làm tham số, trả về từ hàm khác, closure, lambda.	first-class functions, first class functions, higher-order functions, lambda, closures, First-Class & Higher-Order Functions	FALSE	FIRST_CLASS_FUNCTIONS_CONCEPT	1.0	Exact code match exists in Master Tree.	FIRST_CLASS_FUNCTIONS_CONCEPT	FPL	FIRST_CLASS_FUNCTIONS
CLOSURES_CAPTURE	Closure: hàm nén bắt giá trị từ phạm vi bao quanh (capture semantics), reference vs value capture.	closure, closures, capture, capture semantics, captured variable	TRUE		0.0	Covered under FIRST_CLASS_FUNCTIONS but no separate closure concept.	CLOSURES_CAPTURE	FPL	FIRST_CLASS_FUNCTIONS
FUNCTION_SYNTAX	Cú pháp hàm: tham số (parameters), nhãn tham số (argument labels), kiểu trả về (return type), body, gọi hàm.	function, function syntax, function execution, execution of functions, parameters, parameter, argument labels, argument, returns, return values, return, FUNC_SYNTAX	FALSE	PRIMITIVE_TYPE_DECLARATION	0.6	Covered under declaration topics but no separate function syntax concept.	FUNCTION_SYNTAX	SDF,FPL	FUNC_SYNTAX,RETURN_VALUES
STRUCT_VALUE_SEMANTICS	Struct (value type): copy-on-write, value semantics, không có identity, so sánh bằng giá trị.	struct, structure, value type, value semantics, instance of a structure, Create an instance of a structure, structure instance	TRUE		0.0	Master has CLASS_DEFINITION, OBJECT_INSTANTIATION but no value type/struct concept.	STRUCT_VALUE_SEMANTICS	SDF,FPL	CLASSES_OBJECTS,REFERENCE_TYPES
PROPERTY_WRAPPER	Property wrapper: gói logic getter/setter tái sử dụng (@State, @Binding, @Published, @ObservedObject).	property wrapper, Property Wrapper, @State Property Wrapper, @Binding, @Published, @ObservedObject, wrapper, Wrapper to control, Property Wrapper to control	FALSE	STATE_PROPERTY_WRAPPER	0.9	Matches LOCAL_VIEW_STATE / SHARED_OBSERVABLE_STATE but no generic property wrapper concept.	PROPERTY_WRAPPER	HCI,SDF	STATE_MANAGEMENT,OBSERVABLE_MODEL
DATA_BINDING_TWO_WAY	Two-way data binding: @Binding/$ prefix, chia sẻ trạng thái読写 giữa parent-child view, single source of truth.	two-way binding, two way binding, @Binding, data binding, binding, Data Binding, Two-Way Data Binding	FALSE	TWO_WAY_BINDING	1.0	Exact code match.	TWO_WAY_BINDING	HCI,SDF	DATA_BINDING
STATE_MANAGEMENT_PATTERNS	Mẫu quản lý trạng thái: local state (@State), shared state (@StateObject/@ObservedObject), environment, single source of truth.	state management, state, local state, shared state, ephemeral state, shared observable state, Shared Observable State, Local View State, STATE_MANAGEMENT	FALSE	LOCAL_VIEW_STATE	0.8	Master has LOCAL_VIEW_STATE and SHARED_OBSERVABLE_STATE but no unified state management patterns concept.	STATE_MANAGEMENT_PATTERNS	HCI,SDF	STATE_MANAGEMENT,OBSERVABLE_MODEL
UI_STACK_LAYOUT	Stack-based layout: VStack (dọc), HStack (ngang), ZStack (chồng), alignment, spacing.	stack layout, VStack, HStack, ZStack, stack views, Stack Views, Views inside of Stack, inside of Stack, arrange Views inside, stack-based layout	FALSE	LEVEL_LAYOUT	0.7	Master has STACK_LAYOUT topic and LEVEL_LAYOUT concept but no dedicated stack layout concept.	UI_STACK_LAYOUT	HCI,GIT	STACK_LAYOUT,UI_MODIFIERS
UI_CONTAINER_VIEWS	Container view: Group, Section, Form, List, ScrollView, LazyVStack/LazyHStack — tổ chức view con.	container view, Container Views, Create Container Views, Create Container, container, Group, Section, Form, List, ScrollView	TRUE		0.0	No container view concept in Master Tree.	UI_CONTAINER_VIEWS	HCI	UI_CONTROLS,STACK_LAYOUT
UI_NAVIGATION	Điều hướng: NavigationStack, NavigationLink, tab bar, sheet, modal presentation, hierarchical navigation.	navigation, Navigation, Project Navigation, XCode Project Navigation, structure XCode Project Navigation, navigation stack, hierarchical navigation	TRUE		0.0	Master has IDE_NAVIGATION topic but no UI navigation concept.	UI_NAVIGATION	HCI	IDE_NAVIGATION,HIERARCHICAL_NAVIGATION
UI_ANIMATION_TRANSITIONS	Animation & chuyển cảnh: implicit (.animation), explicit (withAnimation), transition, spring, timing curve.	animation, animation transition, transition, implicit animation, explicit animation, withAnimation, view transitions, View Transitions, Implicit vs. Explicit Animation, UI Animation	FALSE	IMPLICIT_EXPLICIT_ANIMATION	1.0	Exact code match.	IMPLICIT_EXPLICIT_ANIMATION	GIT,HCI	UI_ANIMATION
UI_ACCESSIBILITY	Truy cập: VoiceOver, semantic markup, dynamic type, contrast, WCAG POUR, screen reader support.	accessibility, accessible, a11y, screen reader, Screen Readers, WCAG, WCAG Principles, POUR, inclusive design, Inclusive Design and Accessibility Standards, visual design with accessibility	FALSE	WCAG_PRINCIPLES	1.0	Exact code match.	WCAG_PRINCIPLES	HCI,SEP	WCAG_STANDARDS,ASSISTIVE_TECH
UI_COLOR_THEORY	Màu sắc: RGB, HSB, color palette, contrast ratio, dark mode support, semantic color, Color Theory.	color, Color Theory, color theory, RGB, CMYK, color wheel, color palette, contrast, color harmony	FALSE	COLOR_THEORY	1.0	Exact code match.	COLOR_THEORY	GIT	GRAPHIC_DESIGN_PRINCIPLES
UI_TYPOGRAPHY	Typography: font, font weight, kerning, leading, tracking, dynamic type, text style, system font.	font, typography, Typography, font system, visual hierarchy, kerning, leading, tracking, .font, Text	FALSE	TYPOGRAPHY_AND_VISUAL_HIERARCHY	1.0	Exact code match exists in Master Tree.	TYPOGRAPHY_AND_VISUAL_HIERARCHY	GIT,HCI	GRAPHIC_DESIGN_PRINCIPLES
UI_COMPOSITION_PRINCIPLES	Nguyên tắc bố cục: rule of thirds, balance, alignment, proximity, repetition, visual hierarchy, golden ratio.	composition, composition principles, layout, rule of thirds, balance, visual balance, layout grid, Layout Grid and Compositional Rules, Composition Principles	FALSE	COMPOSITION_PRINCIPLES	1.0	Exact code match.	COMPOSITION_PRINCIPLES	GIT,HCI	GRAPHIC_DESIGN_PRINCIPLES,WIREFRAMING_PROTOTYPING
USER_CENTERED_DESIGN	Thiết kế lấy người dùng làm trung tâm: empathy, user research, persona, journey map, usability testing.	user-centered design, user centered design, UCD, design thinking, user research, persona, User-Centered Design Process, Creating User Personas, User Personas, Personas and Scenarios, usability testing, Usability Testing	FALSE	USER_CENTERED_DESIGN	1.0	Exact code match.	USER_CENTERED_DESIGN	HCI	USER_RESEARCH
WIREFRAMING_PROTOTYPING	Wireframe (low-fidelity) & Prototype (interactive): layout, flow, test ý tưởng trước khi code.	wireframe, wireframing, Wireframing, prototype, prototyping, Prototyping, mockup, UI, UX, Figma, low fidelity, high fidelity	FALSE	WIREFRAMING	1.0	Exact code match.	WIREFRAMING	HCI	WIREFRAMING_PROTOTYPING
DESIGN_THINKING_PROCESS	Design Thinking 5 bước: Empathize, Define, Ideate, Prototype, Test — quy trình lặp giải quyết bài toán thiết kế.	design thinking, Design Thinking, human-centered design, empathize, ideate, prototype, test, Design Thinking & Human-Centered Innovation	FALSE	DESIGN_THINKING_PROCESS	1.0	Exact code match exists in Master Tree.	DESIGN_THINKING_PROCESS	HCI	USER_RESEARCH,WIREFRAMING_PROTOTYPING
DIGITAL_CITIZENSHIP	Công dân số: digital footprint, online identity, netiquette, cyberbullying, privacy, security, ethical behavior.	digital footprint, Digital Footprint, digital identity, Digital Identity Management, online profile, netiquette, cyberbullying, Cyberbullying, online safety, privacy, Privacy Settings, online presence	FALSE	DIGITAL_FOOTPRINT	1.0	Exact code match.	DIGITAL_FOOTPRINT	SEP	PRIVACY_SETTINGS,DIGITAL_INTERACTION
CYBERSECURITY_BASICS	An ninh mạng cơ bản: phishing, social engineering, password strength, 2FA/MFA, malware types, secure coding.	phishing, phishing identification, Identifying Phishing Attempts, social engineering, email security, scam, password strength, Strong Passwords, password security, two-factor authentication, 2FA, MFA, malware, malware types, Malware Types, virus, ransomware, cybersecurity	FALSE	PHISHING_IDENTIFICATION	1.0	Exact code match.	PHISHING_IDENTIFICATION	SEC,SEP	PHISHING_SCAMS,PASSWORD_STRENGTH,MALWARE_TYPES
AI_ETHICS_BIAS	Đạo đức AI: algorithmic bias, fairness, transparency, accountability, training data bias, responsible AI.	AI bias, Bias in AI, algorithmic bias, Algorithmic Bias in Society, fairness, ethics, training data, AI ethics, Ethical AI and Algorithmic Bias Awareness, responsible AI	FALSE	AI_BIAS	1.0	Exact code match.	AI_BIAS	AI,SEP	USER_RESEARCH,SUPERVISED_LEARNING
IMPACT_OF_COMPUTING	Tác động của điện toán: xã hội, kinh tế, văn hóa, môi trường, digital divide, equity, access.	impact of computing, computing concepts, apps on society, society, cultures, economies, ethical and socioeconomic impacts, legal ethical and socioeconomic impacts, Digital Divide, The Digital Divide	FALSE	ALGORITHMIC_BIAS_SOCIETY	0.8	Master has ALGORITHMIC_BIAS_SOCIETY but no broad computing impact concept.	IMPACT_OF_COMPUTING	SEP	USER_RESEARCH,DIGITAL_INTERACTION
COPYRIGHT_LICENSING	Bản quyền & licensing: Creative Commons, intellectual property, attribution, fair use, open source licenses.	copyright, Copyright & Creative Commons, Creative Commons, licenses, intellectual property, intellectual property, attribution, fair use	FALSE	COPYRIGHT_CREATIVE_COMMONS	1.0	Exact code match exists in Master Tree.	COPYRIGHT_CREATIVE_COMMONS	SEP	DIGITAL_INTERACTION
INFORMATION_CREDIBILITY	Đánh giá độ tin cậy thông tin: fact-checking, misinformation, source evaluation, critical thinking.	credibility, credibility assessment, fact-checking, misinformation, Information Credibility, Assessing Information Credibility	FALSE	INFORMATION_CREDIBILITY	1.0	Exact code match exists in Master Tree.	INFORMATION_CREDIBILITY	SEP	DIGITAL_INTERACTION
IDE_NAVIGATION_TOOLING	IDE tooling: project navigator, file inspector, debugger, breakpoint, console, refactoring, code completion.	Xcode, Xcode Project, Project Navigation, IDE, IDE navigation, debugging, breakpoint, Using Breakpoints, structure XCode Project Navigation	FALSE	PROJECT_ASSETS_MANAGEMENT	0.6	Master has IDE_NAVIGATION topic but no concept. Project concept PROJECT_ASSETS_MANAGEMENT is closest.	IDE_NAVIGATION_TOOLING	SDF	IDE_NAVIGATION
SOURCE_CONTROL_GIT	Version control: Git, commit, branch, merge, pull request, conflict resolution, Git workflow.	git, version control, Version Control Workflow, Git workflow, Git Flow, branching strategy, commit, branch, merge	FALSE	VERSION_CONTROL_WORKFLOW	1.0	Exact code match exists in Master Tree.	VERSION_CONTROL_WORKFLOW	SDF	GIT_BASICS
APP_LIFECYCLE	Vòng đời ứng dụng: launch, foreground, background, termination, state restoration, scene delegate.	app lifecycle, application lifecycle, launch, background, foreground, termination, scene, app delegate	TRUE		0.0	No app lifecycle concept in Master Tree.	APP_LIFECYCLE	HCI,SDF	MEDIA_SERVICES,APP_DEPLOYMENT
PLATFORM_SDK_IOS	Platform SDK: iOS/macOS frameworks (UIKit, SwiftUI, Foundation, Combine), system capabilities, permissions.	ios, ios sdk, swiftui, SwiftUI, uikit, framework, platform sdk, system framework, apple platform	TRUE		0.0	Technology-specific (iOS/Apple) — would be SIO level, not CIO.	PLATFORM_SDK_IOS	HCI	MEDIA_SERVICES,GEOSPATIAL_SERVICES
