learning_objective_code	prerequisite_lo_code	rationale	source_layer	justification	counterfactual_test
SIO-SWIFT-ANALYZE_WHILE_LOOP_TERMINATION	SIO-SWIFT-PREVENT_INFINITE_LOOP_WHILE	SIO Apply → Analyze trong cùng CIO CIO-WHILE_LOOP-LOOP_TERMINATION_CONDITION	L1-BLOOM-SIO	Bloom ordering trong cùng parent CIO	NO — SIO cấp thấp là nền bắt buộc của SIO cấp cao
ULO-DECLARATIVE_UI_PARADIGM-01	ULO-VIEW_CONCEPT-01	Tool dependency: Declarative UI paradigm sử dụng view làm đơn vị khai báo giao diện, do đó cần hiểu view trước.	L5-VERIFIED	Tool dependency: Declarative UI paradigm sử dụng view làm đơn vị khai báo giao diện, do đó cần hiểu view trước.	NO — View là đơn vị cơ bản trong declarative UI, nếu không hiểu view thì không thể hiểu declarative paradigm.
ULO-ACCESSIBILITY-04	ULO-VIEW_CONCEPT-01	Tool dependency: Accessibility được triển khai trên các view, cần hiểu view để áp dụng các thuộc tính accessibility.	L5-VERIFIED	Tool dependency: Accessibility được triển khai trên các view, cần hiểu view để áp dụng các thuộc tính accessibility.	NO — View là khái niệm nền tảng cấu thành giao diện, cần hiểu view để đánh giá accessibility của thiết kế cụ thể.
ULO-CONTAINER_VIEWS-03	ULO-VIEW_CONCEPT-01	Conceptual foundation: Container view là một loại view đặc biệt, kế thừa và mở rộng khái niệm view cơ bản.	L5-VERIFIED	Conceptual foundation: Container view là một loại view đặc biệt, kế thừa và mở rộng khái niệm view cơ bản.	NO — Container view là một loại view đặc biệt, kế thừa và mở rộng khái niệm view cơ bản. Nếu không hiểu view, người học không thể hiểu hoặc áp dụng container view.
ULO-VIEW_HIERARCHY-02	ULO-VIEW_CONCEPT-01	Conceptual foundation: Phân cấp view là cấu trúc cây của các view, do đó cần hiểu view trước.	L5-VERIFIED	Conceptual foundation: Phân cấp view là cấu trúc cây của các view, do đó cần hiểu view trước.	NO — Để hiểu về phân cấp view (view hierarchy), trước hết cần nắm được khái niệm view là gì, vì view hierarchy là cấu trúc cây của các view.
ULO-UI_CONTROLS-03	ULO-VIEW_CONCEPT-01	Conceptual foundation: UI controls là các view tương tác, kế thừa khái niệm view cơ bản.	L5-VERIFIED	Conceptual foundation: UI controls là các view tương tác, kế thừa khái niệm view cơ bản.	NO — UI controls là các view tương tác, do đó cần hiểu khái niệm view cơ bản trước khi có thể triển khai chúng.
ULO-SHAPE-03	ULO-VIEW_CONCEPT-01	Conceptual foundation: Shape là view hình học, kế thừa khái niệm view cơ bản.	L5-VERIFIED	Conceptual foundation: Shape là view hình học, kế thừa khái niệm view cơ bản.	NO — Shape là một loại view đặc biệt trong UI development, do đó cần hiểu khái niệm view cơ bản trước khi có thể áp dụng vẽ hình dạng.
ULO-CONTAINER_VIEWS-03	ULO-DECLARATIVE_UI_PARADIGM-01	Tool dependency: Container views trong SwiftUI được khai báo theo paradigm declarative, cần hiểu declarative để sử dụng đúng cú pháp và tư duy.	L5-VERIFIED	Tool dependency: Container views trong SwiftUI được khai báo theo paradigm declarative, cần hiểu declarative để sử dụng đúng cú pháp và tư duy.	NO — Container views trong SwiftUI được xây dựng trên paradigm declarative, nếu không hiểu declarative thì không thể áp dụng đúng cú pháp và tư duy để tạo layout.
ULO-CONTAINER_VIEWS-03	ULO-VIEW_HIERARCHY-02	Conceptual foundation: Container views xây dựng và quản lý view hierarchy, cần hiểu khái niệm hierarchy trước.	L5-VERIFIED	Conceptual foundation: Container views xây dựng và quản lý view hierarchy, cần hiểu khái niệm hierarchy trước.	NO — View hierarchy là nền tảng cốt lõi để hiểu cách container views quản lý và sắp xếp các view con, nếu thiếu kiến thức này thì không thể áp dụng container views đúng cách.
ULO-TYPE_SYSTEM-01	ULO-DATA_TYPES-01	Conceptual foundation: TYPE_SYSTEM extends the concept of DATA_TYPES by defining rules for type checking and inference; without knowing what data types are, one cannot understand how a type system ope	L5-VERIFIED	Conceptual foundation: TYPE_SYSTEM extends the concept of DATA_TYPES by defining rules for type checking and inference; without knowing what data types are, one cannot understand how a type system operates on them.	NO — B yêu cầu nhận biết các kiểu dữ liệu cơ bản, mà A cung cấp nền tảng đó. Nếu chưa hiểu A, sinh viên không thể hiểu B vì B dựa trên khái niệm kiểu dữ liệu.
ULO-VARIABLES_AND_CONSTANTS-03	ULO-DATA_TYPES-01	Tool dependency: VARIABLES_AND_CONSTANTS require data types to define the kind of values they hold; without data types, one cannot declare or use variables meaningfully.	L5-VERIFIED	Tool dependency: VARIABLES_AND_CONSTANTS require data types to define the kind of values they hold; without data types, one cannot declare or use variables meaningfully.	NO — Không thể khai báo và sử dụng biến/hằng nếu chưa biết các kiểu dữ liệu cơ bản để xác định loại giá trị mà chúng lưu trữ.
ULO-OPERATORS-03	ULO-DATA_TYPES-01	Tool dependency: OPERATORS use data types as operands; without knowing data types, one cannot understand operator behavior (e.g., integer addition vs. string concatenation).	L5-VERIFIED	Tool dependency: OPERATORS use data types as operands; without knowing data types, one cannot understand operator behavior (e.g., integer addition vs. string concatenation).	NO — Kiểu dữ liệu cơ bản là nền tảng để hiểu hành vi của các toán tử (ví dụ: cộng số nguyên khác nối chuỗi). Thiếu kiến thức về kiểu dữ liệu, sinh viên không thể áp dụng toán tử một cách chính xác.
ULO-CONTROL_FLOW-01	ULO-IMPERATIVE_PROGRAMMING-02	Tool dependency: CONTROL_FLOW sử dụng khái niệm câu lệnh tuần tự và thứ tự thực thi vốn là nền tảng của IMPERATIVE_PROGRAMMING. Nếu chưa biết imperative programming, sinh viên không thể hiểu được cách	L5-VERIFIED	Tool dependency: CONTROL_FLOW sử dụng khái niệm câu lệnh tuần tự và thứ tự thực thi vốn là nền tảng của IMPERATIVE_PROGRAMMING. Nếu chưa biết imperative programming, sinh viên không thể hiểu được cách các lệnh được sắp xếp và thực thi theo luồng.	NO — Khái niệm luồng điều khiển (B) là một phần cốt lõi của lập trình mệnh lệnh (A); nếu chưa hiểu về trạng thái và luồng thực thi trong A thì không thể hiểu được các cấu trúc điều khiển cơ bản như tuần tự, rẽ nhánh, lặp trong B.
ULO-CONDITIONAL_STATEMENTS-03	ULO-CONTROL_FLOW-01	Conceptual foundation: CONDITIONAL_STATEMENTS là một dạng cụ thể của CONTROL_FLOW (rẽ nhánh). Nếu chưa hiểu khái niệm luồng điều khiển, sinh viên không thể nắm được ý nghĩa của việc rẽ nhánh dựa trên 	L5-VERIFIED	Conceptual foundation: CONDITIONAL_STATEMENTS là một dạng cụ thể của CONTROL_FLOW (rẽ nhánh). Nếu chưa hiểu khái niệm luồng điều khiển, sinh viên không thể nắm được ý nghĩa của việc rẽ nhánh dựa trên điều kiện.	NO — Conditional statements là một dạng cụ thể của control flow (rẽ nhánh), nếu chưa hiểu khái niệm luồng điều khiển thì không thể áp dụng câu lệnh điều kiện.
ULO-ERROR_MESSAGES_CONCEPT-02	ULO-RUNTIME_ERRORS-02	Tool dependency: Interpreting error messages for runtime errors requires knowledge of runtime errors to understand the error context.	L5-VERIFIED	Tool dependency: Interpreting error messages for runtime errors requires knowledge of runtime errors to understand the error context.	NO — Để giải thích thông báo lỗi (B), người học cần hiểu về lỗi runtime (A) vì thông báo lỗi thường xuất hiện trong ngữ cảnh runtime và cần kiến thức về nguyên nhân/hậu quả của lỗi runtime để diễn giải chúng.
ULO-SYNTAX_VS_RUNTIME_ERRORS-02	ULO-SYNTAX_ERRORS-02	Conceptual foundation: Comparing syntax and runtime errors extends the concept of syntax errors by contrasting with runtime errors.	L5-VERIFIED	Conceptual foundation: Comparing syntax and runtime errors extends the concept of syntax errors by contrasting with runtime errors.	NO — Để hiểu và áp dụng sự khác biệt giữa lỗi cú pháp và lỗi runtime, sinh viên cần hiểu rõ lỗi cú pháp (bao gồm nguyên nhân) trước. A là nền tảng bắt buộc cho B.
ULO-SYNTAX_VS_RUNTIME_ERRORS-02	ULO-RUNTIME_ERRORS-02	Conceptual foundation: Comparing syntax and runtime errors extends the concept of runtime errors by contrasting with syntax errors.	L5-VERIFIED	Conceptual foundation: Comparing syntax and runtime errors extends the concept of runtime errors by contrasting with syntax errors.	NO — Để hiểu và áp dụng sự khác biệt giữa lỗi cú pháp và lỗi runtime, người học cần hiểu rõ lỗi runtime trước. Nếu thiếu kiến thức về lỗi runtime, không thể so sánh hoặc áp dụng được.
ULO-ARRAY_OPERATIONS-01	ULO-ARRAYS-03	Conceptual foundation: ARRAY_OPERATIONS mở rộng khái niệm mảng để thực hiện các thao tác cụ thể như truy cập chỉ số, lấy độ dài, duyệt phần tử.	L5-VERIFIED	Conceptual foundation: ARRAY_OPERATIONS mở rộng khái niệm mảng để thực hiện các thao tác cụ thể như truy cập chỉ số, lấy độ dài, duyệt phần tử.	NO — B (Array Operations) là các thao tác cơ bản trên mảng, do đó không thể hiểu B nếu chưa nắm vững A (các thao tác cơ bản trên mảng).
ULO-LOCAL_VIEW_STATE-03	ULO-STATE_PROPERTY_WRAPPER-01	Conceptual foundation: LOCAL_VIEW_STATE là một trường hợp cụ thể của STATE_PROPERTY_WRAPPER (dùng @State). Để hiểu cách @State quản lý state cục bộ, cần nắm khái niệm property wrapper trước.	L5-VERIFIED	Conceptual foundation: LOCAL_VIEW_STATE là một trường hợp cụ thể của STATE_PROPERTY_WRAPPER (dùng @State). Để hiểu cách @State quản lý state cục bộ, cần nắm khái niệm property wrapper trước.	NO — Local view state thường được triển khai bằng @State, một property wrapper; nếu chưa hiểu state property wrapper thì không thể hiểu và áp dụng local view state.
ULO-STRUCTURE_TYPE-03	ULO-REFERENCE_TYPE_DECLARATION-03	Tool dependency: Để khai báo các trường trong struct, cần biết cách khai báo biến với các kiểu tham chiếu (ví dụ: string, array) vì struct có thể chứa các trường kiểu tham chiếu.	L5-VERIFIED	Tool dependency: Để khai báo các trường trong struct, cần biết cách khai báo biến với các kiểu tham chiếu (ví dụ: string, array) vì struct có thể chứa các trường kiểu tham chiếu.	NO — Để thiết kế struct với các trường dữ liệu, cần hiểu cách khai báo kiểu tham chiếu (ví dụ: string, array) vì struct thường chứa các trường kiểu tham chiếu, do đó A là tiên quyết bắt buộc.
ULO-WHILE_LOOP-01	ULO-LOOP_STRUCTURES-03	Conceptual foundation: WHILE_LOOP là một trường hợp cụ thể của LOOP_STRUCTURES, kế thừa khái niệm lặp và bổ sung cơ chế điều kiện dừng.	L5-VERIFIED	Conceptual foundation: WHILE_LOOP là một trường hợp cụ thể của LOOP_STRUCTURES, kế thừa khái niệm lặp và bổ sung cơ chế điều kiện dừng.	NO — While loop là một dạng cụ thể của loop structures, nếu chưa hiểu khái niệm vòng lặp tổng quát thì không thể hiểu và áp dụng while loop.
