term	aliases	relevance_score	source_chunks	first_extraction_method	category	concept_codes
true		0.95	curriculum:master-tree	curriculum_design	software	VARIABLES_DATA_TYPES
false		0.95	curriculum:master-tree	curriculum_design	software	VARIABLES_DATA_TYPES
int		0.95	curriculum:master-tree	curriculum_design	software	PRIMITIVE_TYPES
float		0.95	curriculum:master-tree	curriculum_design	software	PRIMITIVE_TYPES
double		0.95	curriculum:master-tree	curriculum_design	software	PRIMITIVE_TYPES
bool		0.95	curriculum:master-tree	curriculum_design	software	PRIMITIVE_TYPES
char		0.95	curriculum:master-tree	curriculum_design	software	PRIMITIVE_TYPES
string		0.95	curriculum:master-tree	curriculum_design	software	REFERENCE_TYPES
array		0.95	curriculum:master-tree	curriculum_design	software	ARRAYS
list		0.95	curriculum:master-tree	curriculum_design	software	LISTS_COLLECTIONS
map		0.95	curriculum:master-tree	curriculum_design	software	HASH_TABLES
set		0.95	curriculum:master-tree	curriculum_design	software	LISTS_COLLECTIONS
delete		0.95	curriculum:master-tree	curriculum_design	software	MEMORY_IO_SYSTEMS
sizeof		0.95	curriculum:master-tree	curriculum_design	software	MEMORY_IO_SYSTEMS
typedef		0.95	curriculum:master-tree	curriculum_design	software	PRIMITIVE_TYPES
constexpr		0.95	curriculum:master-tree	curriculum_design	software	VARIABLES_DATA_TYPES
static_assert		0.95	curriculum:master-tree	curriculum_design	software	TESTING_DEBUGGING
inline		0.95	curriculum:master-tree	curriculum_design	software	FUNCTIONS_PROCEDURES
virtual		0.95	curriculum:master-tree	curriculum_design	software	INHERITANCE_POLY
pure		0.95	curriculum:master-tree	curriculum_design	software	ENCAPSULATION_ABSTRACTION
explicit		0.95	curriculum:master-tree	curriculum_design	software	OOP
friend		0.95	curriculum:master-tree	curriculum_design	software	OOP
using		0.95	curriculum:master-tree	curriculum_design	software	MODULES
namespace		0.95	curriculum:master-tree	curriculum_design	software	MODULES
template		0.95	curriculum:master-tree	curriculum_design	software	OOP
typename		0.95	curriculum:master-tree	curriculum_design	software	OOP
auto		0.95	curriculum:master-tree	curriculum_design	software	VARIABLES_DATA_TYPES
decltype		0.95	curriculum:master-tree	curriculum_design	software	VARIABLES_DATA_TYPES
lambda		0.95	curriculum:master-tree	curriculum_design	software	FIRST_CLASS_FUNCTIONS
yield		0.95	curriculum:master-tree	curriculum_design	software	FIRST_CLASS_FUNCTIONS
generator		0.95	curriculum:master-tree	curriculum_design	software	FIRST_CLASS_FUNCTIONS
iterator		0.95	curriculum:master-tree	curriculum_design	software	ITERATION_LOOPS
decorator		0.95	curriculum:master-tree	curriculum_design	software	FUNCTIONS_PROCEDURES
property		0.95	curriculum:master-tree	curriculum_design	software	OOP
getter		0.95	curriculum:master-tree	curriculum_design	software	OOP
setter		0.95	curriculum:master-tree	curriculum_design	software	OOP
init		0.95	curriculum:master-tree	curriculum_design	software	OOP
deinit		0.95	curriculum:master-tree	curriculum_design	software	OOP
convenience		0.95	curriculum:master-tree	curriculum_design	software	OOP
required		0.95	curriculum:master-tree	curriculum_design	software	OOP
lazy		0.95	curriculum:master-tree	curriculum_design	software	OOP
weak		0.95	curriculum:master-tree	curriculum_design	software	MEMORY_IO_SYSTEMS
unowned		0.95	curriculum:master-tree	curriculum_design	software	MEMORY_IO_SYSTEMS
inout		0.95	curriculum:master-tree	curriculum_design	software	FUNCTIONS_PROCEDURES
mutating		0.95	curriculum:master-tree	curriculum_design	software	OOP
protocol		0.95	curriculum:master-tree	curriculum_design	software	OOP
extension		0.95	curriculum:master-tree	curriculum_design	software	OOP
where		0.95	curriculum:master-tree	curriculum_design	software	OOP
associatedtype		0.95	curriculum:master-tree	curriculum_design	software	OOP
typealias		0.95	curriculum:master-tree	curriculum_design	software	OOP
guard		0.95	curriculum:master-tree	curriculum_design	software	CONTROL_FLOW
defer		0.95	curriculum:master-tree	curriculum_design	software	CONTROL_FLOW
fallthrough		0.95	curriculum:master-tree	curriculum_design	software	CONTROL_FLOW
rethrows		0.95	curriculum:master-tree	curriculum_design	software	EXCEPTION_HANDLING
throws		0.95	curriculum:master-tree	curriculum_design	software	EXCEPTION_HANDLING
actor		0.95	curriculum:master-tree	curriculum_design	software	ASYNCHRONOUS_PROG
Task		0.95	curriculum:master-tree	curriculum_design	software	ASYNCHRONOUS_PROG
MainActor		0.95	curriculum:master-tree	curriculum_design	software	ASYNCHRONOUS_PROG
Sendable		0.95	curriculum:master-tree	curriculum_design	software	ASYNCHRONOUS_PROG
escaping		0.95	curriculum:master-tree	curriculum_design	software	FIRST_CLASS_FUNCTIONS
autoclosure		0.95	curriculum:master-tree	curriculum_design	software	FIRST_CLASS_FUNCTIONS
frozen		0.95	curriculum:master-tree	curriculum_design	software	OOP
unknown		0.95	curriculum:master-tree	curriculum_design	software	OOP
endif		0.95	curriculum:master-tree	curriculum_design	software	MODULES
available		0.95	curriculum:master-tree	curriculum_design	software	MODULES
objc		0.95	curriculum:master-tree	curriculum_design	software	OOP
IBOutlet		0.95	curriculum:master-tree	curriculum_design	software	UI_BUILDING_BLOCKS
IBAction		0.95	curriculum:master-tree	curriculum_design	software	UI_BUILDING_BLOCKS
State		0.95	curriculum:master-tree	curriculum_design	software	STATE_MANAGEMENT
Binding		0.95	curriculum:master-tree	curriculum_design	software	DATA_BINDING
ObservedObject		0.95	curriculum:master-tree	curriculum_design	software	OBSERVABLE_MODEL
EnvironmentObject		0.95	curriculum:master-tree	curriculum_design	software	STATE_MANAGEMENT
Environment		0.95	curriculum:master-tree	curriculum_design	software	STATE_MANAGEMENT
AppStorage		0.95	curriculum:master-tree	curriculum_design	software	USER_PREFERENCES_STORAGE
SceneStorage		0.95	curriculum:master-tree	curriculum_design	software	STATE_MANAGEMENT
FetchRequest		0.95	curriculum:master-tree	curriculum_design	software	STRUCTURED_DATA_STORAGE
ViewBuilder		0.95	curriculum:master-tree	curriculum_design	software	UI_BUILDING_BLOCKS
body		0.95	curriculum:master-tree	curriculum_design	software	UI_BUILDING_BLOCKS
View		0.95	curriculum:master-tree	curriculum_design	software	UI_BUILDING_BLOCKS
some		0.95	curriculum:master-tree	curriculum_design	software	OOP
any		0.95	curriculum:master-tree	curriculum_design	software	OOP
