code	name	description	field_codes	keywords	cs2023_ka_mapping	metadata	sequence_order
IOT	Internet of Things (IoT)	Tập trung vào hệ sinh thái của các thiết bị vật lý được kết nối mạng, từ cảm biến, vi điều khiển đến các giao thức truyền thông và nền tảng đám mây để thu thập và xử lý dữ liệu.	MET, CSN	IoT, sensors, embedded, MQTT	SPD, NC	"{""icon"": ""wifi""}"	16
GRAPHICS_VISUAL_COMPUTING	Graphics and Visual Computing	Bao gồm các kỹ thuật tạo, thao tác và hiển thị hình ảnh kỹ thuật số, từ đồ họa 2D/3D, hoạt hình, đến mô phỏng và thực tế ảo/tăng cường (VR/AR).	MET	graphics, rendering, animation, simulation, VR, AR	GIT	"{""icon"": ""vr-cardboard""}"	17
HCI	Human-Computer Interaction	Nghiên cứu về sự tương tác giữa con người và hệ thống máy tính. Lĩnh vực này tập trung vào các mô hình nhận thức, thiết bị và các nguyên tắc để tạo ra sự tương tác hiệu quả và tự nhiên.	HCC	HCI, interaction, usability, cognition	HCI	"{""icon"": ""mouse-pointer""}"	18
UI_UX_DESIGN	UI/UX Design and Accessibility	Tập trung vào quy trình thiết kế giao diện (UI) và trải nghiệm người dùng (UX) cho các sản phẩm số, đảm bảo tính thẩm mỹ, khả dụng và khả năng tiếp cận cho mọi người.	HCC, ASE	UI, UX, design, prototyping, accessibility	HCI, SEP	"{""icon"": ""palette""}"	19
DIGITAL_LITERACY	Digital Literacy and Collaboration	Bao gồm các kỹ năng sử dụng thành thạo và hiệu quả các công cụ kỹ thuật số để giao tiếp, cộng tác, quản lý thông tin và giải quyết vấn đề trong môi trường làm việc hiện đại.	IDC	collaboration, productivity tools, communication, netiquette	SEP	"{""icon"": ""tools""}"	20
DIGITAL_CITIZENSHIP	Digital Citizenship and Ethics	Bao gồm các quy tắc ứng xử, đạo đức, an toàn và trách nhiệm của một công dân trong xã hội số, nhấn mạnh đến quyền riêng tư, an ninh thông tin và tác động xã hội của công nghệ.	IDC	ethics, privacy, security, societal impact	SEP	"{""icon"": ""user-shield""}"	21
NATIVE_APP_DEV	Native App Development	Bao gồm các công nghệ, kiến trúc và kỹ thuật để xây dựng các ứng dụng chạy trực tiếp trên hệ điều hành của một nền tảng cụ thể (iOS, Android, macOS), tận dụng tối đa các API và trải nghiệm người dùng gốc.	ASE, HCC	native, mobile development, platform UI, mobile frameworks	SPD, HCI	"{""icon"": ""mobile-alt""}"	22
GAME_DEV	Game Design and Development	Bao gồm quy trình thiết kế và phát triển trò chơi điện tử, từ cơ chế gameplay, thiết kế màn chơi (level design), vật lý trong game, đến lập trình kịch bản game và cân bằng trải nghiệm người chơi.	MET, ASE, HCC	game engine, level design, game physics, gameplay, game mechanics, user-generated content platform, game engine	SPD, GIT	"{""icon"": ""gamepad""}"	23
QUANTUM_SYSTEMS	Quantum Systems	Study of quantum computing hardware and algorithms.	CSN	quantum, superposition, entanglement	SF, AR, MET		24
COMPUTATIONAL_THINKING	Computational Thinking & Problem Solving	Nghiên cứu về các mô hình tư duy máy tính, kỹ thuật phân rã bài toán, nhận diện mẫu hình và thiết kế thuật toán không phụ thuộc ngôn ngữ lập trình.	ASE, HCC	computational thinking, problem decomposition, pattern recognition, abstraction, unplugged	AL, SDF	"{""csta_strand"": ""AP"", ""ap_csp"": ""CRD"", ""spiral_progression"": ""K12-PreUniv""}"	25
