lt_id,lt_name,band,reference_content,comparison_framework,comparison_content,comparison_source_label,confidence,issue_type,notes
CIRCUIT_PRINCIPLES,Basic Circuit Principles,Secondary,"Áp dụng các nguyên tắc cơ bản về mạch điện, như định luật Ohm và cách các linh kiện hoạt động khi mắc nối tiếp và song song.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Cloud & Distributed Systems theme missing in UNESCO ICT Competency Framework for Teachers"
CIRCUIT_PRINCIPLES,Basic Circuit Principles,Secondary,"Áp dụng các nguyên tắc cơ bản về mạch điện, như định luật Ohm và cách các linh kiện hoạt động khi mắc nối tiếp và song song.",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Cloud & Distributed Systems theme missing in OECD PISA 2025/2028 Frameworks"
BUBBLE_INSERTION_SORT,Bubble Sort & Insertion Sort,Secondary,"Hiểu và triển khai các thuật toán sắp xếp đơn giản như Sắp xếp nổi bọt (Bubble Sort) và Sắp xếp chèn (Insertion Sort), với độ phức tạp O(n^2).",Next Generation Science Standards,"Bao gồm tư duy thuật toán để giải quyết vấn đề và các quy trình kỹ thuật để xây dựng phần mềm quy mô lớn, đáng tin cậy. Lĩnh vực này bao quát từ thiết kế giải pháp có cấu trúc, các mô hình lập trình, ",Master Tree,high,convergence,"Computational Thinking theme alignment"
BUBBLE_INSERTION_SORT,Bubble Sort & Insertion Sort,Secondary,"Hiểu và triển khai các thuật toán sắp xếp đơn giản như Sắp xếp nổi bọt (Bubble Sort) và Sắp xếp chèn (Insertion Sort), với độ phức tạp O(n^2).",CSTA K-12 Computer Science Standards,"Hiểu và triển khai các thuật toán sắp xếp đơn giản như Sắp xếp nổi bọt (Bubble Sort) và Sắp xếp chèn (Insertion Sort), với độ phức tạp O(n^2).",Master Tree,high,convergence,"Computational Thinking theme alignment"
BUBBLE_INSERTION_SORT,Bubble Sort & Insertion Sort,Secondary,"Hiểu và triển khai các thuật toán sắp xếp đơn giản như Sắp xếp nổi bọt (Bubble Sort) và Sắp xếp chèn (Insertion Sort), với độ phức tạp O(n^2).",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Computational Thinking theme missing in UNESCO ICT Competency Framework for Teachers"
BUBBLE_INSERTION_SORT,Bubble Sort & Insertion Sort,Secondary,"Hiểu và triển khai các thuật toán sắp xếp đơn giản như Sắp xếp nổi bọt (Bubble Sort) và Sắp xếp chèn (Insertion Sort), với độ phức tạp O(n^2).",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Computational Thinking theme missing in OECD PISA 2025/2028 Frameworks"
MVVM_PATTERN,MVVM Architectural Pattern,Secondary,"Áp dụng mẫu kiến trúc Model-View-ViewModel để tách biệt giao diện (View), trạng thái và logic giao diện (ViewModel), và dữ liệu cốt lõi (Model).",Next Generation Science Standards,"","","",unique_to_reference,"Computer Systems & Architecture theme missing in Next Generation Science Standards"
MVVM_PATTERN,MVVM Architectural Pattern,Secondary,"Áp dụng mẫu kiến trúc Model-View-ViewModel để tách biệt giao diện (View), trạng thái và logic giao diện (ViewModel), và dữ liệu cốt lõi (Model).",CSTA K-12 Computer Science Standards,"Hiểu mô hình lập trình MapReduce để xử lý song song các tập dữ liệu lớn, bao gồm hai bước chính là map và reduce.",Master Tree,high,convergence,"Computer Systems & Architecture theme alignment"
MVVM_PATTERN,MVVM Architectural Pattern,Secondary,"Áp dụng mẫu kiến trúc Model-View-ViewModel để tách biệt giao diện (View), trạng thái và logic giao diện (ViewModel), và dữ liệu cốt lõi (Model).",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Computer Systems & Architecture theme missing in UNESCO ICT Competency Framework for Teachers"
MVVM_PATTERN,MVVM Architectural Pattern,Secondary,"Áp dụng mẫu kiến trúc Model-View-ViewModel để tách biệt giao diện (View), trạng thái và logic giao diện (ViewModel), và dữ liệu cốt lõi (Model).",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Computer Systems & Architecture theme missing in OECD PISA 2025/2028 Frameworks"
IMMUTABILITY,Immutability and Pure Functions,Secondary,"Nắm vững nguyên tắc về tính bất biến của dữ liệu và các hàm thuần túy (pure functions) không có tác dụng phụ (side effects), giúp mã dễ dự đoán và kiểm thử hơn.",Next Generation Science Standards,"Bao gồm tư duy thuật toán để giải quyết vấn đề và các quy trình kỹ thuật để xây dựng phần mềm quy mô lớn, đáng tin cậy. Lĩnh vực này bao quát từ thiết kế giải pháp có cấu trúc, các mô hình lập trình, ",Master Tree,high,convergence,"Crosscutting Concepts theme alignment"
IMMUTABILITY,Immutability and Pure Functions,Secondary,"Nắm vững nguyên tắc về tính bất biến của dữ liệu và các hàm thuần túy (pure functions) không có tác dụng phụ (side effects), giúp mã dễ dự đoán và kiểm thử hơn.",CSTA K-12 Computer Science Standards,"Nắm vững các thành phần cơ bản của mạng nơ-ron nhân tạo, bao gồm nơ-ron, lớp (layer), trọng số và hàm kích hoạt.",Master Tree,high,convergence,"Crosscutting Concepts theme alignment"
IMMUTABILITY,Immutability and Pure Functions,Secondary,"Nắm vững nguyên tắc về tính bất biến của dữ liệu và các hàm thuần túy (pure functions) không có tác dụng phụ (side effects), giúp mã dễ dự đoán và kiểm thử hơn.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Crosscutting Concepts theme missing in UNESCO ICT Competency Framework for Teachers"
IMMUTABILITY,Immutability and Pure Functions,Secondary,"Nắm vững nguyên tắc về tính bất biến của dữ liệu và các hàm thuần túy (pure functions) không có tác dụng phụ (side effects), giúp mã dễ dự đoán và kiểm thử hơn.",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Crosscutting Concepts theme missing in OECD PISA 2025/2028 Frameworks"
MALWARE_TYPES,Malware Types,Secondary,"Phân biệt các loại phần mềm độc hại phổ biến như virus, worm, và ransomware.",Next Generation Science Standards,"Rèn luyện kỹ năng nhận diện các email, tin nhắn và trang web lừa đảo để bảo vệ bản thân và tổ chức khỏi các cuộc tấn công lừa đảo.",Master Tree,high,convergence,"Cybersecurity theme alignment"
MALWARE_TYPES,Malware Types,Secondary,"Phân biệt các loại phần mềm độc hại phổ biến như virus, worm, và ransomware.",CSTA K-12 Computer Science Standards,"","","",unique_to_reference,"Cybersecurity theme missing in CSTA K-12 Computer Science Standards"
MALWARE_TYPES,Malware Types,Secondary,"Phân biệt các loại phần mềm độc hại phổ biến như virus, worm, và ransomware.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Cybersecurity theme missing in UNESCO ICT Competency Framework for Teachers"
MALWARE_TYPES,Malware Types,Secondary,"Phân biệt các loại phần mềm độc hại phổ biến như virus, worm, và ransomware.",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Cybersecurity theme missing in OECD PISA 2025/2028 Frameworks"
DATABASE_NORMALIZATION,Database Normalization,Secondary,"Hiểu quá trình tổ chức các cột và bảng trong cơ sở dữ liệu quan hệ để giảm thiểu sự dư thừa dữ liệu và cải thiện tính toàn vẹn.",Next Generation Science Standards,"Bao gồm toàn bộ vòng đời của dữ liệu: cách biểu diễn, lưu trữ, quản lý, xử lý, phân tích và trực quan hóa để biến dữ liệu thô thành thông tin và tri thức có giá trị. Lĩnh vực này là nền tảng cho khoa ",Master Tree,high,convergence,"Data & Information theme alignment"
DATABASE_NORMALIZATION,Database Normalization,Secondary,"Hiểu quá trình tổ chức các cột và bảng trong cơ sở dữ liệu quan hệ để giảm thiểu sự dư thừa dữ liệu và cải thiện tính toàn vẹn.",CSTA K-12 Computer Science Standards,"Hiểu quá trình tổ chức các cột và bảng trong cơ sở dữ liệu quan hệ để giảm thiểu sự dư thừa dữ liệu và cải thiện tính toàn vẹn.",Master Tree,high,convergence,"Data & Information theme alignment"
DATABASE_NORMALIZATION,Database Normalization,Secondary,"Hiểu quá trình tổ chức các cột và bảng trong cơ sở dữ liệu quan hệ để giảm thiểu sự dư thừa dữ liệu và cải thiện tính toàn vẹn.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Data & Information theme missing in UNESCO ICT Competency Framework for Teachers"
DATABASE_NORMALIZATION,Database Normalization,Secondary,"Hiểu quá trình tổ chức các cột và bảng trong cơ sở dữ liệu quan hệ để giảm thiểu sự dư thừa dữ liệu và cải thiện tính toàn vẹn.",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Data & Information theme missing in OECD PISA 2025/2028 Frameworks"
STATISTICAL_MEASURES,Basic Statistical Measures,Secondary,"Nắm vững cách tính và ý nghĩa của các thước đo thống kê cơ bản như trung bình (mean), trung vị (median), và độ lệch chuẩn (standard deviation).",Next Generation Science Standards,"Bao gồm các phương pháp và công cụ để thu thập, làm sạch, phân tích thống kê và trực quan hóa dữ liệu nhằm khám phá các mẫu, xu hướng và rút ra tri thức có giá trị.",Master Tree,high,convergence,"Data Science & Analytics theme alignment"
STATISTICAL_MEASURES,Basic Statistical Measures,Secondary,"Nắm vững cách tính và ý nghĩa của các thước đo thống kê cơ bản như trung bình (mean), trung vị (median), và độ lệch chuẩn (standard deviation).",CSTA K-12 Computer Science Standards,"Nắm vững các kỹ thuật cơ bản để xử lý dữ liệu bị thiếu (missing values), dữ liệu nhiễu (noise) và dữ liệu không nhất quán.",Master Tree,high,convergence,"Data Science & Analytics theme alignment"
STATISTICAL_MEASURES,Basic Statistical Measures,Secondary,"Nắm vững cách tính và ý nghĩa của các thước đo thống kê cơ bản như trung bình (mean), trung vị (median), và độ lệch chuẩn (standard deviation).",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Data Science & Analytics theme missing in UNESCO ICT Competency Framework for Teachers"
STATISTICAL_MEASURES,Basic Statistical Measures,Secondary,"Nắm vững cách tính và ý nghĩa của các thước đo thống kê cơ bản như trung bình (mean), trung vị (median), và độ lệch chuẩn (standard deviation).",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Data Science & Analytics theme missing in OECD PISA 2025/2028 Frameworks"
MALWARE_TYPES,Malware Types,Secondary,"Phân biệt các loại phần mềm độc hại phổ biến như virus, worm, và ransomware.",Next Generation Science Standards,"Nhận biết các dấu hiệu cảnh báo của một email hoặc tin nhắn lừa đảo, như lỗi chính tả, URL lạ, và yêu cầu khẩn cấp.",Master Tree,high,convergence,"Digital Citizenship & Ethics theme alignment"
MALWARE_TYPES,Malware Types,Secondary,"Phân biệt các loại phần mềm độc hại phổ biến như virus, worm, và ransomware.",CSTA K-12 Computer Science Standards,"Hiểu cách thiên vị trong dữ liệu huấn luyện hoặc trong thiết kế thuật toán có thể dẫn đến các quyết định không công bằng từ hệ thống AI.",Master Tree,high,convergence,"Digital Citizenship & Ethics theme alignment"
MALWARE_TYPES,Malware Types,Secondary,"Phân biệt các loại phần mềm độc hại phổ biến như virus, worm, và ransomware.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Digital Citizenship & Ethics theme missing in UNESCO ICT Competency Framework for Teachers"
MALWARE_TYPES,Malware Types,Secondary,"Phân biệt các loại phần mềm độc hại phổ biến như virus, worm, và ransomware.",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Digital Citizenship & Ethics theme missing in OECD PISA 2025/2028 Frameworks"
COLLABORATIVE_PLATFORMS,Collaborative Platforms,Secondary,"Sử dụng hiệu quả các nền tảng làm việc nhóm như Google Workspace, Microsoft Teams, và Trello để quản lý công việc và cộng tác.",Next Generation Science Standards,"","","",unique_to_reference,"Digital Literacy & Collaboration theme missing in Next Generation Science Standards"
COLLABORATIVE_PLATFORMS,Collaborative Platforms,Secondary,"Sử dụng hiệu quả các nền tảng làm việc nhóm như Google Workspace, Microsoft Teams, và Trello để quản lý công việc và cộng tác.",CSTA K-12 Computer Science Standards,"","","",unique_to_reference,"Digital Literacy & Collaboration theme missing in CSTA K-12 Computer Science Standards"
COLLABORATIVE_PLATFORMS,Collaborative Platforms,Secondary,"Sử dụng hiệu quả các nền tảng làm việc nhóm như Google Workspace, Microsoft Teams, và Trello để quản lý công việc và cộng tác.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Digital Literacy & Collaboration theme missing in UNESCO ICT Competency Framework for Teachers"
COLLABORATIVE_PLATFORMS,Collaborative Platforms,Secondary,"Sử dụng hiệu quả các nền tảng làm việc nhóm như Google Workspace, Microsoft Teams, và Trello để quản lý công việc và cộng tác.",OECD PISA 2025/2028 Frameworks,"Bao gồm các kỹ năng sử dụng thành thạo và hiệu quả các công cụ kỹ thuật số để giao tiếp, cộng tác, quản lý thông tin và giải quyết vấn đề trong môi trường làm việc hiện đại.",Master Tree,high,convergence,"Digital Literacy & Collaboration theme alignment"
ARRAY_OPERATIONS,Array Operations,Secondary,"Thực hiện các thao tác cơ bản trên mảng: truy cập phần tử qua chỉ số (index), lấy độ dài, và duyệt qua các phần tử.",Next Generation Science Standards,"","","",unique_to_reference,"Engineering Design Practices theme missing in Next Generation Science Standards"
ARRAY_OPERATIONS,Array Operations,Secondary,"Thực hiện các thao tác cơ bản trên mảng: truy cập phần tử qua chỉ số (index), lấy độ dài, và duyệt qua các phần tử.",CSTA K-12 Computer Science Standards,"","","",unique_to_reference,"Engineering Design Practices theme missing in CSTA K-12 Computer Science Standards"
ARRAY_OPERATIONS,Array Operations,Secondary,"Thực hiện các thao tác cơ bản trên mảng: truy cập phần tử qua chỉ số (index), lấy độ dài, và duyệt qua các phần tử.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Engineering Design Practices theme missing in UNESCO ICT Competency Framework for Teachers"
ARRAY_OPERATIONS,Array Operations,Secondary,"Thực hiện các thao tác cơ bản trên mảng: truy cập phần tử qua chỉ số (index), lấy độ dài, và duyệt qua các phần tử.",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Engineering Design Practices theme missing in OECD PISA 2025/2028 Frameworks"
COLLISION_DETECTION,Collision Detection,Secondary,"Cơ chế phát hiện khi hai vật thể trong không gian game chạm vào nhau hoặc xuyên qua nhau để kích hoạt sự kiện.",Next Generation Science Standards,"","","",unique_to_reference,"Game Development & Interactive Media theme missing in Next Generation Science Standards"
COLLISION_DETECTION,Collision Detection,Secondary,"Cơ chế phát hiện khi hai vật thể trong không gian game chạm vào nhau hoặc xuyên qua nhau để kích hoạt sự kiện.",CSTA K-12 Computer Science Standards,"","","",unique_to_reference,"Game Development & Interactive Media theme missing in CSTA K-12 Computer Science Standards"
COLLISION_DETECTION,Collision Detection,Secondary,"Cơ chế phát hiện khi hai vật thể trong không gian game chạm vào nhau hoặc xuyên qua nhau để kích hoạt sự kiện.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Game Development & Interactive Media theme missing in UNESCO ICT Competency Framework for Teachers"
COLLISION_DETECTION,Collision Detection,Secondary,"Cơ chế phát hiện khi hai vật thể trong không gian game chạm vào nhau hoặc xuyên qua nhau để kích hoạt sự kiện.",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Game Development & Interactive Media theme missing in OECD PISA 2025/2028 Frameworks"
LEADERBOARD_SYSTEM,Leaderboard/Scoring System,Secondary,"Cấu trúc dữ liệu và logic để theo dõi, cập nhật và hiển thị điểm số hoặc thành tích của người chơi trong thời gian thực.",Next Generation Science Standards,"","","",unique_to_reference,"General Computing theme missing in Next Generation Science Standards"
LEADERBOARD_SYSTEM,Leaderboard/Scoring System,Secondary,"Cấu trúc dữ liệu và logic để theo dõi, cập nhật và hiển thị điểm số hoặc thành tích của người chơi trong thời gian thực.",CSTA K-12 Computer Science Standards,"Sử dụng framework Core Data như một Object-Relational Mapper (ORM) để định nghĩa model, thiết lập stack, và quản lý việc lưu trữ, truy vấn, xóa, sửa dữ liệu.",Master Tree,high,convergence,"General Computing theme alignment"
LEADERBOARD_SYSTEM,Leaderboard/Scoring System,Secondary,"Cấu trúc dữ liệu và logic để theo dõi, cập nhật và hiển thị điểm số hoặc thành tích của người chơi trong thời gian thực.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"General Computing theme missing in UNESCO ICT Competency Framework for Teachers"
LEADERBOARD_SYSTEM,Leaderboard/Scoring System,Secondary,"Cấu trúc dữ liệu và logic để theo dõi, cập nhật và hiển thị điểm số hoặc thành tích của người chơi trong thời gian thực.",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"General Computing theme missing in OECD PISA 2025/2028 Frameworks"
LEVEL_LAYOUT,Level Layout Design,Secondary,"Kỹ thuật sắp đặt không gian, chướng ngại vật và đường đi để tạo ra dòng chảy (flow) và độ khó hợp lý cho người chơi.",Next Generation Science Standards,"Bao gồm tư duy thuật toán để giải quyết vấn đề và các quy trình kỹ thuật để xây dựng phần mềm quy mô lớn, đáng tin cậy. Lĩnh vực này bao quát từ thiết kế giải pháp có cấu trúc, các mô hình lập trình, ",Master Tree,high,convergence,"Human-Computer Interaction theme alignment"
LEVEL_LAYOUT,Level Layout Design,Secondary,"Kỹ thuật sắp đặt không gian, chướng ngại vật và đường đi để tạo ra dòng chảy (flow) và độ khó hợp lý cho người chơi.",CSTA K-12 Computer Science Standards,"Hiểu quá trình tổ chức các cột và bảng trong cơ sở dữ liệu quan hệ để giảm thiểu sự dư thừa dữ liệu và cải thiện tính toàn vẹn.",Master Tree,high,convergence,"Human-Computer Interaction theme alignment"
LEVEL_LAYOUT,Level Layout Design,Secondary,"Kỹ thuật sắp đặt không gian, chướng ngại vật và đường đi để tạo ra dòng chảy (flow) và độ khó hợp lý cho người chơi.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Human-Computer Interaction theme missing in UNESCO ICT Competency Framework for Teachers"
LEVEL_LAYOUT,Level Layout Design,Secondary,"Kỹ thuật sắp đặt không gian, chướng ngại vật và đường đi để tạo ra dòng chảy (flow) và độ khó hợp lý cho người chơi.",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Human-Computer Interaction theme missing in OECD PISA 2025/2028 Frameworks"
WCAG_PRINCIPLES,WCAG Principles (POUR),Secondary,"Nắm vững bốn nguyên tắc của WCAG: Perceivable (Có thể nhận biết), Operable (Có thể vận hành), Understandable (Có thể hiểu), và Robust (Mạnh mẽ).",Next Generation Science Standards,"","","",unique_to_reference,"Networks & Communication theme missing in Next Generation Science Standards"
WCAG_PRINCIPLES,WCAG Principles (POUR),Secondary,"Nắm vững bốn nguyên tắc của WCAG: Perceivable (Có thể nhận biết), Operable (Có thể vận hành), Understandable (Có thể hiểu), và Robust (Mạnh mẽ).",CSTA K-12 Computer Science Standards,"Nắm vững các thành phần cơ bản của mạng nơ-ron nhân tạo, bao gồm nơ-ron, lớp (layer), trọng số và hàm kích hoạt.",Master Tree,high,convergence,"Networks & Communication theme alignment"
WCAG_PRINCIPLES,WCAG Principles (POUR),Secondary,"Nắm vững bốn nguyên tắc của WCAG: Perceivable (Có thể nhận biết), Operable (Có thể vận hành), Understandable (Có thể hiểu), và Robust (Mạnh mẽ).",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Networks & Communication theme missing in UNESCO ICT Competency Framework for Teachers"
WCAG_PRINCIPLES,WCAG Principles (POUR),Secondary,"Nắm vững bốn nguyên tắc của WCAG: Perceivable (Có thể nhận biết), Operable (Có thể vận hành), Understandable (Có thể hiểu), và Robust (Mạnh mẽ).",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Networks & Communication theme missing in OECD PISA 2025/2028 Frameworks"
MOTOR_CONTROL,DC Motor and Servo Control,Secondary,"Phân biệt và điều khiển hai loại động cơ phổ biến: động cơ DC (điều khiển tốc độ) và động cơ Servo (điều khiển vị trí/góc).",Next Generation Science Standards,"","","",unique_to_reference,"Physical Computing & Robotics theme missing in Next Generation Science Standards"
MOTOR_CONTROL,DC Motor and Servo Control,Secondary,"Phân biệt và điều khiển hai loại động cơ phổ biến: động cơ DC (điều khiển tốc độ) và động cơ Servo (điều khiển vị trí/góc).",CSTA K-12 Computer Science Standards,"","","",unique_to_reference,"Physical Computing & Robotics theme missing in CSTA K-12 Computer Science Standards"
MOTOR_CONTROL,DC Motor and Servo Control,Secondary,"Phân biệt và điều khiển hai loại động cơ phổ biến: động cơ DC (điều khiển tốc độ) và động cơ Servo (điều khiển vị trí/góc).",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Physical Computing & Robotics theme missing in UNESCO ICT Competency Framework for Teachers"
MOTOR_CONTROL,DC Motor and Servo Control,Secondary,"Phân biệt và điều khiển hai loại động cơ phổ biến: động cơ DC (điều khiển tốc độ) và động cơ Servo (điều khiển vị trí/góc).",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Physical Computing & Robotics theme missing in OECD PISA 2025/2028 Frameworks"
IMMUTABILITY,Immutability and Pure Functions,Secondary,"Nắm vững nguyên tắc về tính bất biến của dữ liệu và các hàm thuần túy (pure functions) không có tác dụng phụ (side effects), giúp mã dễ dự đoán và kiểm thử hơn.",Next Generation Science Standards,"Bao gồm tư duy thuật toán để giải quyết vấn đề và các quy trình kỹ thuật để xây dựng phần mềm quy mô lớn, đáng tin cậy. Lĩnh vực này bao quát từ thiết kế giải pháp có cấu trúc, các mô hình lập trình, ",Master Tree,high,convergence,"Programming Fundamentals theme alignment"
IMMUTABILITY,Immutability and Pure Functions,Secondary,"Nắm vững nguyên tắc về tính bất biến của dữ liệu và các hàm thuần túy (pure functions) không có tác dụng phụ (side effects), giúp mã dễ dự đoán và kiểm thử hơn.",CSTA K-12 Computer Science Standards,"Khám phá các kiểu dữ liệu nguyên thủy được xây dựng sẵn trong ngôn ngữ, như số nguyên (integer), số thực (float), logic (boolean) và ký tự (character).",Master Tree,high,convergence,"Programming Fundamentals theme alignment"
IMMUTABILITY,Immutability and Pure Functions,Secondary,"Nắm vững nguyên tắc về tính bất biến của dữ liệu và các hàm thuần túy (pure functions) không có tác dụng phụ (side effects), giúp mã dễ dự đoán và kiểm thử hơn.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Programming Fundamentals theme missing in UNESCO ICT Competency Framework for Teachers"
IMMUTABILITY,Immutability and Pure Functions,Secondary,"Nắm vững nguyên tắc về tính bất biến của dữ liệu và các hàm thuần túy (pure functions) không có tác dụng phụ (side effects), giúp mã dễ dự đoán và kiểm thử hơn.",OECD PISA 2025/2028 Frameworks,"","","",unique_to_reference,"Programming Fundamentals theme missing in OECD PISA 2025/2028 Frameworks"
NETIQUETTE,Netiquette (Online Etiquette),Secondary,"Nắm vững các quy tắc ứng xử phù hợp khi giao tiếp trực tuyến, như cách viết email, bình luận và tham gia thảo luận một cách chuyên nghiệp.",Next Generation Science Standards,"Bao gồm toàn bộ vòng đời của dữ liệu: cách biểu diễn, lưu trữ, quản lý, xử lý, phân tích và trực quan hóa để biến dữ liệu thô thành thông tin và tri thức có giá trị. Lĩnh vực này là nền tảng cho khoa ",Master Tree,high,convergence,"Science & Engineering Practices theme alignment"
NETIQUETTE,Netiquette (Online Etiquette),Secondary,"Nắm vững các quy tắc ứng xử phù hợp khi giao tiếp trực tuyến, như cách viết email, bình luận và tham gia thảo luận một cách chuyên nghiệp.",CSTA K-12 Computer Science Standards,"Hiểu quy trình Phân tích Dữ liệu Khám phá để tóm tắt các đặc điểm chính của tập dữ liệu, thường bằng các phương pháp trực quan.",Master Tree,high,convergence,"Science & Engineering Practices theme alignment"
NETIQUETTE,Netiquette (Online Etiquette),Secondary,"Nắm vững các quy tắc ứng xử phù hợp khi giao tiếp trực tuyến, như cách viết email, bình luận và tham gia thảo luận một cách chuyên nghiệp.",UNESCO ICT Competency Framework for Teachers,"","","",unique_to_reference,"Science & Engineering Practices theme missing in UNESCO ICT Competency Framework for Teachers"
