code	name	description	category_codes	keywords	cs2023_ka_mapping	metadata
BASIC_ELECTRONIC_COMPONENTS	Basic Electronic Components	Tìm hiểu các linh kiện điện tử thụ động (điện trở, tụ điện) và chủ động (transistor, diode) cơ bản.	ELECTRONIC_CIRCUITS	resistor, capacitor, diode, transistor	AR	{"icon": "bolt"}
CIRCUIT_PRINCIPLES	Basic Circuit Principles	Các nguyên tắc cơ bản về mạch điện, như định luật Ohm, mắc nối tiếp và song song, và cách đọc sơ đồ mạch.	ELECTRONIC_CIRCUITS	Ohm's law, series circuit, parallel circuit, schematics	AR	{"icon": "project-diagram"}
NET_LAYERS	Network Layers and Models	Mô hình phân tầng mạng (OSI, TCP/IP) và chức năng chính của mỗi tầng.	NETWORK_PROTOCOLS	OSI model, TCP/IP model, encapsulation, layers	NC	{"icon": "layer-group"}
IP_ROUTING	IP Addressing and Routing	Địa chỉ IP (IPv4, IPv6), mặt nạ mạng con và các nguyên tắc định tuyến gói tin cơ bản.	NETWORK_PROTOCOLS	IP address, subnet, routing, IPv4, IPv6	NC	{"icon": "route"}
TRANSPORT_PROTOCOLS	Transport Protocols (TCP/UDP)	Sự khác biệt và trường hợp sử dụng của hai giao thức tầng vận chuyển chính: TCP (tin cậy) và UDP (nhanh).	NETWORK_PROTOCOLS	TCP, UDP, port, handshake, datagram	NC	{"icon": "shipping-fast"}
APP_PROTOCOLS	Application Layer Protocols	Các giao thức tầng ứng dụng phổ biến như HTTP (Web), DNS (Phân giải tên miền), FTP (Truyền tệp).	NETWORK_PROTOCOLS	HTTP, DNS, FTP, SMTP, application layer	NC	{"icon": "globe-americas"}
ROUTERS_SWITCHES	Routers and Switches	Phân biệt chức năng của router (định tuyến giữa các mạng khác nhau) và switch (kết nối các thiết bị trong cùng một mạng).	NETWORK_INFRA	router, switch, LAN, WAN, networking hardware	NC	{"icon": "ethernet"}
PHYSICAL_MEDIA	Physical Media & Wireless	So sánh các phương tiện truyền dẫn vật lý (cáp xoắn đôi, cáp quang) và các công nghệ không dây (Wi-Fi, Bluetooth).	NETWORK_INFRA	Ethernet cable, fiber optic, Wi-Fi, Bluetooth	NC	{"icon": "wifi"}
NETWORK_TOPOLOGIES	Network Topologies	Các cấu trúc liên kết mạng phổ biến như Star (Hình sao), Bus, Ring (Vòng), và Mesh (Lưới).	NETWORK_INFRA	topology, star, bus, ring, mesh	NC	{"icon": "sitemap"}
FIREWALLS_IDS	Firewalls and Intrusion Detection Systems	Sử dụng tường lửa để lọc lưu lượng mạng và hệ thống phát hiện/phòng chống xâm nhập (IDS/IPS) để giám sát các mối đe dọa.	NETWORK_SECURITY	firewall, IDS, IPS, network security	SEC	{"icon": "shield-virus"}
ENCRYPTION_PROTOCOLS	Encryption and Secure Protocols	Các nguyên tắc mã hóa và các giao thức bảo mật như TLS/SSL, HTTPS, WPA để bảo vệ dữ liệu trên đường truyền.	NETWORK_SECURITY	encryption, TLS, SSL, HTTPS, WPA	SEC	{"icon": "lock"}
NETWORK_ATTACKS	Common Network Attacks	Nhận diện và hiểu cơ chế của các loại tấn công mạng phổ biến như DoS/DDoS, Man-in-the-Middle, và Spoofing.	NETWORK_SECURITY	DoS, DDoS, man-in-the-middle, spoofing	SEC	{"icon": "user-secret"}
ALGO_STRATEGIES	Algorithmic Strategies	Các chiến lược thiết kế thuật toán kinh điển như Tham lam (Greedy), Chia để trị (Divide & Conquer), và Quy hoạch động (Dynamic Programming).	ALGORITHM_DESIGN	greedy, divide and conquer, dynamic programming	AL	{"icon": "chess-knight"}
ALGO_ANALYSIS	Algorithm Analysis (Big O)	Phân tích độ phức tạp thời gian và không gian của thuật toán bằng ký hiệu Big O để đánh giá hiệu năng.	ALGORITHM_DESIGN	Big O, complexity, time complexity, space complexity	AL	{"icon": "tachometer-alt"}
SEARCH_SORT_ALGO	Searching and Sorting Algorithms	Các thuật toán tìm kiếm (tuần tự, nhị phân) và sắp xếp (chèn, chọn, nổi bọt, nhanh, trộn) kinh điển.	ALGORITHM_DESIGN, DATA_STRUCTURES_ADV	search, sort, binary search, quicksort, merge sort	AL	{"icon": "sort-alpha-down"}
LOGIC_PROPOSITIONS	Propositional Logic	Logic mệnh đề, bảng chân lý và các phép toán logic cơ bản (AND, OR, NOT).	LOGIC_BOOLEAN	proposition, truth table, logical operators	MSF	{"icon": "table-list"}
BOOLEAN_ALGEBRA	Boolean Algebra and Logic Gates	Đại số Boolean và mối liên hệ với các cổng logic, nền tảng của mạch số và biểu thức điều kiện trong lập trình.	LOGIC_BOOLEAN	boolean algebra, logic gates, AND, OR, NOT	MSF, AR	{"icon": "gate-open"}
GRAPH_THEORY	Graph Theory Fundamentals	Các khái niệm cơ bản về lý thuyết đồ thị: đỉnh, cạnh, đường đi, chu trình và các loại đồ thị.	DISCRETE_STRUCTURES	graph, vertex, edge, path, cycle	MSF, AL	{"icon": "project-diagram"}
TREE_STRUCTURES	Tree Structures	Các khái niệm về cấu trúc cây, bao gồm cây nhị phân, các thuật toán duyệt cây (pre-order, in-order, post-order).	DISCRETE_STRUCTURES	tree, binary tree, traversal, root, leaf	MSF, AL	{"icon": "folder-tree"}
VAR_CONSTANTS	Variables and Constants	Giới thiệu khái niệm về biến để lưu trữ dữ liệu có thể thay đổi, hằng số cho giá trị bất biến, và khái niệm về phạm vi (scope) của chúng.	VARIABLES_DATA_TYPES	variables, constants, scope, declaration	SDF, FPL	{"icon": "tag"}
PRIMITIVE_TYPES	Primitive Data Types	Khám phá các kiểu dữ liệu nguyên thủy được xây dựng sẵn trong ngôn ngữ, như số nguyên (integer), số thực (float), logic (boolean) và ký tự (character).	VARIABLES_DATA_TYPES	data types, integer, float, boolean, char	SDF, FPL	{"icon": "tags"}
REFERENCE_TYPES	Reference Data Types	Tìm hiểu về các kiểu dữ liệu tham chiếu (hoặc phức hợp) như chuỗi (string), đối tượng (object), mảng, và sự khác biệt về quản lý bộ nhớ so với kiểu nguyên thủy.	VARIABLES_DATA_TYPES	reference types, objects, strings, arrays, pointers	SDF, FPL	{"icon": "link"}
ARITHMETIC_OPS	Arithmetic Operators	Hướng dẫn sử dụng các toán tử số học cơ bản (+, -, *, /, %) và hiểu về thứ tự ưu tiên của chúng trong các biểu thức.	OPERATORS_EXPRESSIONS	arithmetic, operators, math, precedence	SDF	{"icon": "calculator-alt"}
COMPARISON_LOGICAL_OPS	Comparison and Logical Operators	Sử dụng các toán tử so sánh (==, !=, <, >) và logic (AND, OR, NOT) để xây dựng các biểu thức điều kiện phức tạp.	OPERATORS_EXPRESSIONS	comparison, logical, boolean operators, conditions	SDF	{"icon": "equals"}
CONDITIONAL_LOGIC	Conditional Logic (Selection)	Trình bày các cấu trúc rẽ nhánh như if-else và switch-case để chương trình có thể đưa ra quyết định dựa trên các điều kiện khác nhau.	CONTROL_FLOW	if-else, switch, conditionals, selection, branching	SDF	{"icon": "code-branch"}
ITERATION_LOOPS	Iteration and Loops	Trình bày các cấu trúc lặp như for, while và do-while để thực thi một khối mã lặp đi lặp lại.	CONTROL_FLOW	loops, for, while, iteration, repetition	SDF	{"icon": "redo"}
EXCEPTION_HANDLING	Exception Handling	Giới thiệu kỹ thuật xử lý các lỗi và ngoại lệ xảy ra trong quá trình chạy chương trình bằng khối lệnh try-catch để tăng tính ổn định.	CONTROL_FLOW, TESTING_DEBUGGING	exceptions, try-catch, error handling, robustness	SDF, SE	{"icon": "exclamation-circle"}
FUNC_SYNTAX	Function Syntax and Calls	Hướng dẫn cú pháp định nghĩa và gọi hàm, bao gồm cách truyền tham số (parameters) và đối số (arguments) để thực hiện các tác vụ.	FUNCTIONS_PROCEDURES	functions, methods, parameters, arguments, subroutines	SDF	{"icon": "function"}
RETURN_VALUES	Return Values and Scope	Tìm hiểu cách hàm trả về kết quả và khái niệm về phạm vi của biến (local, global) để quản lý dữ liệu hiệu quả.	FUNCTIONS_PROCEDURES	return, scope, local variables, global variables	SDF	{"icon": "arrow-left"}
ARRAYS	Arrays	Khám phá cấu trúc dữ liệu mảng: khai báo, truy cập phần tử qua chỉ số (index), và các thao tác cơ bản.	DATA_STRUCTURES_BASIC	array, index, data structure, collection	SDF, AL	{"icon": "th"}
LISTS_COLLECTIONS	Lists and Dynamic Collections	Giới thiệu các cấu trúc dữ liệu danh sách động và các bộ sưu tập khác có thể thay đổi kích thước, như List hoặc ArrayList.	DATA_STRUCTURES_BASIC	list, ArrayList, dynamic array, collection	SDF, AL	{"icon": "list-ul"}
CLASSES_OBJECTS	Classes and Objects	Giới thiệu khái niệm trung tâm của OOP: định nghĩa một "khuôn mẫu" (class) với các thuộc tính và hành vi, sau đó tạo ra các "thể hiện" (object) từ khuôn mẫu đó.	OOP	class, object, instantiation, attributes, methods	SDF, FPL	{"icon": "object-group"}
INHERITANCE_POLY	Inheritance and Polymorphism	Khám phá hai trụ cột của OOP: Kế thừa để tái sử dụng và mở rộng code, và Đa hình để xử lý các đối tượng khác nhau qua một giao diện chung.	OOP	inheritance, polymorphism, subclass, superclass, overriding	FPL	{"icon": "sitemap"}
ENCAPSULATION_ABSTRACTION	Encapsulation and Abstraction	Tìm hiểu cách đóng gói dữ liệu để bảo vệ trạng thái của đối tượng và cách tạo ra các giao diện trừu tượng để che giấu sự phức tạp bên trong.	OOP	encapsulation, abstraction, data hiding, access modifiers	FPL	{"icon": "box-archive"}
STATIC_MEMBERS	Static Members	Hiểu về các thuộc tính và phương thức tĩnh (static) thuộc về lớp thay vì một đối tượng cụ thể, hữu ích cho các tiện ích hoặc hằng số chung.	OOP	static, class variable, class method	FPL	{"icon": "star-of-life"}
FIRST_CLASS_FUNCTIONS	First-Class & Higher-Order Functions	Khám phá khái niệm hàm là "công dân hạng nhất" và các hàm bậc cao có thể nhận hàm khác làm đối số hoặc trả về một hàm.	FUNCTIONAL_PROG	higher-order functions, lambda, closures, first-class functions	FPL	{"icon": "lambda"}
IMMUTABILITY	Immutability and Pure Functions	Nắm vững nguyên tắc về tính bất biến của dữ liệu và các hàm thuần túy (pure functions) không có tác dụng phụ (side effects), giúp mã dễ dự đoán và kiểm thử hơn.	FUNCTIONAL_PROG	immutability, pure functions, side effects, functional	FPL	{"icon": "snowflake"}
EVENT_HANDLERS	Events and Event Handling	Hiểu mô hình xử lý sự kiện, trong đó chương trình đăng ký các hàm (event handlers) để phản hồi lại các hành động của người dùng hoặc hệ thống (events).	EVENT_DRIVEN_PROG	events, event handler, listener, callback	FPL, HCI	{"icon": "hand-point-up"}
ASYNCHRONOUS_PROG	Asynchronous Programming	Giới thiệu các kỹ thuật lập trình bất đồng bộ như callbacks, promises, hoặc async/await để xử lý các tác vụ tốn thời gian mà không chặn luồng chính.	EVENT_DRIVEN_PROG	async, await, promises, callbacks, non-blocking	FPL, PDC	{"icon": "hourglass-start"}
AGILE_SCRUM	Agile and Scrum Framework	Giới thiệu các phương pháp và nguyên tắc phát triển phần mềm linh hoạt (Agile), tập trung vào khuôn khổ Scrum với các vai trò, sự kiện và tạo tác của nó.	DEVELOPMENT_PROCESS	Agile, Scrum, sprint, standup, backlog	SE	{"icon": "users-class"}
UNIT_INTEGRATION_TESTING	Unit and Integration Testing	Phân biệt và thực hành viết các bài kiểm thử đơn vị (unit test) để kiểm tra từng thành phần nhỏ và kiểm thử tích hợp (integration test) để kiểm tra sự tương tác giữa chúng.	TESTING_DEBUGGING	unit test, integration test, TDD, test cases	SE	{"icon": "vials"}
DEBUGGING_TECH	Debugging Techniques	Trang bị các kỹ thuật gỡ lỗi hiệu quả, bao gồm sử dụng breakpoints, logging, và các công cụ phân tích lỗi của IDE.	TESTING_DEBUGGING	debugging, breakpoint, debugger, troubleshooting	SDF, SE	{"icon": "bug-slash"}
GIT_BASICS	Git Basics	Hướng dẫn các lệnh Git cơ bản (commit, push, pull, branch) và quy trình làm việc cơ bản để quản lý phiên bản mã nguồn.	VERSION_CONTROL	Git, VCS, commit, push, pull, branch	SE	{"icon": "code-commit"}
HTML_CSS	HTML and CSS Fundamentals	Cung cấp kiến thức nền tảng về Ngôn ngữ Đánh dấu Siêu văn bản (HTML) để cấu trúc nội dung và Cascading Style Sheets (CSS) để định dạng giao diện web.	FRONTEND_DEV	HTML, CSS, selectors, box model, semantic HTML	SPD	{"icon": "file-code"}
JAVASCRIPT_DOM	JavaScript and the DOM	Hướng dẫn lập trình phía client bằng JavaScript và cách sử dụng Mô hình Đối tượng Tài liệu (DOM) để tương tác và thay đổi nội dung trang web một cách linh hoạt.	FRONTEND_DEV	JavaScript, DOM, event handling, client-side scripting	SPD, FPL	{"icon": "js"}
SERVER_SIDE_LOGIC	Server-Side Logic	Xây dựng logic ứng dụng chạy trên máy chủ bằng các ngôn ngữ như Python, Node.js, Java để xử lý yêu cầu, truy cập dữ liệu và thực hiện các nghiệp vụ.	BACKEND_DEV	backend, server-side, Node.js, Python, business logic	SPD	{"icon": "server"}
API_DESIGN	API Design and Development	Thiết kế và xây dựng các Giao diện Lập trình Ứng dụng (API), đặc biệt là RESTful API, để các thành phần phần mềm (frontend, backend, mobile) có thể giao tiếp với nhau.	BACKEND_DEV	API, REST, JSON, HTTP methods, endpoint	SE	{"icon": "plug"}
RELATIONAL_DB	Relational Database Concepts	Giới thiệu các khái niệm cốt lõi của cơ sở dữ liệu quan hệ, bao gồm bảng, khóa chính, khóa ngoại và các nguyên tắc chuẩn hóa dữ liệu.	DATABASE_FUNDAMENTALS	RDBMS, relational model, primary key, foreign key, normalization	DM	{"icon": "table"}
SQL_QUERIES	SQL Queries	Hướng dẫn viết các câu lệnh SQL để truy vấn (SELECT), chèn (INSERT), cập nhật (UPDATE) và xóa (DELETE) dữ liệu từ cơ sở dữ liệu quan hệ.	DATABASE_FUNDAMENTALS	SQL, SELECT, JOIN, GROUP BY, query	DM	{"icon": "search-location"}
TRANSACTION_MANAGEMENT	Database Transaction Management	Tìm hiểu về khái niệm giao dịch và các thuộc tính ACID (Atomicity, Consistency, Isolation, Durability) để đảm bảo tính toàn vẹn của dữ liệu.	DATABASE_FUNDAMENTALS	transaction, ACID, commit, rollback, concurrency control	DM	{"icon": "lock"}
STACKS_QUEUES	Stacks and Queues	Nghiên cứu hai cấu trúc dữ liệu tuyến tính cơ bản: Ngăn xếp (LIFO - Last-In, First-Out) và Hàng đợi (FIFO - First-In, First-Out).	DATA_STRUCTURES_ADV	stack, queue, LIFO, FIFO, data structures	AL	{"icon": "layer-group"}
TREES_HEAPS	Trees and Heaps	Khám phá các cấu trúc dữ liệu dạng cây như cây tìm kiếm nhị phân (BST) và cây đống (heap), cùng các thuật toán liên quan.	DATA_STRUCTURES_ADV, DISCRETE_STRUCTURES	tree, binary search tree, heap, tree traversal	AL	{"icon": "sitemap"}
HASH_TABLES	Hash Tables	Tìm hiểu về cấu trúc dữ liệu bảng băm, cách hoạt động của hàm băm và các chiến lược xử lý xung đột (collision).	DATA_STRUCTURES_ADV	hash table, hash function, dictionary, map, collision	AL	{"icon": "hashtag"}
DATA_VIS_TOOLS	Data Visualization Tools	Hướng dẫn sử dụng các thư viện hoặc công cụ phổ biến (như Matplotlib, Seaborn, D3.js, Tableau) để tạo ra các biểu đồ và đồ thị hiệu quả từ dữ liệu.	DATA_VISUALIZATION	visualization tools, Matplotlib, D3.js, Tableau, charting	GIT, MSF	{"icon": "chart-line"}
SUPERVISED_LEARNING	Supervised Learning	Giới thiệu các mô hình học có giám sát, nơi thuật toán học từ dữ liệu đã được gán nhãn, bao gồm các bài toán Hồi quy (Regression) và Phân loại (Classification).	ML_MODELS	supervised learning, regression, classification, labeled data	AI	{"icon": "tag"}
UNSUPERVISED_LEARNING	Unsupervised Learning	Giới thiệu các mô hình học không giám sát, nơi thuật toán tự khám phá cấu trúc trong dữ liệu chưa được gán nhãn, bao gồm Phân cụm (Clustering).	ML_MODELS	unsupervised learning, clustering, K-Means, unlabeled data	AI	{"icon": "shapes"}
REINFORCEMENT_LEARNING	Reinforcement Learning	Khám phá mô hình học tăng cường, trong đó một tác nhân (agent) học cách hành động trong một môi trường để tối đa hóa phần thưởng tích lũy.	ML_MODELS	reinforcement learning, agent, environment, reward, RL	AI	{"icon": "gamepad-alt"}
IOT_DEVICES_SENSORS	IoT Devices and Sensors	Giới thiệu các loại thiết bị và cảm biến phổ biến trong hệ sinh thái IoT, và cách chúng thu thập dữ liệu từ thế giới thực.	IOT_ECOSYSTEM	IoT devices, sensors, wearables, smart home	SPD	{"icon": "broadcast-tower"}
EDGE_FOG_CLOUD	IoT Architectures (Edge, Fog, Cloud)	Phân tích các kiến trúc xử lý dữ liệu khác nhau trong một hệ thống IoT: tại thiết bị (Edge), tại lớp trung gian (Fog), hoặc trên nền tảng đám mây (Cloud).	IOT_ECOSYSTEM, CLOUD_COMPUTING	edge computing, fog computing, cloud, IoT architecture	SPD, PDC	{"icon": "layer-group"}
IOT_PROTOCOLS_MQTT	IoT Messaging Protocols (MQTT)	Tập trung vào giao thức truyền tin MQTT, một tiêu chuẩn phổ biến cho các thiết bị IoT do tính nhẹ và hiệu quả.	IOT_COMMUNICATION	MQTT, publish-subscribe, IoT protocols, messaging	NC, SPD	{"icon": "envelope-open-text"}
UI_UX_HEURISTICS	Usability Heuristics	Nghiên cứu các nguyên tắc vàng (heuristics) về thiết kế giao diện người dùng để đảm bảo tính khả dụng, dễ học và hiệu quả.	HCI_PRINCIPLES, UI_UX_PROCESS	usability, heuristics, Nielsen's heuristics, user-friendly	HCI	{"icon": "check-circle"}
USER_RESEARCH	User Research and Personas	Tìm hiểu các phương pháp nghiên cứu người dùng (phỏng vấn, khảo sát) và kỹ thuật xây dựng chân dung người dùng (personas) để định hướng quá trình thiết kế.	UI_UX_PROCESS	user research, personas, user interviews, surveys	HCI	{"icon": "user-friends"}
WIREFRAMING_PROTOTYPING	Wireframing and Prototyping	Thực hành các kỹ thuật tạo bản phác thảo cấu trúc (wireframe) và các mẫu thử tương tác (prototype) để trực quan hóa và kiểm tra các ý tưởng thiết kế.	UI_UX_PROCESS	wireframe, prototype, mockup, Figma, Adobe XD	HCI	{"icon": "drafting-compass"}
WCAG_STANDARDS	Web Content Accessibility Guidelines (WCAG)	Giới thiệu các tiêu chuẩn quốc tế (WCAG) và các cấp độ tuân thủ (A, AA, AAA) để đảm bảo nội dung web có thể tiếp cận được bởi người khuyết tật.	ACCESSIBILITY	WCAG, accessibility, a11y, web standards	HCI, SEP	{"icon": "universal-access"}
ASSISTIVE_TECH	Assistive Technologies	Tìm hiểu về các công nghệ hỗ trợ như trình đọc màn hình (screen readers), bàn phím thay thế, và cách chúng giúp người khuyết tật sử dụng công nghệ.	ACCESSIBILITY	assistive tech, screen reader, accessibility tools	HCI, SEP	{"icon": "headset"}
DIGITAL_INTERACTION	Digital Interaction and Etiquette	Phát triển các kỹ năng và quy tắc ứng xử (netiquette) khi giao tiếp và tương tác chuyên nghiệp trong môi trường số, từ email đến các nền tảng cộng tác.	DIGITAL_INTERACTION	netiquette, digital communication, etiquette	SEP	{"icon": "comments"}
COLLABORATION_TOOLS	Digital Collaboration Tools	Hướng dẫn sử dụng hiệu quả các công cụ và nền tảng kỹ thuật số để làm việc nhóm, quản lý dự án và hợp tác từ xa (ví dụ: Trello, Slack, Google Workspace).	COLLABORATION_TOOLS	collaboration, teamwork, project management tools	SEP, SE	{"icon": "users-cog"}
PHISHING_SCAMS	Recognizing Phishing and Scams	Rèn luyện kỹ năng nhận diện các email, tin nhắn và trang web lừa đảo để bảo vệ bản thân và tổ chức khỏi các cuộc tấn công lừa đảo.	DATA_PRIVACY_USER	phishing, scams, social engineering, cybersecurity	SEC, SEP	{"icon": "fish"}
PRIVACY_SETTINGS	Using Privacy Settings and Tools	Hướng dẫn cách sử dụng các cài đặt quyền riêng tư trên các dịch vụ web, mạng xã hội và trình duyệt để kiểm soát thông tin cá nhân.	DATA_PRIVACY_USER	privacy settings, cookies, data protection, GDPR	SEP	{"icon": "user-cog"}
PASSWORD_STRENGTH	Strong Passwords & Authentication	Các tiêu chí để tạo một mật khẩu mạnh và các phương pháp xác thực hiện đại như xác thực hai yếu tố (2FA) để tăng cường bảo mật.	DEVICE_PROTECTION	passwords, authentication, 2FA, MFA, security	SEC	{"icon": "key"}
MALWARE_TYPES	Malware Protection	Phân biệt các loại phần mềm độc hại (virus, worm, ransomware) và các biện pháp phòng chống như sử dụng phần mềm diệt virus.	DEVICE_PROTECTION	malware, virus, ransomware, antivirus	SEC	{"icon": "shield-virus"}
RENDERING	Rendering Pipeline & Techniques	Nghiên cứu các giai đoạn trong quy trình kết xuất đồ họa (graphics pipeline) và các kỹ thuật chính như Rasterization và Ray Tracing.	GRAPHICS_FUNDAMENTALS	rendering pipeline, rasterization, ray tracing, shaders	GIT	{"icon": "image"}
GEOMETRIC_TRANSFORMATIONS	2D/3D Geometric Transformations	Tìm hiểu các phép biến đổi hình học cơ bản (tịnh tiến, quay, co giãn) và cách biểu diễn chúng bằng ma trận trong không gian 2D và 3D.	GEOMETRIC_MODELING	transformations, matrix, translation, rotation, scaling	GIT, MSF	{"icon": "ruler-combined"}
RASTER_GRAPHICS_CONCEPTS	Raster Graphics Concepts	Khám phá các khái niệm liên quan đến đồ họa dựa trên pixel, như lớp (layers), chế độ hòa trộn, mặt nạ, và các công cụ chỉnh sửa.	DIGITAL_IMAGE_MANIPULATION	raster, pixels, layers, blending modes, Photoshop	GIT	{"icon": "paint-brush-alt"}
VECTOR_GRAPHICS_CONCEPTS	Vector Graphics Concepts	Khám phá các khái niệm liên quan đến đồ họa dựa trên đường dẫn toán học, bao gồm đường cong Bézier và các phép toán hình khối.	DIGITAL_IMAGE_MANIPULATION	vector, paths, Bézier curves, SVG, Illustrator	GIT, MSF	{"icon": "vector-square"}
GRAPHIC_DESIGN_PRINCIPLES	Visual Design Principles for UI	Áp dụng các nguyên tắc cốt lõi về màu sắc, bố cục, khoảng trắng và chữ viết (typography) để tạo ra các giao diện người dùng thẩm mỹ và hiệu quả.	GRAPHIC_DESIGN_PRINCIPLES	visual design, color theory, typography, layout, UI	GIT, HCI	{"icon":"palette"}
POLYGONAL_MODELING	3D Polygonal Modeling	Thực hành kỹ thuật mô hình hóa 3D bằng cách sử dụng mắt lưới đa giác (polygonal mesh) gồm các đỉnh, cạnh và mặt.	3D_MODELING_ANIMATION	3D modeling, polygonal mesh, vertex, edge, face	GIT	{"icon": "cube"}
SOLID_MODELING	3D Solid Modeling (CSG)	Thực hành kỹ thuật mô hình hóa 3D bằng cách kết hợp các khối hình học rắn cơ bản thông qua các phép toán Boolean (CSG).	3D_MODELING_ANIMATION	solid modeling, CSG, boolean operations, CAD	GIT	{"icon": "shapes"}
3D_ANIMATION_PRINCIPLES	3D Animation Principles	Áp dụng các nguyên tắc tạo chuyển động cho mô hình 3D, bao gồm tạo khung hình chính (keyframing) và các đường cong chuyển động.	3D_MODELING_ANIMATION	3D animation, keyframe, timeline, rigging	GIT	{"icon": "film"}
