code	name	description	metadata	created_at	updated_at	concept_codes
KW_ARGUMENT	argument	Programming token: argument (related: argument, parameter, function, call)	"{""source"": ""reference_glossary"", ""related_terms"": [""argument"", ""parameter"", ""function"", ""call"", ""value""], ""extracted_at"": ""2026-08-03T12:28:05.422062""}"	2026-08-03T12:28:05.422065	2026-08-03T12:28:05.422066	"[""KEY_VALUE_PERSISTENCE"", ""SINGULAR_VALUE_DECOMPOSITION"", ""FIRST_CLASS_FUNCTIONS_CONCEPT"", ""IMMUTABILITY_CONCEPT"", ""PARAMETERIZED_QUANTUM_CIRCUITS""]"
KW_IF	if	Programming token: if (related: conditional, branch, control_flow, boolean)	"{""source"": ""reference_glossary"", ""related_terms"": [""conditional"", ""branch"", ""control_flow"", ""boolean""], ""extracted_at"": ""2026-08-03T12:28:05.422155""}"	2026-08-03T12:28:05.422159	2026-08-03T12:28:05.422159	"[""BOOLEAN_OPERATIONS_3D"", ""TRUTH_TABLES"", ""PRIMITIVE_TYPE_DECLARATION"", ""PROPOSITIONAL_LOGIC"", ""REGRESSION_CLASSIFICATION"", ""AFFORDANCES_SIGNIFIERS"", ""IMAGE_WARPING"", ""IF_ELSE_STATEMENT""]"
KW_ELSE	else	Programming token: else (related: conditional, branch, control_flow, alternative)	"{""source"": ""reference_glossary"", ""related_terms"": [""conditional"", ""branch"", ""control_flow"", ""alternative""], ""extracted_at"": ""2026-08-03T12:28:05.422247""}"	2026-08-03T12:28:05.422249	2026-08-03T12:28:05.422250	"[""IF_ELSE_STATEMENT""]"
KW_ELIF	elif	Programming token: elif (related: conditional, branch, elif, multiple_conditions)	"{""source"": ""reference_glossary"", ""related_terms"": [""conditional"", ""branch"", ""elif"", ""multiple_conditions""], ""extracted_at"": ""2026-08-03T12:28:05.422333""}"	2026-08-03T12:28:05.422336	2026-08-03T12:28:05.422337	"[""IF_ELSE_STATEMENT"", ""SWITCH_CASE""]"
KW_SWITCH	switch	Programming token: switch (related: switch, case, pattern_matching, control_flow)	"{""source"": ""reference_glossary"", ""related_terms"": [""switch"", ""case"", ""pattern_matching"", ""control_flow"", ""dispatch""], ""extracted_at"": ""2026-08-03T12:28:05.422435""}"	2026-08-03T12:28:05.422438	2026-08-03T12:28:05.422438	"[""ROUTERS_SWITCHES_CONCEPT"", ""SWITCH_CASE""]"
KW_CASE	case	Programming token: case (related: case, pattern, match, switch)	"{""source"": ""reference_glossary"", ""related_terms"": [""case"", ""pattern"", ""match"", ""switch""], ""extracted_at"": ""2026-08-03T12:28:05.422529""}"	2026-08-03T12:28:05.422532	2026-08-03T12:28:05.422533	"[""SWITCH_CASE"", ""MVVM_PATTERN"", ""PATTERN_RECOGNITION_CONCEPT"", ""ROUTERS_SWITCHES_CONCEPT"", ""CREATIONAL_PATTERNS"", ""STRUCTURAL_PATTERNS"", ""BEHAVIORAL_PATTERNS""]"
KW_DEFAULT	default	Programming token: default (related: default, case, fallback, switch)	"{""source"": ""reference_glossary"", ""related_terms"": [""default"", ""case"", ""fallback"", ""switch""], ""extracted_at"": ""2026-08-03T12:28:05.422616""}"	2026-08-03T12:28:05.422619	2026-08-03T12:28:05.422619	"[""SWITCH_CASE"", ""ROUTERS_SWITCHES_CONCEPT""]"
KW_MATCH	match	Programming token: match (related: match, pattern_matching, switch, rust)	"{""source"": ""reference_glossary"", ""related_terms"": [""match"", ""pattern_matching"", ""switch"", ""rust"", ""scala""], ""extracted_at"": ""2026-08-03T12:28:05.422741""}"	2026-08-03T12:28:05.422744	2026-08-03T12:28:05.422745	"[""ROUTERS_SWITCHES_CONCEPT"", ""SWITCH_CASE"", ""ZERO_TRUST_ARCHITECTURE""]"
KW_FOR	for	Programming token: for (related: loop, iteration, range, collection)	"{""source"": ""reference_glossary"", ""related_terms"": [""loop"", ""iteration"", ""range"", ""collection"", ""for_loop""], ""extracted_at"": ""2026-08-03T12:28:05.422862""}"	2026-08-03T12:28:05.422865	2026-08-03T12:28:05.422866	"[""FOR_LOOP"", ""SHARED_EDITING_ETIQUETTE"", ""PUBLISHER_SUBSCRIBER_MODEL"", ""NEURAL_SIGNAL_DECODING_BCI"", ""ARDUINO_BASICS"", ""WHILE_LOOP"", ""GAME_LOOP"", ""CLOSED_LOOP_NEUROSTIMULATION""]"
KW_WHILE	while	Programming token: while (related: loop, iteration, condition, while_loop)	"{""source"": ""reference_glossary"", ""related_terms"": [""loop"", ""iteration"", ""condition"", ""while_loop"", ""pre_test""], ""extracted_at"": ""2026-08-03T12:28:05.422982""}"	2026-08-03T12:28:05.422985	2026-08-03T12:28:05.422986	"[""WHILE_LOOP"", ""ARDUINO_BASICS"", ""FOR_LOOP"", ""GAME_LOOP"", ""CLOSED_LOOP_NEUROSTIMULATION"", ""ARRAY_OPERATIONS""]"
KW_DO	do	Programming token: do (related: do_while, loop, iteration, post_test)	"{""source"": ""reference_glossary"", ""related_terms"": [""do_while"", ""loop"", ""iteration"", ""post_test""], ""extracted_at"": ""2026-08-03T12:28:05.423082""}"	2026-08-03T12:28:05.423085	2026-08-03T12:28:05.423086	"[""ARDUINO_BASICS"", ""FOR_LOOP"", ""WHILE_LOOP"", ""GAME_LOOP"", ""CLOSED_LOOP_NEUROSTIMULATION"", ""ARRAY_OPERATIONS"", ""LIGHTING_AND_SHADOWS"", ""HTML_STRUCTURE""]"
KW_BREAK	break	Programming token: break (related: break, loop_control, exit, early_exit)	"{""source"": ""reference_glossary"", ""related_terms"": [""break"", ""loop_control"", ""exit"", ""early_exit""], ""extracted_at"": ""2026-08-03T12:28:05.423173""}"	2026-08-03T12:28:05.423175	2026-08-03T12:28:05.423176	"[""BREAKPOINTS""]"
KW_CONTINUE	continue	Programming token: continue (related: continue, loop_control, skip, next_iteration)	"{""source"": ""reference_glossary"", ""related_terms"": [""continue"", ""loop_control"", ""skip"", ""next_iteration""], ""extracted_at"": ""2026-08-03T12:28:05.423265""}"	2026-08-03T12:28:05.423269	2026-08-03T12:28:05.423270	"[""FOR_LOOP"", ""WHILE_LOOP""]"
KW_FOREACH	foreach	Programming token: foreach (related: foreach, iteration, collection, enumeration)	"{""source"": ""reference_glossary"", ""related_terms"": [""foreach"", ""iteration"", ""collection"", ""enumeration""], ""extracted_at"": ""2026-08-03T12:28:05.423359""}"	2026-08-03T12:28:05.423362	2026-08-03T12:28:05.423363	"[""FOR_LOOP"", ""WHILE_LOOP"", ""ARRAY_OPERATIONS""]"
KW_IN	in	Programming token: in (related: in, membership, iteration, collection)	"{""source"": ""reference_glossary"", ""related_terms"": [""in"", ""membership"", ""iteration"", ""collection"", ""operator""], ""extracted_at"": ""2026-08-03T12:28:05.423538""}"	2026-08-03T12:28:05.423541	2026-08-03T12:28:05.423542	"[""FOR_LOOP"", ""WHILE_LOOP"", ""ARRAY_OPERATIONS"", ""IO_METHODS_POLLING_INTERRUPT"", ""SCHEDULING_ALGORITHMS"", ""TROUBLESHOOTING_METHODOLOGY_CONCEPT"", ""ERROR_MESSAGES_CONCEPT"", ""SBC_BASICS""]"
KW_ASYNC	async	Programming token: async (related: async, await, promise, future)	"{""source"": ""reference_glossary"", ""related_terms"": [""async"", ""await"", ""promise"", ""future"", ""concurrency"", ""non_blocking""], ""extracted_at"": ""2026-08-03T12:28:05.423662""}"	2026-08-03T12:28:05.423668	2026-08-03T12:28:05.423668	"[""ASYNCHRONOUS_PROG_CONCEPT""]"
KW_AWAIT	await	Programming token: await (related: await, async, promise, suspend)	"{""source"": ""reference_glossary"", ""related_terms"": [""await"", ""async"", ""promise"", ""suspend"", ""resume""], ""extracted_at"": ""2026-08-03T12:28:05.423776""}"	2026-08-03T12:28:05.423780	2026-08-03T12:28:05.423781	"[""ASYNCHRONOUS_PROG_CONCEPT""]"
KW_PROMISE	promise	Programming token: promise (related: promise, future, async, then)	"{""source"": ""reference_glossary"", ""related_terms"": [""promise"", ""future"", ""async"", ""then"", ""catch"", ""resolve"", ""reject""], ""extracted_at"": ""2026-08-03T12:28:05.423920""}"	2026-08-03T12:28:05.423924	2026-08-03T12:28:05.423924	"[""ASYNCHRONOUS_PROG_CONCEPT"", ""TWO_FACTOR_AUTH""]"
KW_FUTURE	future	Programming token: future (related: future, promise, async, completion)	"{""source"": ""reference_glossary"", ""related_terms"": [""future"", ""promise"", ""async"", ""completion""], ""extracted_at"": ""2026-08-03T12:28:05.424015""}"	2026-08-03T12:28:05.424018	2026-08-03T12:28:05.424019	"[""ASYNCHRONOUS_PROG_CONCEPT""]"
KW_TASK	task	Programming token: task (related: task, async, structured_concurrency, cancellation)	"{""source"": ""reference_glossary"", ""related_terms"": [""task"", ""async"", ""structured_concurrency"", ""cancellation"", ""swift""], ""extracted_at"": ""2026-08-03T12:28:05.424120""}"	2026-08-03T12:28:05.424123	2026-08-03T12:28:05.424124	"[""ASYNCHRONOUS_PROG_CONCEPT""]"
KW_ACTOR	actor	Programming token: actor (related: actor, isolation, concurrency, data_race)	"{""source"": ""reference_glossary"", ""related_terms"": [""actor"", ""isolation"", ""concurrency"", ""data_race"", ""swift""], ""extracted_at"": ""2026-08-03T12:28:05.424228""}"	2026-08-03T12:28:05.424231	2026-08-03T12:28:05.424232	"[""TWO_FACTOR_AUTH""]"
KW_TRY	try	Programming token: try (related: try, catch, exception, error_handling)	"{""source"": ""reference_glossary"", ""related_terms"": [""try"", ""catch"", ""exception"", ""error_handling"", ""protected_block""], ""extracted_at"": ""2026-08-03T12:28:05.424337""}"	2026-08-03T12:28:05.424340	2026-08-03T12:28:05.424341	"[""RUNTIME_ERRORS"", ""DIGITAL_TWIN_SIMULATION"", ""PHOTOGRAMMETRY_AND_POINT_CLOUD""]"
KW_CATCH	catch	Programming token: catch (related: catch, exception, error_handling, handler)	"{""source"": ""reference_glossary"", ""related_terms"": [""catch"", ""exception"", ""error_handling"", ""handler""], ""extracted_at"": ""2026-08-03T12:28:05.424426""}"	2026-08-03T12:28:05.424430	2026-08-03T12:28:05.424431	"[""RUNTIME_ERRORS""]"
KW_FINALLY	finally	Programming token: finally (related: finally, cleanup, error_handling, guaranteed_execution)	"{""source"": ""reference_glossary"", ""related_terms"": [""finally"", ""cleanup"", ""error_handling"", ""guaranteed_execution""], ""extracted_at"": ""2026-08-03T12:28:05.424514""}"	2026-08-03T12:28:05.424517	2026-08-03T12:28:05.424517	"[""ERROR_MESSAGES_CONCEPT"", ""RUNTIME_ERRORS""]"
KW_THROW	throw	Programming token: throw (related: throw, raise, exception, error)	"{""source"": ""reference_glossary"", ""related_terms"": [""throw"", ""raise"", ""exception"", ""error"", ""propagate""], ""extracted_at"": ""2026-08-03T12:28:05.424621""}"	2026-08-03T12:28:05.424624	2026-08-03T12:28:05.424625	"[""RUNTIME_ERRORS"", ""ERROR_MESSAGES_CONCEPT"", ""LOGIC_ERRORS"", ""SYNTAX_ERRORS""]"
KW_RAISE	raise	Programming token: raise (related: raise, throw, exception, error)	"{""source"": ""reference_glossary"", ""related_terms"": [""raise"", ""throw"", ""exception"", ""error"", ""python""], ""extracted_at"": ""2026-08-03T12:28:05.424729""}"	2026-08-03T12:28:05.424732	2026-08-03T12:28:05.424733	"[""RUNTIME_ERRORS"", ""ERROR_MESSAGES_CONCEPT"", ""LOGIC_ERRORS"", ""SYNTAX_ERRORS""]"
KW_EXCEPT	except	Programming token: except (related: except, catch, exception, python)	"{""source"": ""reference_glossary"", ""related_terms"": [""except"", ""catch"", ""exception"", ""python""], ""extracted_at"": ""2026-08-03T12:28:05.424821""}"	2026-08-03T12:28:05.424824	2026-08-03T12:28:05.424825	"[""RUNTIME_ERRORS""]"
KW_CLASS	class	Programming token: class (related: class, object, instance, oop)	"{""source"": ""reference_glossary"", ""related_terms"": [""class"", ""object"", ""instance"", ""oop"", ""blueprint"", ""type""], ""extracted_at"": ""2026-08-03T12:28:05.424954""}"	2026-08-03T12:28:05.424957	2026-08-03T12:28:05.424958	"[""CSS_SELECTORS"", ""CLASS_DEFINITION"", ""FIRST_CLASS_FUNCTIONS_CONCEPT"", ""OBJECT_PROPERTIES"", ""REFERENCE_TYPE_DECLARATION"", ""OBJECT_INSTANTIATION"", ""TYPE_SYSTEMS_AND_SAFETY"", ""MEMORY_TYPES""]"
KW_STRUCT	struct	Programming token: struct (related: struct, value_type, data_structure, stack_allocation)	"{""source"": ""reference_glossary"", ""related_terms"": [""struct"", ""value_type"", ""data_structure"", ""stack_allocation""], ""extracted_at"": ""2026-08-03T12:28:05.425043""}"	2026-08-03T12:28:05.425046	2026-08-03T12:28:05.425047	"[""STRUCTURAL_PATTERNS"", ""ADJUSTMENT_LAYERS"", ""HTML_STRUCTURE"", ""PUBLIC_KEY_INFRASTRUCTURE""]"
KW_INTERFACE	interface	Programming token: interface (related: interface, protocol, contract, abstraction)	"{""source"": ""reference_glossary"", ""related_terms"": [""interface"", ""protocol"", ""contract"", ""abstraction"", ""polymorphism""], ""extracted_at"": ""2026-08-03T12:28:05.425149""}"	2026-08-03T12:28:05.425152	2026-08-03T12:28:05.425153	"[""MODEL_CONTEXT_PROTOCOL_STANDARD"", ""QUANTUM_KEY_DISTRIBUTION_QKD"", ""ABSTRACTION_LAYERS"", ""METHOD_OVERRIDING"", ""IOT_MESSAGING_PROTOCOLS"", ""NEURAL_SIGNAL_DECODING_BCI""]"
KW_PROTOCOL	protocol	Programming token: protocol (related: protocol, interface, conformance, swift)	"{""source"": ""reference_glossary"", ""related_terms"": [""protocol"", ""interface"", ""conformance"", ""swift"", ""pat""], ""extracted_at"": ""2026-08-03T12:28:05.425260""}"	2026-08-03T12:28:05.425263	2026-08-03T12:28:05.425264	"[""MODEL_CONTEXT_PROTOCOL_STANDARD"", ""QUANTUM_KEY_DISTRIBUTION_QKD"", ""CREATIONAL_PATTERNS"", ""STRUCTURAL_PATTERNS"", ""BEHAVIORAL_PATTERNS"", ""IOT_MESSAGING_PROTOCOLS"", ""MVVM_PATTERN"", ""ROBOTIC_PATH_PLANNING""]"
KW_ENUM	enum	Programming token: enum (related: enum, enumeration, variant, discriminated_union)	"{""source"": ""reference_glossary"", ""related_terms"": [""enum"", ""enumeration"", ""variant"", ""discriminated_union"", ""algebraic_data_type""], ""extracted_at"": ""2026-08-03T12:28:05.425370""}"	2026-08-03T12:28:05.425373	2026-08-03T12:28:05.425374	"[""PRIMITIVE_TYPE_DECLARATION"", ""REFERENCE_TYPE_DECLARATION"", ""TYPES_OF_AI""]"
KW_EXTENDS	extends	Programming token: extends (related: extends, inheritance, subclass, superclass)	"{""source"": ""reference_glossary"", ""related_terms"": [""extends"", ""inheritance"", ""subclass"", ""superclass"", ""is_a""], ""extracted_at"": ""2026-08-03T12:28:05.425501""}"	2026-08-03T12:28:05.425504	2026-08-03T12:28:05.425505	"[""INHERITANCE_SYNTAX""]"
KW_IMPLEMENTS	implements	Programming token: implements (related: implements, interface, contract, conformance)	"{""source"": ""reference_glossary"", ""related_terms"": [""implements"", ""interface"", ""contract"", ""conformance""], ""extracted_at"": ""2026-08-03T12:28:05.425592""}"	2026-08-03T12:28:05.425595	2026-08-03T12:28:05.425596	"[""NEURAL_SIGNAL_DECODING_BCI""]"
KW_SUPER	super	Programming token: super (related: super, parent, inheritance, base_class)	"{""source"": ""reference_glossary"", ""related_terms"": [""super"", ""parent"", ""inheritance"", ""base_class"", ""constructor_chaining""], ""extracted_at"": ""2026-08-03T12:28:05.425702""}"	2026-08-03T12:28:05.425705	2026-08-03T12:28:05.425705	"[""INHERITANCE_SYNTAX"", ""QUANTUM_STATES_SUPERPOSITION""]"
KW_BASE	base	Programming token: base (related: base, parent, superclass, inheritance)	"{""source"": ""reference_glossary"", ""related_terms"": [""base"", ""parent"", ""superclass"", ""inheritance""], ""extracted_at"": ""2026-08-03T12:28:05.425802""}"	2026-08-03T12:28:05.425805	2026-08-03T12:28:05.425806	"[""INHERITANCE_SYNTAX"", ""RELATIONAL_VS_NONRELATIONAL"", ""EVENT_BASED_PROGRAMMING"", ""DATABASE_NORMALIZATION"", ""GRAPH_BASED_AGENTIC_WORKFLOW""]"
KW_OVERRIDE	override	Programming token: override (related: override, inheritance, polymorphism, dynamic_dispatch)	"{""source"": ""reference_glossary"", ""related_terms"": [""override"", ""inheritance"", ""polymorphism"", ""dynamic_dispatch""], ""extracted_at"": ""2026-08-03T12:28:05.425893""}"	2026-08-03T12:28:05.425895	2026-08-03T12:28:05.425896	"[""INHERITANCE_SYNTAX"", ""METHOD_OVERRIDING""]"
KW_VIRTUAL	virtual	Programming token: virtual (related: virtual, polymorphism, dynamic_dispatch, override)	"{""source"": ""reference_glossary"", ""related_terms"": [""virtual"", ""polymorphism"", ""dynamic_dispatch"", ""override""], ""extracted_at"": ""2026-08-03T12:28:05.425984""}"	2026-08-03T12:28:05.425988	2026-08-03T12:28:05.425988	"[""VIRTUAL_MEMORY"", ""METHOD_OVERRIDING"", ""VIRTUALIZATION""]"
KW_ABSTRACT	abstract	Programming token: abstract (related: abstract, base_class, inheritance, interface)	"{""source"": ""reference_glossary"", ""related_terms"": [""abstract"", ""base_class"", ""inheritance"", ""interface"", ""pure_virtual""], ""extracted_at"": ""2026-08-03T12:28:05.426089""}"	2026-08-03T12:28:05.426092	2026-08-03T12:28:05.426092	"[""STATIC_PROGRAM_ANALYSIS"", ""INHERITANCE_SYNTAX"", ""ABSTRACTION_LAYERS"", ""NEURAL_SIGNAL_DECODING_BCI""]"
KW_PUBLIC	public	Programming token: public (related: public, access_modifier, visibility, api)	"{""source"": ""reference_glossary"", ""related_terms"": [""public"", ""access_modifier"", ""visibility"", ""api"", ""external""], ""extracted_at"": ""2026-08-03T12:28:05.426196""}"	2026-08-03T12:28:05.426199	2026-08-03T12:28:05.426200	"[""ACCESS_MODIFIERS"", ""PUBLIC_KEY_INFRASTRUCTURE"", ""API_INTEGRATION"", ""LOCATION_SERVICES_API"", ""MEDIA_PICKER_API"", ""LOCAL_NOTIFICATION_API""]"
KW_PRIVATE	private	Programming token: private (related: private, access_modifier, encapsulation, internal)	"{""source"": ""reference_glossary"", ""related_terms"": [""private"", ""access_modifier"", ""encapsulation"", ""internal"", ""hidden""], ""extracted_at"": ""2026-08-03T12:28:05.426309""}"	2026-08-03T12:28:05.426312	2026-08-03T12:28:05.426313	"[""ACCESS_MODIFIERS""]"
KW_PROTECTED	protected	Programming token: protected (related: protected, access_modifier, inheritance, subclass_access)	"{""source"": ""reference_glossary"", ""related_terms"": [""protected"", ""access_modifier"", ""inheritance"", ""subclass_access""], ""extracted_at"": ""2026-08-03T12:28:05.426397""}"	2026-08-03T12:28:05.426400	2026-08-03T12:28:05.426401	"[""INHERITANCE_SYNTAX""]"
KW_INTERNAL	internal	Programming token: internal (related: internal, access_modifier, module, assembly)	"{""source"": ""reference_glossary"", ""related_terms"": [""internal"", ""access_modifier"", ""module"", ""assembly""], ""extracted_at"": ""2026-08-03T12:28:05.426488""}"	2026-08-03T12:28:05.426491	2026-08-03T12:28:05.426492	"[""ACCESS_MODIFIERS""]"
KW_READONLY	readonly	Programming token: readonly (related: readonly, immutable, property, init_only)	"{""source"": ""reference_glossary"", ""related_terms"": [""readonly"", ""immutable"", ""property"", ""init_only""], ""extracted_at"": ""2026-08-03T12:28:05.426577""}"	2026-08-03T12:28:05.426580	2026-08-03T12:28:05.426580	"[""IMMUTABILITY_CONCEPT""]"
KW_STATIC	static	Programming token: static (related: static, class_member, shared, type_level)	"{""source"": ""reference_glossary"", ""related_terms"": [""static"", ""class_member"", ""shared"", ""type_level"", ""singleton""], ""extracted_at"": ""2026-08-03T12:28:05.426682""}"	2026-08-03T12:28:05.426685	2026-08-03T12:28:05.426685	"[""STATIC_MEMBERS_CONCEPT"", ""STATIC_PROGRAM_ANALYSIS"", ""SHARED_OBSERVABLE_STATE"", ""CREATIONAL_PATTERNS""]"
KW_GET	get	Programming token: get (related: getter, property, accessor, read)	"{""source"": ""reference_glossary"", ""related_terms"": [""getter"", ""property"", ""accessor"", ""read"", ""computed""], ""extracted_at"": ""2026-08-03T12:28:05.426794""}"	2026-08-03T12:28:05.426796	2026-08-03T12:28:05.426797	"[""HTTP_METHODS"", ""PROCESS_VS_THREAD"", ""TEMP_HUMIDITY_SENSORS"", ""LIGHT_MOTION_SENSORS"", ""SCREEN_READERS""]"
KW_SET	set	Programming token: set (related: set, unique, collection, mathematical_set)	"{""source"": ""reference_glossary"", ""related_terms"": [""set"", ""unique"", ""collection"", ""mathematical_set"", ""no_duplicates""], ""extracted_at"": ""2026-08-03T12:28:05.426908""}"	2026-08-03T12:28:05.426911	2026-08-03T12:28:05.426912	"[""SET_THEORY""]"
KW_PROPERTY	property	Programming token: property (related: property, member, attribute, field)	"{""source"": ""reference_glossary"", ""related_terms"": [""property"", ""member"", ""attribute"", ""field"", ""accessor""], ""extracted_at"": ""2026-08-03T12:28:05.427018""}"	2026-08-03T12:28:05.427021	2026-08-03T12:28:05.427022	"[""OBJECT_PROPERTIES"", ""STATIC_MEMBERS_CONCEPT""]"
KW_NEW	new	Programming token: new (related: new, instance, constructor, allocation)	"{""source"": ""reference_glossary"", ""related_terms"": [""new"", ""instance"", ""constructor"", ""allocation"", ""heap""], ""extracted_at"": ""2026-08-03T12:28:05.427126""}"	2026-08-03T12:28:05.427129	2026-08-03T12:28:05.427130	"[""OBJECT_INSTANTIATION"", ""FILE_ALLOCATION"", ""RENEWABLE_ENERGY_FORECASTING""]"
KW_THIS	this	Programming token: this (related: this, self, instance, context)	"{""source"": ""reference_glossary"", ""related_terms"": [""this"", ""self"", ""instance"", ""context"", ""receiver""], ""extracted_at"": ""2026-08-03T12:28:05.427237""}"	2026-08-03T12:28:05.427242	2026-08-03T12:28:05.427243	"[""OBJECT_INSTANTIATION"", ""MODEL_CONTEXT_PROTOCOL_STANDARD""]"
KW_SELF	self	Programming token: self (related: self, this, instance, receiver)	"{""source"": ""reference_glossary"", ""related_terms"": [""self"", ""this"", ""instance"", ""receiver"", ""swift""], ""extracted_at"": ""2026-08-03T12:28:05.427347""}"	2026-08-03T12:28:05.427350	2026-08-03T12:28:05.427350	"[""OBJECT_INSTANTIATION""]"
KW_REF	ref	Programming token: ref (related: ref, reference, pass_by_reference, out)	"{""source"": ""reference_glossary"", ""related_terms"": [""ref"", ""reference"", ""pass_by_reference"", ""out"", ""inout""], ""extracted_at"": ""2026-08-03T12:28:05.427457""}"	2026-08-03T12:28:05.427460	2026-08-03T12:28:05.427461	"[""REFERENCE_TYPE_DECLARATION"", ""ROUTERS_SWITCHES_CONCEPT"", ""WIREFRAMING"", ""LEVEL_LAYOUT"", ""LAYOUT_GRID_AND_COMPOSITION_RULES""]"
KW_OUT	out	Programming token: out (related: out, reference, return_parameter, multiple_return)	"{""source"": ""reference_glossary"", ""related_terms"": [""out"", ""reference"", ""return_parameter"", ""multiple_return""], ""extracted_at"": ""2026-08-03T12:28:05.427562""}"	2026-08-03T12:28:05.427565	2026-08-03T12:28:05.427566	"[""REFERENCE_TYPE_DECLARATION"", ""ROUTERS_SWITCHES_CONCEPT"", ""LEVEL_LAYOUT"", ""LAYOUT_GRID_AND_COMPOSITION_RULES""]"
